"event","experiment time","system time","system time text"
"START",0.000000000E0,1780772029.862,"2026-06-06 20:53:49.862 UTC+02:00"
"PAUSE",3.953575377E1,1780772069.398,"2026-06-06 20:54:29.398 UTC+02:00"
