"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.617541676E-3,2.515720576E-2,-2.492368408E-2,-9.124794975E-3
1.755754167E-2,2.316622809E-2,-9.018487297E-3,-7.213177159E-3
2.749754165E-2,2.721232548E-2,-2.250954509E-3,-2.203997225E-3
3.743654166E-2,2.526555397E-2,-1.851487905E-2,-3.041560762E-3
4.737654165E-2,1.867599599E-2,-2.515894920E-2,-4.670899361E-3
5.731654167E-2,1.887653209E-2,-1.876176894E-2,-3.602704965E-3
6.725554165E-2,1.720568165E-2,1.592037268E-3,-4.432496615E-3
7.719554167E-2,1.806055568E-2,1.894865558E-2,-8.287422359E-3
8.713554166E-2,1.457058452E-2,2.653883398E-2,-1.243245043E-2
9.707554165E-2,8.190715685E-3,2.604961023E-2,-1.091418229E-2
1.070145417E-1,5.173354410E-3,2.473427355E-2,-7.977247238E-3
1.169545416E-1,2.381562721E-3,2.057281882E-2,-9.484063834E-3
1.268945417E-1,2.634300850E-3,1.326529682E-2,-6.856264547E-3
1.368345417E-1,2.350674476E-3,7.687306032E-3,-3.060193732E-3
1.467735417E-1,3.662425093E-3,-4.844944924E-4,-2.116395161E-3
1.567135417E-1,5.268577486E-3,-6.486726925E-3,-1.904407516E-3
1.666535417E-1,8.959304541E-3,-1.080481056E-2,-5.608769134E-4
1.765935417E-1,7.520664483E-3,-1.302855089E-2,-8.170735091E-4
1.865325417E-1,1.355094463E-2,-1.123997942E-2,-1.081666909E-3
1.964725417E-1,1.058125403E-2,-9.007984772E-3,-4.016203806E-3
2.064125417E-1,6.928737741E-3,-6.273952313E-3,-6.625676528E-3
2.163525417E-1,4.785425961E-3,-8.435906842E-3,-4.991294816E-3
2.262915417E-1,1.370217651E-3,-7.136415225E-3,-5.713802762E-3
2.362315417E-1,-3.067748621E-4,-9.764156304E-3,-5.246416666E-3
2.461715417E-1,-3.111940809E-3,-1.518779993E-2,-1.693876460E-3
2.561115417E-1,4.529466853E-3,-1.967629232E-2,-7.651900873E-3
2.660505417E-1,7.337484043E-3,-2.716771327E-2,-6.736256182E-3
2.759905417E-1,1.012155227E-2,-3.876205161E-2,-1.220399141E-2
2.859305417E-1,1.371532492E-2,-4.462346062E-2,-1.726312190E-2
2.958695417E-1,1.778490096E-2,-4.387670755E-2,-1.802239195E-2
3.058095417E-1,2.322192118E-2,-3.087427281E-2,-1.656023413E-2
3.157495417E-1,2.155051939E-2,-1.501355134E-2,-1.774400845E-2
3.256895417E-1,2.289222926E-2,7.706329226E-3,-1.801692322E-2
3.356285417E-1,2.114146575E-2,2.543552779E-2,-1.855994202E-2
3.455685417E-1,1.889124885E-2,2.671131864E-2,-2.367547527E-2
3.555085417E-1,1.693196036E-2,1.812821813E-2,-3.498166054E-2
3.654485416E-1,1.373027917E-2,5.129346624E-3,-3.632266819E-2
3.753875417E-1,1.021277625E-2,-1.798369549E-2,-3.097530827E-2
3.853275417E-1,7.480983622E-3,-3.422651440E-2,-2.765641175E-2
