"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780658693400178E9,"2026-06-05 1:24:53.400 UTC+02:00"
"PAUSE",4.615774175000843E1,1.780658739557934E9,"2026-06-05 1:25:39.558 UTC+02:00"
