"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.829384167E-1,2.869014442E-1,1.669934273E0,2.963310182E-1
8.929334167E-1,2.429542840E-1,1.693654895E0,2.817157507E-1
9.029284167E-1,1.879347116E-1,1.744820833E0,2.746583819E-1
9.129234167E-1,1.231732965E-1,1.804231405E0,2.748650312E-1
9.229184167E-1,5.987874791E-2,1.854731441E0,2.742061615E-1
9.329134167E-1,-5.199066363E-3,1.905303955E0,2.693576217E-1
9.429084167E-1,-6.037230417E-2,1.933857322E0,2.497141361E-1
9.529034167E-1,-1.012532189E-1,1.918364286E0,2.121460885E-1
9.628984167E-1,-1.308438629E-1,1.866991997E0,1.689347029E-1
9.728934167E-1,-1.477341652E-1,1.787844539E0,1.352883279E-1
9.828874167E-1,-1.608108282E-1,1.704933882E0,1.204590425E-1
9.928824167E-1,-1.768893600E-1,1.606385469E0,1.302890182E-1
1.002877417E0,-1.896070242E-1,1.482309937E0,1.592050791E-1
1.012872417E0,-1.905279160E-1,1.328122139E0,1.778215915E-1
1.022867417E0,-1.881984472E-1,1.146988034E0,1.896550804E-1
1.032862417E0,-1.709182858E-1,9.550027251E-1,2.192862481E-1
1.042857667E0,-1.527976096E-1,7.845111489E-1,2.939261198E-1
1.052852667E0,-1.385121644E-1,6.450903416E-1,4.240911007E-1
1.062847667E0,-1.233960539E-1,5.513164401E-1,5.997816920E-1
1.072842667E0,-1.050444841E-1,4.911265969E-1,8.204789162E-1
1.082837667E0,-1.176409647E-1,4.739539921E-1,1.021139026E0
1.092831667E0,-1.386339068E-1,4.639469385E-1,1.138105392E0
1.102826667E0,-1.597599685E-1,4.450273216E-1,1.168994904E0
1.112821667E0,-1.996178180E-1,4.389174879E-1,1.156216383E0
1.122816667E0,-2.382935733E-1,4.470220208E-1,1.133427978E0
1.132811667E0,-2.667806447E-1,4.937239289E-1,1.111994743E0
1.142806667E0,-2.937254608E-1,5.608302951E-1,1.088824987E0
1.152801667E0,-3.022254705E-1,6.310384274E-1,1.041384935E0
1.162796667E0,-2.932775021E-1,6.618570089E-1,9.706596136E-1
1.172791667E0,-2.699042559E-1,6.151406765E-1,8.599331379E-1
1.182786667E0,-2.462761849E-1,4.795428813E-1,7.316052318E-1
1.192781667E0,-2.304557413E-1,2.676303089E-1,5.828390718E-1
1.202775667E0,-2.184273005E-1,-1.189216506E-2,4.244076014E-1
1.212770667E0,-2.209739983E-1,-3.220424056E-1,2.548831403E-1
1.222765667E0,-2.375039756E-1,-6.172218323E-1,8.476040512E-2
1.232760667E0,-2.728471160E-1,-8.643816710E-1,-1.004817635E-1
1.242755667E0,-3.099068701E-1,-1.053040028E0,-3.139088452E-1
1.252750667E0,-3.426139653E-1,-1.194334865E0,-5.532553196E-1
1.262745667E0,-3.710317612E-1,-1.283782721E0,-7.784924507E-1
1.272740667E0,-4.003283679E-1,-1.297203302E0,-9.733890295E-1
1.282735667E0,-4.103953838E-1,-1.231550574E0,-1.138879418E0
1.292730667E0,-3.951666653E-1,-1.123038411E0,-1.293503523E0
1.302725667E0,-3.598177433E-1,-9.872518182E-1,-1.445266962E0
1.312719667E0,-3.023125827E-1,-8.249262571E-1,-1.611875772E0
1.322714667E0,-2.245517373E-1,-6.538649797E-1,-1.748125196E0
1.332709667E0,-1.437804699E-1,-5.139476657E-1,-1.824012518E0
1.342704667E0,-4.299606383E-2,-4.418002367E-1,-1.861918330E0
1.352699667E0,6.579033285E-2,-4.504533708E-1,-1.885001302E0
1.362694667E0,1.766816974E-1,-5.350071192E-1,-1.871357918E0
1.372689667E0,2.499336004E-1,-6.154625416E-1,-1.780982137E0
1.382684667E0,3.074977994E-1,-6.332021356E-1,-1.609591484E0
1.392679667E0,3.485347629E-1,-5.916199684E-1,-1.423629284E0
1.402674667E0,3.672676980E-1,-4.938918054E-1,-1.208016038E0
1.412669667E0,3.787362874E-1,-3.122831285E-1,-9.171923995E-1
1.422664667E0,3.773573041E-1,-4.784695804E-2,-5.528991222E-1
1.432658667E0,3.567122817E-1,2.384445667E-1,-1.730315238E-1
1.442653667E0,3.210363090E-1,4.910424650E-1,1.801728755E-1
1.452648667E0,2.815259099E-1,6.902986765E-1,5.199216604E-1
1.462643667E0,2.341498435E-1,8.338297606E-1,8.426076174E-1
1.472638667E0,1.957561374E-1,9.340152144E-1,1.099619985E0
1.482633667E0,1.585605592E-1,9.945440888E-1,1.289994359E0
1.492628667E0,1.270497739E-1,1.029076457E0,1.437985420E0
1.502623667E0,9.874622524E-2,1.033726931E0,1.553934216E0
1.512618667E0,6.884285063E-2,9.859779477E-1,1.653875589E0
1.522613667E0,1.583582722E-2,8.762807250E-1,1.702244401E0
1.532607667E0,-3.347600251E-2,6.987206936E-1,1.688349247E0
1.542602667E0,-6.066741049E-2,4.702973366E-1,1.633993864E0
1.552597667E0,-7.977160811E-2,2.214448601E-1,1.581786633E0
1.562592667E0,-8.690781146E-2,-6.777660456E-3,1.528083920E0
1.572587667E0,-9.503947198E-2,-1.822757870E-1,1.441565037E0
1.582582667E0,-9.621286392E-2,-3.123823702E-1,1.305296898E0
1.592577667E0,-9.369200468E-2,-3.908848763E-1,1.133367658E0
1.602572667E0,-9.325870872E-2,-4.206923246E-1,9.671256542E-1
1.612567667E0,-1.016976535E-1,-3.971328139E-1,8.072200418E-1
1.622562667E0,-1.144515350E-1,-3.541565835E-1,6.575517058E-1
1.632557667E0,-1.412189752E-1,-3.140779734E-1,5.014790893E-1
1.642551667E0,-1.777996272E-1,-2.952882946E-1,3.326950967E-1
1.652546667E0,-2.316026390E-1,-3.052770495E-1,1.569162905E-1
1.662541667E0,-2.947182059E-1,-3.545873165E-1,-2.511849441E-2
1.672536667E0,-3.348393142E-1,-4.545693696E-1,-2.108901143E-1
1.682531667E0,-3.711733818E-1,-5.795632601E-1,-3.903368413E-1
1.692526667E0,-3.922997117E-1,-6.954851151E-1,-5.693728924E-1
1.702521667E0,-4.081244767E-1,-7.709710598E-1,-7.489384413E-1
1.712516667E0,-4.021299481E-1,-8.103172779E-1,-9.141814709E-1
1.722511667E0,-3.750818372E-1,-8.122214079E-1,-1.062224984E0
1.732506667E0,-3.207187057E-1,-7.850390673E-1,-1.217208505E0
1.742501667E0,-2.509334981E-1,-7.256095409E-1,-1.380565763E0
1.752495667E0,-1.667683125E-1,-6.198973656E-1,-1.530935884E0
1.762490667E0,-7.274514437E-2,-4.476704895E-1,-1.623053074E0
1.772485667E0,2.391591854E-2,-2.200683057E-1,-1.623906970E0
1.782480667E0,1.143400893E-1,3.095193952E-2,-1.537078619E0
1.792475667E0,2.002999783E-1,2.689878047E-1,-1.389666319E0
1.802470667E0,2.764232457E-1,4.493663609E-1,-1.228337884E0
1.812465667E0,3.420732915E-1,5.861801505E-1,-1.062318087E0
1.822460667E0,3.850964010E-1,6.924245358E-1,-8.670069575E-1
1.832455667E0,3.960739970E-1,7.960575819E-1,-6.031795740E-1
1.842450667E0,3.790158927E-1,9.171483517E-1,-2.921692431E-1
