"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780657673877004E9,"2026-06-05 1:07:53.877 UTC+02:00"
"PAUSE",4.092305145831779E1,1.780657714800012E9,"2026-06-05 1:08:34.800 UTC+02:00"
