"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665090297988E9,"2026-06-05 3:11:30.298 UTC+02:00"
"PAUSE",4.245827724999981E1,1.780665132757538E9,"2026-06-05 3:12:12.758 UTC+02:00"
