"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.060414000E-3,2.887407303E0,-7.819462776E0,5.090072632E0
9.106183000E-3,2.911349297E0,-7.771578789E0,5.030217648E0
1.121172100E-2,2.956839085E0,-7.738059998E0,4.948814869E0
1.319395200E-2,2.985569477E0,-7.714118004E0,4.932055473E0
1.520926000E-2,3.045424461E0,-7.656657219E0,4.876988888E0
1.719326000E-2,3.110068083E0,-7.635109425E0,4.843470097E0
1.920741400E-2,3.143586874E0,-7.620744228E0,4.826710701E0
2.119087400E-2,3.203441858E0,-7.603984833E0,4.807557106E0
2.320472000E-2,3.248931646E0,-7.558494568E0,4.790797710E0
2.518864300E-2,3.265691042E0,-7.541735172E0,4.786009312E0
2.720433600E-2,3.287238836E0,-7.508216381E0,4.788403511E0
2.918625900E-2,3.301604033E0,-7.522581577E0,4.783615112E0
3.120095100E-2,3.320757866E0,-7.508216381E0,4.778826714E0
3.318525900E-2,3.313575268E0,-7.479485989E0,4.766855717E0
3.519825800E-2,3.323152065E0,-7.467514992E0,4.762067318E0
3.721271900E-2,3.311181068E0,-7.474697590E0,4.762067318E0
3.919571900E-2,3.282450438E0,-7.453149796E0,4.754884720E0
4.121018100E-2,3.260902643E0,-7.436390400E0,4.757278919E0
4.319395000E-2,3.224989653E0,-7.383718014E0,4.766855717E0
4.520771900E-2,3.184288263E0,-7.345410824E0,4.766855717E0
4.719233500E-2,3.162740469E0,-7.333439827E0,4.769249916E0
4.920618000E-2,3.122039080E0,-7.297526836E0,4.774038315E0
5.118902600E-2,3.088520288E0,-7.280767441E0,4.797980309E0
5.320379500E-2,3.078943491E0,-7.278373241E0,4.807557106E0
5.518810300E-2,3.090914488E0,-7.252037048E0,4.807557106E0
5.720225700E-2,3.098097086E0,-7.237671852E0,4.821922302E0
5.918494900E-2,3.102885485E0,-7.228095055E0,4.826710701E0
6.119979500E-2,3.090914488E0,-7.223306656E0,4.855441093E0
6.318341000E-2,3.066972494E0,-7.187393665E0,4.869806290E0
6.519794800E-2,3.040636063E0,-7.182605267E0,4.905719280E0
6.721202500E-2,2.999934673E0,-7.177816868E0,4.929661274E0
6.919571800E-2,2.980781078E0,-7.177816868E0,4.953603268E0
7.120956400E-2,2.956839085E0,-7.163451672E0,5.003881454E0
7.319294800E-2,2.952050686E0,-7.146692276E0,5.030217648E0
7.520717900E-2,2.952050686E0,-7.146692276E0,5.042188644E0
7.719079300E-2,2.928108692E0,-7.137115479E0,5.056553841E0
7.920502400E-2,2.868253708E0,-7.134721279E0,5.075707436E0
8.118833200E-2,2.851494312E0,-7.139509678E0,5.099649429E0
8.320225500E-2,2.822763920E0,-7.137115479E0,5.149928093E0
8.518594700E-2,2.815581083E0,-7.146692276E0,5.166687489E0
8.720010100E-2,2.782062292E0,-7.153874874E0,5.164293289E0
8.918433200E-2,2.688688517E0,-7.170634270E0,5.152322292E0
9.119733100E-2,2.633621931E0,-7.184999466E0,5.193023682E0
9.321210000E-2,2.652775526E0,-7.199364662E0,5.204994678E0
9.519540800E-2,2.729389906E0,-7.201758862E0,5.214571476E0
9.721056200E-2,2.767697096E0,-7.204153061E0,5.183446884E0
9.919386900E-2,2.844311714E0,-7.206547260E0,5.173870087E0
1.012081000E-1,2.985569477E0,-7.225700855E0,5.166687489E0
1.031920230E-1,3.059789658E0,-7.237671852E0,5.161899090E0
1.052059450E-1,3.136404276E0,-7.252037048E0,5.118803024E0
1.071904840E-1,3.078943491E0,-7.252037048E0,5.087678432E0
1.092037920E-1,3.016694069E0,-7.264008045E0,5.097255230E0
1.111874840E-1,2.873042107E0,-7.302315235E0,5.125985622E0
1.132021760E-1,2.755726099E0,-7.316680431E0,5.123591423E0
1.151852530E-1,2.705447912E0,-7.328651428E0,5.121197224E0
1.171987920E-1,2.667140722E0,-7.321468830E0,5.080495834E0
1.191825600E-1,2.679111719E0,-7.319074631E0,5.042188644E0
1.211964060E-1,2.719813108E0,-7.319074631E0,5.030217648E0
1.232114830E-1,2.753331900E0,-7.314286232E0,4.963180065E0
1.251950980E-1,2.813186884E0,-7.307103634E0,4.958391666E0
1.272090210E-1,2.868253708E0,-7.321468830E0,4.967968464E0
1.291929440E-1,2.901772499E0,-7.335834026E0,4.903325081E0
1.312071750E-1,2.880224705E0,-7.340622425E0,4.869806290E0
1.331896360E-1,2.851494312E0,-7.352593422E0,4.905719280E0
1.352049430E-1,2.863465309E0,-7.366958618E0,4.939238071E0
1.371884050E-1,2.844311714E0,-7.362170219E0,4.900930882E0
1.392010200E-1,2.770091295E0,-7.378929615E0,4.848258495E0
1.411862510E-1,2.813186884E0,-7.390900612E0,4.860229492E0
1.432000200E-1,2.851494312E0,-7.388506413E0,4.855441093E0
1.451843280E-1,2.853888512E0,-7.400477409E0,4.853046894E0
1.471990960E-1,2.703053713E0,-7.393294811E0,4.869806290E0
