"event","experiment time","system time","system time text"
"START",0.000000000E0,1781035027.278,"2026-06-09 21:57:07.278 UTC+02:00"
"PAUSE",3.487909592E1,1781035062.157,"2026-06-09 21:57:42.157 UTC+02:00"
