"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.425791666E-3,-3.966302032E0,-2.724783783E0,8.383167114E0
1.141979167E-2,-3.937711487E0,-2.753374329E0,8.480913849E0
2.141479167E-2,-3.881877594E0,-2.776576080E0,8.639134827E0
3.140979167E-2,-3.777843933E0,-2.789598999E0,8.811875610E0
4.140379167E-2,-3.692072296E0,-2.789748688E0,8.969946899E0
5.139879167E-2,-3.663332062E0,-2.796933746E0,9.042545929E0
6.139379167E-2,-3.700903931E0,-2.773133240E0,9.045390015E0
7.138779167E-2,-3.762126617E0,-2.799328766E0,8.957373047E0
8.138279167E-2,-3.822900238E0,-2.786605225E0,8.833131409E0
9.137679167E-2,-3.921994171E0,-2.769989777E0,8.756041718E0
1.013717917E-1,-3.992796936E0,-2.739153900E0,8.666976929E0
1.113667917E-1,-4.026327209E0,-2.680625610E0,8.647966461E0
1.213607917E-1,-4.031416626E0,-2.672392731E0,8.669072571E0
1.313557917E-1,-3.986060944E0,-2.642305298E0,8.663534088E0
1.413507917E-1,-3.892355804E0,-2.612068176E0,8.680598602E0
1.513447917E-1,-3.782484283E0,-2.574346619E0,8.705596619E0
1.613397917E-1,-3.749403076E0,-2.550396423E0,8.679550781E0
1.713347917E-1,-3.633544006E0,-2.534679108E0,8.660989380E0
1.813287917E-1,-3.612737274E0,-2.549198914E0,8.652307434E0
1.913237917E-1,-3.668271790E0,-2.591560822E0,8.652307434E0
2.013187917E-1,-3.702550507E0,-2.584675140E0,8.643924866E0
2.113127917E-1,-3.735482025E0,-2.622696075E0,8.619974670E0
2.213077917E-1,-3.753145294E0,-2.626138916E0,8.569679260E0
2.313027917E-1,-3.776496735E0,-2.655926971E0,8.567733307E0
2.412967917E-1,-3.776347046E0,-2.680176544E0,8.566236420E0
2.512917917E-1,-3.758833466E0,-2.731070709E0,8.565487976E0
2.612857917E-1,-3.745810547E0,-2.756517792E0,8.602311401E0
2.712807917E-1,-3.703897705E0,-2.774181061E0,8.658744049E0
2.812757917E-1,-3.747457123E0,-2.806663513E0,8.712931366E0
2.912697917E-1,-3.785328369E0,-2.829715576E0,8.770262146E0
3.012647917E-1,-3.748654633E0,-2.819536743E0,8.807235260E0
3.112597917E-1,-3.711232452E0,-2.825075226E0,8.836873627E0
3.212537917E-1,-3.643722839E0,-2.819387054E0,8.805139618E0
3.312487917E-1,-3.595523071E0,-2.821931763E0,8.754544830E0
3.412437917E-1,-3.499572601E0,-2.846630402E0,8.726702728E0
3.512377917E-1,-3.438050537E0,-2.898871765E0,8.712182922E0
3.612327917E-1,-3.442840576E0,-2.941682739E0,8.722212067E0
3.712277917E-1,-3.417094116E0,-2.955603790E0,8.730744324E0
3.812217917E-1,-3.364253998E0,-2.923271027E0,8.748407593E0
3.912167917E-1,-3.379522247E0,-2.851121063E0,8.759783936E0
4.012117917E-1,-3.405119019E0,-2.798879700E0,8.736881561E0
4.112062917E-1,-3.459456024E0,-2.738704834E0,8.733588409E0
4.212012917E-1,-3.474724274E0,-2.715054016E0,8.708440704E0
4.311952917E-1,-3.496728516E0,-2.716550903E0,8.683742065E0
4.411902917E-1,-3.480562134E0,-2.724484406E0,8.658744049E0
4.511852917E-1,-3.476221161E0,-2.712060242E0,8.636290741E0
4.611792917E-1,-3.499422913E0,-2.700833588E0,8.630452881E0
4.711742917E-1,-3.493135986E0,-2.649939423E0,8.654103699E0
4.811692917E-1,-3.507057037E0,-2.609673157E0,8.734785919E0
4.911632917E-1,-3.561094666E0,-2.543510742E0,8.778944092E0
5.011582917E-1,-3.621269531E0,-2.478396149E0,8.759783936E0
5.111532917E-1,-3.704047394E0,-2.437231750E0,8.756191406E0
5.211472917E-1,-3.822301483E0,-2.430944824E0,8.740923157E0
5.311422917E-1,-3.915108490E0,-2.440674591E0,8.722361755E0
5.411372917E-1,-3.956572266E0,-2.391576691E0,8.683442688E0
5.511312917E-1,-3.970044250E0,-2.331551514E0,8.614735565E0
5.611262917E-1,-4.012705536E0,-2.272574158E0,8.579558716E0
5.711202917E-1,-4.003873901E0,-2.223326569E0,8.569828949E0
5.811152917E-1,-3.968247986E0,-2.190993805E0,8.644523621E0
5.911102917E-1,-3.971541138E0,-2.164498901E0,8.733887787E0
6.011042917E-1,-4.003574524E0,-2.075583801E0,8.804540863E0
6.110992917E-1,-4.063749390E0,-1.930984497E0,8.824599152E0
6.210942917E-1,-4.176614685E0,-1.812580719E0,8.837771759E0
6.310882917E-1,-4.266427917E0,-1.731299744E0,8.810079346E0
6.410832917E-1,-4.301754456E0,-1.677711182E0,8.795110474E0
6.510782917E-1,-4.348607025E0,-1.682501221E0,8.771010590E0
6.610722917E-1,-4.400848389E0,-1.697021027E0,8.725505219E0
6.710672917E-1,-4.383185120E0,-1.635948029E0,8.673413544E0
6.810622917E-1,-4.409081268E0,-1.526824951E0,8.663534088E0
6.910562917E-1,-4.432732086E0,-1.428778839E0,8.691525879E0
7.010512917E-1,-4.427193604E0,-1.368603973E0,8.693022766E0
7.110452917E-1,-4.459825745E0,-1.336271210E0,8.674760742E0
7.210402917E-1,-4.469256134E0,-1.334325256E0,8.606352997E0
7.310352917E-1,-4.478836212E0,-1.331181793E0,8.532556458E0
7.410292917E-1,-4.516557770E0,-1.322200470E0,8.459658051E0
7.510242917E-1,-4.594844971E0,-1.298250275E0,8.412356415E0
7.610192917E-1,-4.647236023E0,-1.272803192E0,8.321794739E0
7.710132917E-1,-4.722080383E0,-1.159339142E0,8.239316254E0
7.810082917E-1,-4.793631592E0,-1.071322174E0,8.213569794E0
7.910032917E-1,-4.809348907E0,-1.015787659E0,8.123756561E0
8.009972917E-1,-4.818479919E0,-9.647438049E-1,7.994275818E0
8.109922917E-1,-4.865631866E0,-9.436376953E-1,7.848029938E0
8.209872917E-1,-4.922663269E0,-9.249266052E-1,7.700736237E0
8.309812917E-1,-5.020260315E0,-9.922865295E-1,7.672295380E0
8.409762917E-1,-5.116210785E0,-1.066232758E0,7.671546936E0
8.509712917E-1,-5.173242188E0,-1.012195129E0,7.586074677E0
8.609652917E-1,-5.261708221E0,-8.415499878E-1,7.515122223E0
8.709602917E-1,-5.398074646E0,-6.240522766E-1,7.439230042E0
8.809542917E-1,-5.526507568E0,-4.076023865E-1,7.344926147E0
