"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780659399272954E9,"2026-06-05 1:36:39.273 UTC+02:00"
"PAUSE",4.560458850002033E1,1.780659444877557E9,"2026-06-05 1:37:24.878 UTC+02:00"
