"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780661396068986E9,"2026-06-05 2:09:56.069 UTC+02:00"
"PAUSE",4.494394383332110E1,1.780661441012529E9,"2026-06-05 2:10:41.013 UTC+02:00"
