"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780662176462691E9,"2026-06-05 2:22:56.463 UTC+02:00"
"PAUSE",4.130646862499998E1,1.780662217768792E9,"2026-06-05 2:23:37.769 UTC+02:00"
