"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665345555557E9,"2026-06-05 3:15:45.556 UTC+02:00"
"PAUSE",4.303040583332768E1,1.780665388587253E9,"2026-06-05 3:16:28.587 UTC+02:00"
