"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.181625000E-3,-2.609679997E-1,-1.142034173E0,9.775525093E0
6.226863000E-3,-3.303998411E-1,-1.130063176E0,9.768342972E0
8.332948000E-3,-3.639186621E-1,-1.118092179E0,9.756371498E0
1.031641800E-2,-4.285621047E-1,-1.106121182E0,9.763554573E0
1.233111800E-2,-5.003881454E-1,-1.110909581E0,9.782708168E0
1.431389500E-2,-5.123591423E-1,-1.118092179E0,9.789890289E0
1.632836500E-2,-5.075707436E-1,-1.132457376E0,9.806650162E0
1.831121900E-2,-5.147533417E-1,-1.132457376E0,9.801861763E0
2.032599600E-2,-5.075707436E-1,-1.130063176E0,9.801861763E0
2.231062000E-2,-4.860229492E-1,-1.130063176E0,9.811438560E0
2.432409000E-2,-4.692635238E-1,-1.149216771E0,9.818621635E0
2.630817500E-2,-4.548983276E-1,-1.146822572E0,9.813833237E0
2.832164500E-2,-4.261679053E-1,-1.139639974E0,9.799467087E0
3.030626800E-2,-4.237737060E-1,-1.168370485E0,9.801861763E0
3.231896800E-2,-4.070142806E-1,-1.170764685E0,9.813833237E0
3.433374600E-2,-3.998316824E-1,-1.182735682E0,9.828198433E0
3.631683100E-2,-3.926490843E-1,-1.175553083E0,9.828198433E0
3.833214600E-2,-3.926490843E-1,-1.158793569E0,9.835380554E0
4.031523100E-2,-3.902548850E-1,-1.134851575E0,9.813833237E0
4.232977800E-2,-3.830722570E-1,-1.137245774E0,9.801861763E0
4.431286300E-2,-3.687070608E-1,-1.132457376E0,9.773131371E0
4.632725500E-2,-3.663128614E-1,-1.120486379E0,9.756371498E0
4.831064800E-2,-3.519476354E-1,-1.120486379E0,9.763554573E0
5.032511700E-2,-3.208230138E-1,-1.115697980E0,9.742006302E0
5.230920200E-2,-3.112462163E-1,-1.103726983E0,9.744400978E0
5.432205600E-2,-3.160346150E-1,-1.089361787E0,9.744400978E0
5.630637200E-2,-3.016694188E-1,-1.089361787E0,9.739612579E0
5.831991900E-2,-3.064578176E-1,-1.110909581E0,9.734824181E0
6.033469600E-2,-2.992752194E-1,-1.098938584E0,9.732429504E0
6.231993500E-2,-2.968810201E-1,-1.106121182E0,9.739612579E0
6.433202000E-2,-3.088520169E-1,-1.101332784E0,9.751583099E0
6.631625800E-2,-3.136404157E-1,-1.103726983E0,9.744400978E0
6.833080600E-2,-3.256114423E-1,-1.127668977E0,9.727641106E0
7.031442900E-2,-3.375824392E-1,-1.120486379E0,9.732429504E0
7.232805300E-2,-3.232172430E-1,-1.113303781E0,9.708487511E0
7.431136800E-2,-3.088520169E-1,-1.108515382E0,9.706093788E0
7.632614500E-2,-2.968810201E-1,-1.110909581E0,9.725247383E0
7.831046100E-2,-3.351882398E-1,-1.151610970E0,9.756371498E0
8.032277700E-2,-3.303998411E-1,-1.175553083E0,9.777919769E0
8.230801600E-2,-3.303998411E-1,-1.180341482E0,9.775525093E0
8.432156200E-2,-3.447650373E-1,-1.173158884E0,9.744400978E0
8.630557000E-2,-3.495534360E-1,-1.149216771E0,9.718064308E0
8.831919400E-2,-3.567360640E-1,-1.127668977E0,9.710882187E0
9.033335500E-2,-3.423708379E-1,-1.103726983E0,9.698910713E0
9.231759400E-2,-3.256114423E-1,-1.096544385E0,9.677363396E0
