"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780536764800512E9,"2026-06-04 3:32:44.801 UTC+02:00"
"PAUSE",3.314459554166751E1,1.780536797944885E9,"2026-06-04 3:33:17.945 UTC+02:00"
