"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.465482500E-1,-1.802428043E-3,-5.016966723E-3,1.106971875E-3
8.565432500E-1,6.250432925E-4,1.302009076E-2,2.870783443E-3
8.665382500E-1,4.993769107E-4,1.346505433E-2,1.051226631E-3
8.765332500E-1,-2.537691966E-3,7.764291484E-3,-4.976838827E-3
8.865272500E-1,-1.267346554E-3,6.599957123E-5,-6.353962235E-4
8.965222500E-1,3.435263410E-3,-1.827241620E-3,1.979561523E-3
9.065172500E-1,1.471401658E-3,-1.010471024E-3,-1.497880556E-3
9.165122500E-1,2.509501763E-3,-4.261924420E-3,2.297124127E-3
9.265072500E-1,-2.693717834E-3,-5.525731482E-3,-3.324165475E-3
9.365012500E-1,-1.192494063E-3,-8.530309424E-3,1.991504338E-3
9.464962500E-1,-3.498875594E-4,-8.961583488E-3,-2.454601228E-3
9.564912500E-1,-5.176666891E-4,-1.124710869E-2,8.285837248E-5
9.664862500E-1,-1.069520367E-3,-8.908873424E-3,-1.493885648E-3
9.764802500E-1,9.313125629E-4,-1.464007422E-3,-6.256951019E-4
9.864752500E-1,1.402732916E-3,4.725696985E-3,-2.502789721E-3
9.964702500E-1,2.858030784E-4,4.936352838E-3,-1.718222164E-3
1.006465250E0,-2.018914092E-3,7.492879406E-3,-1.805266365E-3
1.016460250E0,4.152151232E-4,5.497639999E-3,3.596176393E-4
1.026454250E0,-5.656271242E-4,2.342858817E-3,-1.908330247E-3
1.036449250E0,-1.205584733E-3,-1.974657644E-3,-1.155188307E-3
1.046444250E0,-1.481534215E-3,4.171058536E-4,7.850211114E-5
1.056440250E0,-3.475709353E-3,8.424124680E-4,2.641244791E-4
1.066434250E0,-6.007632473E-4,2.934188116E-3,1.863196492E-3
1.076429250E0,-5.522937281E-4,9.761733934E-3,2.000615466E-3
1.086424250E0,2.494350774E-3,1.776792295E-2,-1.142685767E-3
1.096419250E0,1.258644043E-3,2.480745688E-2,1.105022617E-3
1.106413250E0,-1.106972573E-3,2.738236636E-2,1.075585838E-3
1.116408250E0,-2.362386789E-3,2.312184125E-2,3.017563140E-3
1.126403250E0,-6.132820854E-4,1.030182280E-2,2.239819616E-3
1.136398250E0,-1.638332615E-3,-2.042460721E-3,-7.682209834E-4
1.146393250E0,-4.809405364E-4,-2.763752360E-3,8.270097896E-5
1.156387250E0,5.196090788E-4,-8.523903787E-3,-3.908090293E-4
1.166382250E0,1.749456860E-3,-6.862889975E-3,-1.005466562E-3
1.176377250E0,9.683517274E-4,-4.032482393E-3,9.671365842E-4
1.186372250E0,-2.439115662E-3,-5.217834376E-3,1.442398876E-3
1.196366250E0,-2.095172822E-4,-6.647419184E-3,-1.140334643E-3
1.206361250E0,1.915667235E-4,-9.705189615E-3,1.680483110E-4
1.216356250E0,1.818491844E-3,-7.887048647E-3,1.235734671E-4
1.226351250E0,1.813882263E-3,-7.305384614E-3,-2.009155229E-3
1.236346250E0,3.184611211E-3,-4.910137970E-3,-1.125177369E-5
1.246340250E0,2.346549416E-3,-1.498679165E-3,7.756268606E-4
1.256335250E0,4.445196246E-4,5.812230520E-3,-7.634134963E-4
1.266330250E0,-1.801827224E-3,7.874229923E-3,-2.756060567E-3
1.276325250E0,2.132993191E-3,6.105091423E-3,9.139114991E-5
1.286319250E0,2.322858898E-3,9.501046501E-3,1.273076981E-3
1.296314250E0,-1.405033981E-3,1.309311762E-2,-4.659672268E-4
1.306309250E0,-1.202943269E-3,8.859556168E-3,2.207534388E-3
1.316304250E0,-5.333239678E-3,-8.614774793E-3,2.977187978E-3
1.326299250E0,-1.755734091E-3,-2.606971562E-2,3.318176605E-4
1.336293250E0,-2.720064484E-3,-3.593166918E-2,-3.799011465E-3
1.346288250E0,1.699515618E-3,-2.792554349E-2,-2.642021980E-3
1.356283250E0,3.023905680E-3,-9.858658537E-3,7.520103827E-5
1.366278250E0,3.592443420E-3,9.718483314E-3,-2.746265382E-4
1.376272250E0,5.851869471E-3,2.891987562E-2,-8.919471875E-4
1.386267250E0,2.309554548E-4,2.599916607E-2,7.012705319E-4
1.396262250E0,-2.333136043E-3,1.616570726E-2,1.068529673E-4
1.406257250E0,-4.109945148E-3,-1.109781303E-2,2.159141004E-4
1.416252250E0,-3.589829896E-3,-2.807546593E-2,-2.517288551E-3
1.426246250E0,-2.288094256E-3,-2.963964827E-2,-5.864542909E-4
1.436241250E0,-3.017534036E-3,-1.851562411E-2,-2.972912509E-3
1.446236250E0,-5.878502270E-5,-2.904582769E-3,-1.701728441E-3
1.456231250E0,-2.553900704E-3,4.323236179E-3,-1.941412687E-3
1.466225250E0,-3.864351893E-3,1.563761383E-3,9.493553080E-4
1.476220250E0,-2.235523425E-6,-5.566319451E-3,-2.434190828E-3
1.486215250E0,-1.280059514E-4,-1.046984643E-2,-2.309242729E-3
1.496210250E0,-1.121897716E-3,-1.047091186E-2,1.141414978E-3
1.506204250E0,5.435123458E-4,-5.712527316E-3,7.752883248E-4
1.516199250E0,4.369859234E-4,-4.527154379E-3,-2.753287554E-4
1.526194250E0,-3.752908669E-3,1.582511701E-3,1.218178775E-3
1.536189250E0,-2.336906269E-3,-6.944732741E-5,-6.617465988E-4
1.546184250E0,-2.238899004E-3,-1.263061073E-3,1.141759567E-4
1.556178250E0,-2.689588582E-4,-5.023178179E-3,7.386873476E-4
1.566173250E0,-3.721764311E-3,-4.193963949E-3,2.650221111E-3
1.576168250E0,-3.704423725E-4,-5.656305701E-3,3.095688298E-4
1.586163250E0,-4.332047829E-4,-4.054694436E-3,1.098340843E-3
1.596157250E0,2.907996997E-3,-1.650659135E-3,3.318828531E-4
1.606152250E0,9.197405889E-4,1.882895362E-3,-6.196526811E-4
1.616147250E0,7.961698575E-4,4.335400183E-3,6.424193271E-4
1.626142250E0,4.467591061E-4,4.152649082E-3,1.159243286E-3
1.636137250E0,-2.344774839E-4,4.644375294E-4,-1.238400582E-3
1.646131250E0,1.812412665E-4,-2.418723190E-3,-9.734835476E-5
1.656126250E0,-1.039818046E-3,-1.172896475E-3,-1.671230420E-4
1.666121250E0,1.283948426E-3,-1.973715378E-3,-2.518761903E-5
1.676116250E0,2.181966323E-3,-1.070903847E-3,-5.972348154E-4
1.686110250E0,-1.229363261E-3,-1.292169793E-3,-1.761757303E-3
1.696105250E0,-8.368134149E-4,1.306010410E-3,-1.591847744E-3
1.706100250E0,4.195784219E-3,-1.921330346E-3,2.848648466E-3
1.716095250E0,1.278557815E-3,-6.474004127E-3,-4.121260718E-4
1.726089250E0,-1.060119714E-3,-4.988751840E-3,-1.702859998E-3
1.736084250E0,-7.743625902E-4,-3.086721990E-3,2.566939220E-4
1.746079250E0,-3.119334579E-3,-4.314500839E-4,1.352556050E-3
1.756074250E0,-9.102425538E-4,3.880473785E-3,8.726543747E-4
1.766069250E0,-5.319750635E-4,6.602462381E-3,-2.760989591E-4
1.776063250E0,-9.969630046E-4,5.273278803E-3,1.008610241E-3
1.786058250E0,-2.820695750E-3,5.859706551E-3,-7.384237833E-4
1.796053250E0,6.928127259E-4,2.003715839E-3,-5.160495639E-4
1.806048250E0,-3.939985472E-4,1.527204644E-3,1.244641840E-3
1.816042250E0,3.732581390E-4,-8.241005708E-4,3.516841680E-4
1.826037250E0,-1.591998152E-4,3.868358675E-3,-1.155293081E-3
1.836032250E0,-2.634075470E-3,1.664326992E-3,6.687059067E-4
1.846027250E0,-1.550917746E-3,4.647126421E-3,1.169247553E-3
1.856022250E0,-6.726072170E-4,1.343475189E-3,-3.439607099E-4
1.866016250E0,-2.220932627E-3,-2.370872069E-3,2.193413675E-4
1.876011250E0,-7.093225140E-4,-3.211365547E-3,1.243593171E-3
1.886006250E0,8.079423569E-4,-3.468331415E-4,-1.105034258E-3
1.896001250E0,-1.636306755E-3,-3.043816425E-3,-5.953051150E-4
1.905995250E0,3.381809220E-4,-6.054127589E-4,-6.593489088E-4
1.915990250E0,1.215426251E-3,-4.072315991E-3,-2.177883405E-3
1.925985250E0,1.647980185E-3,-8.168487810E-3,-1.164794434E-3
1.935980250E0,1.451971591E-3,-8.995665237E-3,-9.986129589E-4
1.945974250E0,1.923932432E-4,-4.789180588E-3,-3.038733266E-4
1.955969250E0,5.218262668E-4,-5.544880405E-4,-3.936220892E-4
1.965964250E0,4.756532144E-3,1.020713244E-3,-2.860065084E-3
1.975959250E0,1.985779032E-3,-2.059387043E-4,-1.205976121E-3
1.985954250E0,1.225339511E-4,1.057897694E-3,2.388635883E-3
1.995948250E0,1.404313371E-3,-4.161619581E-4,-3.217766061E-5
2.005943250E0,1.470982679E-3,1.125808340E-3,1.085057389E-3
2.015938250E0,-1.089380356E-3,-2.097149147E-3,-1.091039740E-4
2.025933250E0,-1.404303126E-3,-2.559329616E-3,7.775183767E-4
2.035927250E0,5.656371359E-4,2.150204498E-3,7.098168135E-5
2.045922250E0,-1.970513840E-4,-9.797187522E-5,-5.040131509E-4
2.055916375E0,-1.282289508E-3,3.098620102E-3,-1.196168829E-3
2.065911375E0,-2.301989589E-3,2.052732743E-3,2.455529757E-4
2.075905375E0,-2.031412441E-3,4.668489099E-3,-1.549683977E-3
2.085900375E0,1.349230442E-4,1.779920422E-3,-6.557474844E-4
2.095895375E0,6.381663843E-5,4.519514740E-3,3.467890900E-3
2.105890375E0,1.723662368E-3,3.800513223E-4,2.374741947E-3
2.115885375E0,1.156409155E-3,-1.359525369E-3,-2.572601661E-4
2.125879375E0,-1.880451920E-3,1.828768291E-4,-2.319736872E-3
