"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.067937500E-2,1.353040934E-1,3.454005346E-2,-1.462061424E-2
2.067437500E-2,1.427918375E-1,4.297108948E-2,-2.108783275E-2
3.066937500E-2,1.484665424E-1,5.719533563E-2,-3.320930898E-2
4.066437500E-2,1.483898312E-1,7.937227935E-2,-4.115032405E-2
5.065937500E-2,1.494431049E-1,9.888961911E-2,-4.353300110E-2
6.065337500E-2,1.464510411E-1,1.166276038E-1,-4.513489455E-2
7.064837500E-2,1.410376579E-1,1.325224489E-1,-4.930629954E-2
8.064337500E-2,1.434424967E-1,1.409484297E-1,-5.193910003E-2
9.063837500E-2,1.486215293E-1,1.480881572E-1,-5.385225266E-2
1.006333750E-1,1.592299640E-1,1.557705700E-1,-6.124784797E-2
1.106273750E-1,1.725031585E-1,1.629342884E-1,-7.656557113E-2
1.206223750E-1,1.895226240E-1,1.762258559E-1,-8.956020325E-2
1.306173750E-1,2.131759971E-1,2.003071755E-1,-9.897118062E-2
1.406123750E-1,2.329438329E-1,2.169529945E-1,-1.097255573E-1
1.506073750E-1,2.514336109E-1,2.390338778E-1,-1.221150458E-1
1.606013750E-1,2.647709846E-1,2.456060201E-1,-1.182678491E-1
1.705963750E-1,2.738127708E-1,2.305011153E-1,-1.124112830E-1
1.805913750E-1,2.833165526E-1,1.944384426E-1,-1.127953082E-1
1.905863750E-1,2.901416719E-1,1.531103104E-1,-1.196659654E-1
2.005813750E-1,3.020845950E-1,1.243074238E-1,-1.281904727E-1
2.105763750E-1,3.151548505E-1,1.149984151E-1,-1.401090175E-1
2.205703750E-1,3.404026628E-1,1.244696751E-1,-1.563484520E-1
2.305653750E-1,3.747758269E-1,1.550862491E-1,-1.847423017E-1
2.405603750E-1,4.186815023E-1,2.036026418E-1,-2.271773815E-1
2.505553750E-1,4.676461518E-1,2.610421181E-1,-2.770995200E-1
2.605503750E-1,5.212795138E-1,3.267366886E-1,-3.304357231E-1
2.705443750E-1,5.753976107E-1,3.977197707E-1,-3.960059285E-1
2.805393750E-1,6.317133904E-1,4.667092264E-1,-4.723411798E-1
2.905343750E-1,6.884008646E-1,5.389146209E-1,-5.729255080E-1
3.005293750E-1,7.342458963E-1,6.144525409E-1,-7.086253166E-1
3.105243750E-1,7.789028287E-1,7.098526359E-1,-8.711388111E-1
3.205183750E-1,8.207988739E-1,8.211767673E-1,-1.061334252E0
3.305126250E-1,8.684499860E-1,9.495839477E-1,-1.273422003E0
3.405076250E-1,9.019861221E-1,1.071373582E0,-1.488716483E0
