"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.355708359E-3,-6.249625701E-3,1.134123355E-1,9.941777214E-3
1.529470834E-2,1.391861588E-5,8.094149828E-2,2.111071348E-2
2.523370835E-2,6.010558456E-3,4.292593524E-2,2.744424529E-2
3.517270833E-2,1.176227722E-2,4.129489884E-3,3.051520139E-2
4.511170834E-2,1.852351055E-2,-1.561225671E-2,2.016375959E-2
5.505070835E-2,2.637334168E-2,-1.693271846E-2,1.007229928E-2
6.499070834E-2,3.358784690E-2,-1.034911815E-2,4.659424536E-3
7.492970835E-2,3.848003596E-2,6.422307342E-4,2.129859291E-3
8.486870833E-2,3.612153605E-2,-5.806931295E-4,1.711476594E-3
9.480770834E-2,3.376785293E-2,-9.751854464E-3,-3.883744590E-3
1.047467084E-1,3.350872546E-2,-1.821751148E-2,-6.426529959E-3
1.146857083E-1,2.622834034E-2,-2.718310989E-2,-9.279254824E-3
1.246247083E-1,2.439075895E-2,-2.682038769E-2,-1.495285332E-2
1.345647083E-1,2.113852464E-2,-2.202726342E-2,-2.186607197E-2
1.445037083E-1,1.863675192E-2,-8.896281011E-3,-2.272947133E-2
1.544427084E-1,1.451218873E-2,1.447349787E-4,-2.289214730E-2
1.643817083E-1,1.222932711E-2,8.387751877E-3,-2.285566181E-2
1.743207083E-1,5.285078660E-3,1.098005474E-2,-2.333840355E-2
1.842597083E-1,6.298734806E-4,1.489862986E-2,-2.117858082E-2
1.941997083E-1,-2.912823111E-3,1.099967957E-2,-1.809848659E-2
2.041387084E-1,-9.687371552E-3,7.473920472E-3,-1.301051676E-2
2.140777083E-1,-1.336539537E-2,2.928305417E-3,-1.331965812E-2
2.240167084E-1,-1.777612232E-2,-4.310432822E-3,-6.574669853E-3
2.339557083E-1,-2.012085542E-2,-6.713503972E-3,-3.245318308E-3
2.438947083E-1,-2.082392946E-2,-7.978771813E-3,1.179523766E-3
2.538337084E-1,-1.975735277E-2,-1.531293243E-2,1.812276430E-3
2.637737083E-1,-1.785479113E-2,-1.808661595E-2,-1.637849025E-3
2.737127084E-1,-1.318351738E-2,-1.796735637E-2,2.303431742E-3
2.836517083E-1,-1.336621121E-2,-1.963183284E-2,5.599018186E-5
2.935907083E-1,-1.088139601E-2,-2.258490771E-2,-2.380137332E-3
3.035297084E-1,-7.023807149E-3,-2.326934040E-2,-2.267219126E-3
3.134687083E-1,-3.747723997E-3,-2.488535084E-2,-1.308853738E-3
3.234087084E-1,-6.633258425E-3,-2.626859769E-2,-6.158985198E-4
3.333477083E-1,-1.989896409E-3,-3.059531748E-2,8.954843506E-4
3.432867083E-1,-5.016045645E-3,-3.543215245E-2,3.000013530E-4
3.532257084E-1,-3.421774134E-3,-3.400782496E-2,5.185948685E-4
3.631647083E-1,2.237176988E-3,-3.542409092E-2,6.124282256E-3
3.731037083E-1,4.943962209E-3,-3.501386940E-2,1.318168547E-2
3.830437083E-1,7.465177216E-3,-3.240263835E-2,1.932187006E-2
3.929827083E-1,9.133496322E-3,-2.755659819E-2,2.598351613E-2
4.029217084E-1,1.144352183E-2,-2.614911646E-2,3.661378846E-2
4.128607083E-1,1.399515849E-2,-2.225674130E-2,4.259730130E-2
4.227997084E-1,1.451873593E-2,-2.711301669E-2,5.133965611E-2
4.327387083E-1,1.374581736E-2,-2.777867392E-2,6.053177267E-2
4.426777083E-1,1.216869336E-2,-2.241107449E-2,6.451479346E-2
4.526177083E-1,1.481349580E-2,-1.330069918E-2,7.392249256E-2
4.625567083E-1,1.171171106E-2,-3.133815248E-3,8.104990423E-2
4.724957084E-1,1.287950389E-2,8.956557140E-3,8.904612064E-2
4.824347083E-1,1.740261540E-2,1.671328023E-2,9.568670392E-2
4.923737083E-1,2.170096338E-2,2.515401505E-2,1.026771739E-1
5.023127084E-1,2.094968408E-2,2.678573318E-2,1.083723456E-1
5.122527083E-1,1.429948863E-2,2.659242228E-2,1.129121482E-1
5.221917084E-1,9.604335763E-3,2.162829041E-2,1.229240447E-1
5.321307083E-1,4.308832809E-3,1.234239805E-2,1.240660176E-1
5.420697083E-1,-1.820554025E-4,8.123417385E-3,1.277243942E-1
5.520087084E-1,-4.556328524E-3,6.762457080E-3,1.249781922E-1
5.619477083E-1,-1.392399706E-2,1.404087525E-2,1.169745922E-1
5.718867083E-1,-1.648304984E-2,1.557290927E-2,1.150786802E-1
5.818267083E-1,-2.252656035E-2,1.883208565E-2,1.049682498E-1
5.917657083E-1,-2.720477805E-2,1.994510740E-2,1.003552452E-1
6.017047084E-1,-3.053506091E-2,1.712002605E-2,9.252794832E-2
6.116437083E-1,-2.875399031E-2,1.579866186E-2,8.624477684E-2
6.215827084E-1,-3.323449194E-2,1.190432254E-2,8.370731771E-2
6.315217083E-1,-3.299729154E-2,8.566482924E-3,7.917740941E-2
6.414617084E-1,-3.579014912E-2,3.039624542E-3,7.792359591E-2
6.514005417E-1,-3.580792248E-2,-1.991796307E-4,7.346338779E-2
6.613395417E-1,-3.441189229E-2,-3.597639035E-3,6.661453843E-2
6.712785417E-1,-3.396477550E-2,-1.205669716E-3,6.742098182E-2
6.812175417E-1,-3.230056912E-2,-3.742305562E-4,6.515729427E-2
6.911565417E-1,-2.609823272E-2,1.398319378E-3,5.914495140E-2
7.010965417E-1,-2.512910962E-2,6.757131778E-3,5.799819529E-2
7.110355417E-1,-2.417159267E-2,1.105550583E-2,5.656203628E-2
7.209745417E-1,-2.092706226E-2,1.219533850E-2,5.533804744E-2
7.309135417E-1,-1.959633641E-2,8.764372207E-3,5.336367339E-2
7.408525417E-1,-1.943388395E-2,3.447636962E-3,4.919316247E-2
7.507915417E-1,-2.409739606E-2,-6.699705962E-3,4.821048304E-2
