"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.388615000E-3,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
9.494154000E-3,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
1.147723100E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
1.349238500E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
1.547600000E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
1.748892300E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
1.947323100E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
2.148776900E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
2.347169200E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
2.548500000E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
2.746992300E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
2.948253800E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
3.146707700E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
3.348123100E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
3.549453800E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
3.747884600E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
3.949207700E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
4.147638500E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
4.348992300E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
4.547453800E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
4.748953900E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
4.947230900E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
5.148561600E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
5.346961600E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
5.548407800E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
5.746684700E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
5.948184700E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
6.146554000E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
6.347969300E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
6.549384700E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
6.747815500E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
6.949138600E-2,-2.871066704E-2,-3.543018401E-1,4.703662544E-2
7.147577000E-2,-6.047565863E-2,-2.993239649E-2,8.918632567E-2
7.348923200E-2,-6.169738993E-2,-1.588249579E-2,9.162978828E-2
7.547361600E-2,-6.230825558E-2,-8.552113548E-3,9.101892263E-2
7.748684700E-2,-6.475171447E-2,5.497787148E-3,9.285151958E-2
7.947084700E-2,-6.658431143E-2,1.343903504E-2,9.162978828E-2
8.148492400E-2,-6.780604273E-2,2.748893574E-2,9.834930301E-2
8.346869300E-2,-7.208210230E-2,4.031710699E-2,9.468411654E-2
8.548254000E-2,-7.086037099E-2,4.703662544E-2,1.001819000E-1
8.746777100E-2,-7.208210230E-2,5.986479297E-2,1.007927656E-1
8.948038700E-2,-7.513642311E-2,6.963863969E-2,1.038470939E-1
9.149423300E-2,-7.757988572E-2,7.208210230E-2,1.020144969E-1
9.347877100E-2,-8.002334833E-2,7.574728876E-2,1.056796908E-1
9.549231000E-2,-8.063421398E-2,8.124507964E-2,1.105666086E-1
9.747515600E-2,-8.002334833E-2,8.063421398E-2,1.117883399E-1
9.949077100E-2,-8.063421398E-2,7.696902007E-2,1.160643995E-1
1.014738480E-1,-8.246681094E-2,6.902777404E-2,1.178969890E-1
1.034880790E-1,-8.491026610E-2,6.475171447E-2,1.166752651E-1
1.054723870E-1,-8.429940045E-2,5.803219974E-2,1.178969890E-1
1.074867710E-1,-8.491026610E-2,4.276056588E-2,1.215621829E-1
1.094698480E-1,-8.674286306E-2,3.543018550E-2,1.197295859E-1
1.114843100E-1,-8.368854225E-2,2.138028294E-2,1.233947799E-1
1.134671560E-1,-8.491026610E-2,1.527163107E-2,1.221730486E-1
1.154812330E-1,-8.429940045E-2,-2.443460980E-3,1.215621829E-1
1.174650020E-1,-8.552113175E-2,-2.015855350E-2,1.197295859E-1
1.194790790E-1,-8.491026610E-2,-2.871066704E-2,1.197295859E-1
1.214929250E-1,-8.491026610E-2,-4.764748737E-2,1.166752651E-1
1.234772330E-1,-8.368854225E-2,-6.597344577E-2,1.130100712E-1
