"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.997384290E-1,-2.048693895E-1,7.906532288E-2,-1.478595734E-1
6.077336160E-1,-2.170981169E-1,9.595298767E-2,-8.805751801E-3
6.157295720E-1,-1.495107412E-1,9.629631042E-2,5.141067505E-2
6.237247590E-1,-8.144509792E-2,9.657573700E-2,1.329312325E-1
6.317197920E-1,-7.039844990E-2,1.035432816E-1,2.134294510E-1
6.397158250E-1,-3.489327431E-2,7.866477966E-2,2.421827316E-1
6.477423960E-1,1.771461964E-2,6.002807617E-2,2.523508072E-1
6.557375070E-1,1.066601276E-2,7.636356354E-2,2.415733337E-1
6.637335400E-1,-1.094353199E-2,6.564521790E-2,2.055950165E-1
6.717294960E-1,-8.759117126E-2,5.935287476E-2,1.330285072E-1
6.797255290E-1,-1.640061140E-1,4.833793640E-2,4.135417938E-2
6.877213320E-1,-2.330831289E-1,2.789497375E-2,-2.375507355E-2
6.957160570E-1,-2.381967306E-1,-2.797889709E-2,-1.452178955E-1
7.037422440E-1,-2.490440607E-1,-4.022693634E-2,-2.438464165E-1
7.117373550E-1,-2.175967693E-1,-7.566642761E-2,-2.666015625E-1
7.197333880E-1,-1.435512304E-1,-1.009225845E-1,-2.234187126E-1
7.277297280E-1,-1.100827456E-1,-1.136445999E-1,-2.031559944E-1
7.357243000E-1,-7.656717300E-2,-1.094779968E-1,-1.203961372E-1
7.437202560E-1,-1.003384590E-1,-6.470108032E-2,-6.417465210E-2
7.517156740E-1,-1.100707054E-1,-5.856418610E-2,-3.000545502E-2
7.597418600E-1,-1.633875370E-1,-6.712627411E-2,-2.980041504E-2
7.677391250E-1,-1.843223572E-1,-1.143150330E-1,-7.290601730E-2
7.757330040E-1,-2.155704498E-1,-1.926555634E-1,-1.181945801E-1
7.837288070E-1,-2.851773500E-1,-2.393369675E-1,-2.222952843E-1
7.917238400E-1,-3.490951061E-1,-2.610445023E-1,-2.840104103E-1
7.997211030E-1,-4.343116283E-1,-2.666006088E-1,-3.503656387E-1
8.077169060E-1,-4.407814741E-1,-2.632141113E-1,-3.781123161E-1
8.157420940E-1,-4.078811407E-1,-2.735471725E-1,-4.041070938E-1
8.237372800E-1,-4.281562567E-1,-3.123273849E-1,-4.261016846E-1
8.317336210E-1,-5.622040033E-1,-3.956022263E-1,-5.318274498E-1
8.397289620E-1,-6.057003140E-1,-2.757863998E-1,-7.555196285E-1
8.477259950E-1,-6.124196649E-1,-2.510986328E-1,-5.414853096E-1
8.557197970E-1,-6.304442286E-1,-2.379827499E-1,-5.748293400E-1
8.637159070E-1,-6.068020463E-1,-2.245883942E-1,-5.853097439E-1
8.717405560E-1,-4.848117828E-1,-2.086877823E-1,-5.992777348E-1
8.797383590E-1,-3.906599283E-1,-1.115465164E-1,-6.884415150E-1
8.877337760E-1,-2.866433859E-1,-1.461410522E-2,-8.023252487E-1
8.957289630E-1,-2.011181116E-1,1.298503876E-1,-8.622503281E-1
9.037243040E-1,-8.747291565E-2,2.261371613E-1,-8.397083282E-1
9.117210290E-1,7.241654396E-2,2.859840393E-1,-8.098828793E-1
9.197169850E-1,2.411223650E-1,2.472476959E-1,-7.249970436E-1
9.277431730E-1,3.615778685E-1,2.366638184E-1,-6.262474060E-1
9.357379750E-1,3.679764271E-1,1.751794815E-1,-4.663929939E-1
9.437337010E-1,3.300294876E-1,1.460552216E-1,-2.946984768E-1
9.517261180E-1,2.425347567E-1,9.792137146E-2,-1.685545444E-1
9.597249210E-1,1.728975773E-1,6.509208679E-2,-1.367707253E-1
9.677205690E-1,1.545764208E-1,7.438850403E-2,-1.408479214E-1
