"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.470372500E-1,7.264670730E-1,1.255910248E-1,-7.367939353E-1
8.570322500E-1,7.141403556E-1,1.870505512E-2,-8.060529232E-1
8.670272500E-1,7.154314518E-1,-7.318685204E-2,-8.653942347E-1
8.770222500E-1,7.162293196E-1,-1.420213133E-1,-9.084945321E-1
8.870162500E-1,7.069008350E-1,-1.825639009E-1,-9.224866629E-1
8.970112500E-1,6.692152619E-1,-2.036500126E-1,-9.238605499E-1
9.070062500E-1,6.205964088E-1,-2.099578977E-1,-9.140897989E-1
9.170012500E-1,5.612755418E-1,-2.068800926E-1,-9.029503465E-1
9.269962500E-1,5.078715682E-1,-1.980505139E-1,-8.830606937E-1
9.369912500E-1,4.581461251E-1,-1.764392257E-1,-8.648001552E-1
9.469846250E-1,4.088677466E-1,-1.702857465E-1,-8.547738194E-1
9.569796250E-1,3.614272475E-1,-1.720498204E-1,-8.320788741E-1
9.669746250E-1,3.069519103E-1,-1.908893883E-1,-8.048712015E-1
9.769696250E-1,2.567217648E-1,-2.157856822E-1,-7.663254142E-1
9.869646250E-1,2.110932171E-1,-2.439154088E-1,-7.282649875E-1
9.969596250E-1,1.868222356E-1,-2.743239105E-1,-6.867095232E-1
1.006954625E0,1.749165356E-1,-2.958855927E-1,-6.402695179E-1
1.016948625E0,1.590092033E-1,-3.127564490E-1,-6.063832045E-1
1.026943625E0,1.365842968E-1,-3.290213048E-1,-5.786793828E-1
1.036938625E0,9.811466187E-2,-3.328778446E-1,-5.482138395E-1
1.046933625E0,6.258060783E-2,-3.224192262E-1,-5.055316091E-1
1.056928625E0,3.376573697E-2,-3.138755262E-1,-4.525440335E-1
1.066923625E0,7.379611023E-3,-3.057342470E-1,-3.940217793E-1
1.076917625E0,-9.006892797E-4,-2.989533246E-1,-3.399646580E-1
1.086912625E0,-2.311269520E-3,-2.679571211E-1,-2.799746692E-1
1.096907625E0,-5.876718205E-4,-2.363728583E-1,-2.205920666E-1
1.106902625E0,4.406021442E-3,-2.082381546E-1,-1.624358147E-1
1.116897625E0,1.700064354E-2,-1.491218358E-1,-1.005080044E-1
1.126892625E0,2.033631131E-2,-5.747951940E-2,-2.851378918E-2
1.136887625E0,1.401716378E-2,6.615134329E-2,5.194190517E-2
1.146881625E0,1.384831872E-2,2.011634856E-1,1.391575038E-1
1.156876625E0,1.793413982E-2,2.943576276E-1,2.240939587E-1
1.166871625E0,3.104592487E-2,3.226528168E-1,2.984574437E-1
1.176866625E0,3.625560179E-2,3.126108348E-1,3.538288176E-1
1.186861625E0,1.834136806E-2,2.727731168E-1,3.900384009E-1
1.196856625E0,-1.427010354E-2,1.877026707E-1,4.161517620E-1
1.206850625E0,-6.132664531E-2,6.512152404E-2,4.217083156E-1
1.216845625E0,-1.046328470E-1,-5.989711359E-2,4.160957038E-1
1.226840625E0,-1.493148059E-1,-1.666112393E-1,4.057908356E-1
1.236835625E0,-1.932393909E-1,-2.383208573E-1,3.850951493E-1
1.246830625E0,-2.354888618E-1,-2.550930083E-1,3.583623767E-1
1.256825625E0,-2.883986831E-1,-2.396639884E-1,3.380419314E-1
1.266819625E0,-3.375541568E-1,-2.110082805E-1,3.204779923E-1
1.276814625E0,-4.013073146E-1,-1.794516891E-1,3.013453186E-1
1.286809625E0,-4.505731761E-1,-1.524858326E-1,2.781979740E-1
1.296804625E0,-4.749344587E-1,-1.416720748E-1,2.542431355E-1
1.306799625E0,-4.705533385E-1,-1.391223371E-1,2.387952805E-1
1.316794625E0,-4.546015263E-1,-1.556925178E-1,2.230972797E-1
1.326789625E0,-4.053037465E-1,-1.975373626E-1,2.049475312E-1
1.336783625E0,-3.285479844E-1,-2.493531555E-1,1.887722909E-1
1.346778625E0,-2.370103449E-1,-2.856174409E-1,1.831053495E-1
1.356773625E0,-1.498903632E-1,-2.923768163E-1,1.859994084E-1
1.366768625E0,-7.250773907E-2,-2.656887174E-1,1.842972040E-1
1.376763625E0,-2.210288495E-2,-2.307616174E-1,1.567177773E-1
1.386758625E0,3.500422090E-2,-1.054943800E-1,1.308689266E-1
1.396752625E0,9.702818096E-2,6.981671602E-2,1.271583438E-1
1.406747625E0,1.570587009E-1,2.481385469E-1,1.343367100E-1
1.416742625E0,2.070284039E-1,4.290015399E-1,1.518725604E-1
1.426737625E0,2.484761924E-1,5.802449584E-1,1.671210527E-1
1.436732625E0,2.780671120E-1,6.699032187E-1,1.774173677E-1
1.446727625E0,2.874476612E-1,6.954817772E-1,1.723004878E-1
1.456721625E0,2.825493217E-1,6.704105139E-1,1.602382362E-1
1.466716625E0,2.714288831E-1,6.057488322E-1,1.473809630E-1
1.476711625E0,2.576464713E-1,5.058909059E-1,1.313229054E-1
1.486706625E0,2.589424551E-1,3.985525072E-1,1.037521735E-1
1.496701625E0,2.594215572E-1,2.884928584E-1,6.939952075E-2
1.506696625E0,2.556760013E-1,1.613993049E-1,2.500872128E-2
1.516691625E0,2.343648672E-1,2.998056822E-2,-2.501742728E-2
1.526685625E0,2.099073529E-1,-8.826096356E-2,-7.817301154E-2
1.536680625E0,1.761571020E-1,-1.884687841E-1,-1.263951212E-1
1.546675625E0,1.423061341E-1,-2.476402372E-1,-1.669129133E-1
1.556670625E0,1.028604582E-1,-2.882017791E-1,-2.030663937E-1
1.566665625E0,6.851398945E-2,-3.202657700E-1,-2.480728179E-1
1.576660625E0,4.354738072E-2,-3.345515132E-1,-2.988374531E-1
1.586654625E0,3.516665846E-2,-3.352514803E-1,-3.404351771E-1
1.596649625E0,3.180468082E-2,-3.265275061E-1,-3.624792397E-1
1.606644625E0,3.587784618E-2,-3.051163256E-1,-3.663539290E-1
1.616639625E0,3.763100505E-2,-2.739110291E-1,-3.614904583E-1
1.626634625E0,3.597219661E-2,-2.355635464E-1,-3.554063141E-1
1.636629625E0,4.017759487E-2,-2.080624104E-1,-3.496727943E-1
1.646623625E0,3.980043158E-2,-1.810513288E-1,-3.502205312E-1
1.656618625E0,4.996225610E-2,-1.738852859E-1,-3.483451307E-1
1.666613625E0,6.777571142E-2,-1.854348928E-1,-3.445961177E-1
1.676608625E0,7.624056935E-2,-2.171313018E-1,-3.334952593E-1
1.686603625E0,8.355303109E-2,-2.609969676E-1,-3.186453879E-1
