"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.953119860E-1,-1.914405823E0,-1.273571491E0,-5.831556320E-1
7.033375100E-1,-1.898470044E0,-1.161469936E0,-5.344810486E-1
7.113331870E-1,-1.995530963E0,-1.251456738E0,-4.204645157E-1
7.193288650E-1,-2.105958462E0,-1.432786942E0,-1.411337852E-1
7.273266960E-1,-2.359259605E0,-1.719358444E0,-1.290693283E-1
7.353202190E-1,-2.425642729E0,-1.902775764E0,1.978034973E-1
7.433153580E-1,-2.310690165E0,-1.936246872E0,4.175043106E-1
7.513109590E-1,-2.082029343E0,-1.843135834E0,3.673844337E-1
7.593365590E-1,-1.876088500E0,-1.627018452E0,1.941246986E-1
7.673324670E-1,-1.611003757E0,-1.337582588E0,2.690858841E-1
7.753282210E-1,-1.338416696E0,-1.054055214E0,3.898525238E-2
7.833228990E-1,-1.144845724E0,-8.162121773E-1,-3.373684883E-1
7.913194990E-1,-9.939349890E-1,-6.814942360E-1,-6.501512527E-1
7.993151760E-1,-6.466996670E-1,-6.398048401E-1,-9.860010147E-1
8.073120840E-1,-3.523103595E-1,-6.734390259E-1,-1.245783329E0
8.153363770E-1,-1.099455208E-1,-7.892203331E-1,-1.169916153E0
8.233324390E-1,1.640280932E-1,-9.384074211E-1,-1.003316402E0
8.313283470E-1,3.588147759E-1,-9.710073471E-1,-1.050787449E0
8.393228710E-1,6.127600074E-1,-8.816156387E-1,-1.137080193E0
8.473193940E-1,8.238907456E-1,-7.223362923E-1,-1.194632530E0
8.553151480E-1,8.531990051E-1,-5.165205002E-1,-1.090764046E0
8.633102100E-1,7.768433690E-1,-3.579435349E-1,-7.244968414E-1
8.713363490E-1,7.292401791E-1,-3.704681396E-1,-1.662855148E-1
8.793319500E-1,9.083639979E-1,-6.601128578E-1,7.848272324E-1
8.873295500E-1,1.027849674E0,-8.549437523E-1,1.255482674E0
8.953245350E-1,1.009891987E0,-7.878108025E-1,9.908118248E-1
9.033184430E-1,9.447956085E-1,-4.991488457E-1,5.054163933E-1
9.113146590E-1,9.511159658E-1,-3.535466194E-1,2.916955948E-1
9.193100290E-1,8.754673600E-1,-3.785500526E-1,1.280403137E-1
9.273353210E-1,7.008348703E-1,-4.617691040E-1,2.082948685E-1
9.353319220E-1,1.980064958E-1,-5.302295685E-1,3.612871170E-1
9.433265990E-1,-4.796243310E-1,-7.288746834E-1,6.288948059E-1
9.513231990E-1,-8.888832927E-1,-7.453842163E-1,3.990035057E-1
9.593185690E-1,-8.197034597E-1,-8.175945282E-1,3.431172371E-1
9.673155540E-1,-2.967934906E-1,-1.028350830E0,5.024404526E-1
9.753086930E-1,5.026450157E-1,-1.340493679E0,5.211949348E-1
9.833357550E-1,1.111619473E0,-1.439135075E0,4.845609665E-1
9.993262630E-1,1.781965733E0,-1.101991653E0,5.000176430E-1
1.007321864E0,1.806331396E0,-9.989933968E-1,3.017520905E-1
1.015317926E0,1.877013922E0,-1.005498886E0,3.658885956E-1
1.023313834E0,1.690610051E0,-1.039184093E0,6.552653313E-1
1.031309203E0,1.075144410E0,-1.202995300E0,1.617556572E0
1.039335727E0,3.431445956E-1,-1.338627338E0,1.493635654E0
1.047332866E0,-2.594963014E-1,-1.314284801E0,1.324902534E0
1.055327389E0,-7.133088708E-1,-1.236106396E0,1.124732971E0
1.063322143E0,-9.231064916E-1,-1.524790287E0,1.585936069E0
1.071317129E0,-6.793311834E-1,-1.739026546E0,1.208264828E0
1.079312883E0,-2.539766729E-1,-1.769529343E0,1.034402847E0
1.087308868E0,3.710695505E-1,-1.618025780E0,4.328002930E-1
1.095335007E0,7.175495625E-1,-1.439297199E0,5.300283432E-2
1.103330915E0,7.721190453E-1,-1.292184353E0,-1.303305626E-1
1.111326054E0,6.387823820E-1,-1.224564075E0,-9.306335449E-2
1.119321731E0,5.022377372E-1,-1.242432594E0,2.518939972E-2
1.127318562E0,3.530143499E-1,-1.274078369E0,2.316060066E-1
1.135312701E0,1.154237092E-1,-1.228856087E0,5.378999710E-1
1.143339148E0,-1.819692850E-1,-1.198171139E0,7.114329338E-1
1.151334825E0,-6.414597034E-1,-1.152992249E0,8.888459206E-1
1.159330194E0,-8.711768389E-1,-1.184657574E0,1.024390697E0
1.167325256E0,-1.024681211E0,-1.247467995E0,1.240356445E0
1.175321934E0,-1.065765858E0,-1.294678211E0,1.220015526E0
1.183316380E0,-9.940975308E-1,-1.376416683E0,1.114626884E0
1.191312288E0,-7.550394535E-1,-1.354302883E0,7.759180069E-1
1.199307735E0,-4.284125566E-1,-1.263807297E0,3.890371323E-1
1.207335642E0,1.049233079E-1,-1.050750732E0,-4.709339142E-2
1.215329781E0,4.467766285E-1,-8.580150604E-1,-4.191207886E-1
1.223325844E0,3.765084147E-1,-6.129064560E-1,-5.668797493E-1
1.231321214E0,6.329309940E-2,-4.732928276E-1,-6.005444527E-1
1.239316583E0,-3.229675293E-1,-4.487009048E-1,-5.028162003E-1
1.247311876E0,-7.386994362E-1,-4.384589195E-1,-3.748493195E-1
1.255338398E0,-1.056177497E0,-5.290923119E-1,-1.742296219E-1
1.263334076E0,-1.286068082E0,-7.300605774E-1,7.826280594E-1
1.271329445E0,-1.724057913E0,-8.229374886E-1,4.213066101E-1
1.279325046E0,-2.163886070E0,-6.058373451E-1,-2.324886322E-1
1.287322338E0,-2.099662781E0,-1.823801994E-1,-6.390004158E-1
1.295316785E0,-1.513484716E0,2.049036026E-1,-9.383277893E-1
1.303311771E0,-5.657088757E-1,5.394606590E-1,-1.130487442E0
1.311307218E0,1.571630239E-1,7.018082142E-1,-1.440058231E0
1.319334202E0,5.064523220E-1,7.098705769E-1,-1.664695263E0
1.327328725E0,3.471615314E-1,7.967152596E-1,-1.768246174E0
1.335325018E0,-5.755662918E-2,8.996272087E-1,-1.696159840E0
1.343320003E0,-5.454447269E-1,9.955914021E-1,-1.205576897E0
1.351315065E0,-7.301628590E-1,9.377210140E-1,-6.052646637E-1
1.359311665E0,-8.111820221E-1,8.744351864E-1,-2.451791763E-1
1.367339112E0,-7.605729103E-1,9.352507591E-1,-4.967594147E-2
1.375332943E0,-5.512421131E-1,1.115187168E0,-1.167774200E-1
1.383328620E0,-3.029689789E-1,1.412881136E0,-1.734447479E-1
1.391323913E0,-1.776006222E-1,1.672122478E0,-1.269435883E-1
1.399320513E0,-1.603922844E-1,1.898408294E0,-2.320518494E-1
1.407315268E0,-2.013711929E-1,1.899396062E0,-7.664871216E-2
1.415311637E0,-1.357908249E-1,1.751691937E0,8.556842804E-2
1.423336545E0,-5.923032761E-3,1.353633404E0,1.537685394E-1
1.431332838E0,3.882122040E-2,1.078362226E0,-2.164363861E-2
