"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.233583000E-3,8.674286306E-2,1.343903504E-2,-6.719517708E-2
9.338579000E-3,8.674286306E-2,1.343903504E-2,-6.719517708E-2
1.132188200E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
1.333641800E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
1.532002900E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
1.733425600E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
1.931794400E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
2.133209500E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
2.331516800E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
2.532985600E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
2.731392900E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
2.932708000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
3.131053800E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
3.332522600E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
3.533883700E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
3.732275700E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
3.933721500E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
4.132036500E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
4.333513000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
4.531874200E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
4.733512300E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
4.931596500E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
5.133050000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
5.331418900E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
5.532857000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
5.731202700E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
5.932610000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
6.134002000E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
6.332363100E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
6.533808900E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
6.732308500E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
6.933592800E-2,8.674286306E-2,1.343903504E-2,-6.719517708E-2
7.131992400E-2,1.453859210E-1,3.237585723E-2,-1.014036313E-1
7.333345900E-2,1.435533315E-1,3.420845419E-2,-1.014036313E-1
7.531691600E-2,1.386664063E-1,3.543018550E-2,-1.020144969E-1
7.733168200E-2,1.356120855E-1,3.420845419E-2,-1.014036313E-1
7.931498600E-2,1.313360333E-1,3.604105115E-2,-1.032362282E-1
8.132913600E-2,1.288925707E-1,3.420845419E-2,-1.050688252E-1
8.331251700E-2,1.258382350E-1,3.420845419E-2,-1.081231460E-1
8.532674400E-2,1.221730486E-1,3.420845419E-2,-1.087340117E-1
8.731227900E-2,1.160643995E-1,3.604105115E-2,-1.111774743E-1
8.932573600E-2,1.130100712E-1,3.665191308E-2,-1.154535338E-1
9.133873200E-2,1.099557430E-1,3.604105115E-2,-1.185078546E-1
9.332303700E-2,1.062905490E-1,3.420845419E-2,-1.203404516E-1
9.533687900E-2,9.957103431E-2,3.237585723E-2,-1.252273768E-1
9.731987500E-2,9.468411654E-2,3.420845419E-2,-1.264491081E-1
9.933494800E-2,9.285151958E-2,2.993239649E-2,-1.325577646E-1
1.013180220E-1,8.979719132E-2,2.932153270E-2,-1.337794960E-1
1.033324800E-1,8.429940045E-2,2.687807009E-2,-1.392772794E-1
1.053171680E-1,7.880161703E-2,2.321287990E-2,-1.447750628E-1
1.073310100E-1,7.574728876E-2,2.015855350E-2,-1.472185254E-1
1.093140070E-1,7.208210230E-2,1.954768784E-2,-1.533271819E-1
1.113278490E-1,6.658431143E-2,1.832595654E-2,-1.588249654E-1
1.133116150E-1,6.352998316E-2,1.832595654E-2,-1.606575549E-1
1.153256870E-1,5.803219974E-2,2.138028294E-2,-1.704314053E-1
1.173404540E-1,5.131268129E-2,2.199114859E-2,-1.747074574E-1
1.193229880E-1,4.825835302E-2,2.138028294E-2,-1.783726513E-1
1.213377530E-1,4.581489414E-2,2.138028294E-2,-1.857030392E-1
1.233208260E-1,3.909537569E-2,2.138028294E-2,-1.905899495E-1
1.253345930E-1,3.665191308E-2,2.138028294E-2,-1.924225539E-1
1.273188960E-1,2.932153270E-2,1.710422710E-2,-1.991420686E-1
1.293331230E-1,2.199114859E-2,2.015855350E-2,-2.064724565E-1
1.313170420E-1,2.015855350E-2,2.076941915E-2,-2.107485086E-1
1.333309620E-1,1.282817032E-2,1.710422710E-2,-2.156354338E-1
1.353149580E-1,7.941247895E-3,1.832595654E-2,-2.199114859E-1
1.373293390E-1,0.000000000E0,1.527163107E-2,-2.229658216E-1
1.393121810E-1,-9.773843922E-3,1.343903504E-2,-2.296853364E-1
1.413260240E-1,-1.404990070E-2,1.160643995E-2,-2.327396572E-1
1.433401740E-1,-2.321287990E-2,7.330383174E-3,-2.376265824E-1
1.453250930E-1,-3.481931984E-2,3.665191587E-3,-2.461786866E-1
1.473391660E-1,-3.909537569E-2,3.054326167E-3,-2.504547536E-1
1.493226250E-1,-4.825835302E-2,-1.832595794E-3,-2.559525371E-1
1.513370050E-1,-6.047565863E-2,-6.108652335E-3,-2.626720667E-1
1.533198470E-1,-6.719517708E-2,-8.552113548E-3,-2.700024247E-1
1.553343050E-1,-7.757988572E-2,-1.466076635E-2,-2.748893499E-1
1.573173790E-1,-9.101892263E-2,-2.138028294E-2,-2.858849466E-1
1.593327590E-1,-9.590584040E-2,-2.382374369E-2,-2.895501256E-1
1.613149090E-1,-1.056796908E-1,-3.298672289E-2,-2.999348342E-1
1.633293670E-1,-1.203404516E-1,-3.665191308E-2,-3.060434759E-1
1.653130560E-1,-1.270599663E-1,-4.153883830E-2,-3.103195429E-1
1.673292830E-1,-1.380555481E-1,-4.642575979E-2,-3.188716471E-1
1.693120480E-1,-1.417207420E-1,-5.009094998E-2,-3.207042515E-1
