"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.706804910E-1,5.497787148E-3,-6.719517522E-3,-2.443460980E-3
1.726949540E-1,5.497787148E-3,-7.330383174E-3,-1.832595794E-3
1.746792640E-1,4.276056774E-3,-9.162978269E-3,-3.054326167E-3
1.766928820E-1,3.665191587E-3,-9.773843922E-3,-1.221730490E-3
1.786761920E-1,6.719517522E-3,-1.099557430E-2,-2.443460980E-3
1.806919630E-1,5.497787148E-3,-1.221730467E-2,6.108652451E-4
1.826746580E-1,3.665191587E-3,-1.160643995E-2,-6.108652451E-4
1.846878900E-1,4.276056774E-3,-1.221730467E-2,-6.108652451E-4
1.866725080E-1,4.886921961E-3,-1.282817032E-2,2.443460980E-3
1.886866650E-1,3.665191587E-3,-1.160643995E-2,6.108652451E-4
1.906692050E-1,5.497787148E-3,-1.282817032E-2,1.832595794E-3
1.926836690E-1,3.054326167E-3,-1.099557430E-2,6.108652451E-4
1.946679780E-1,1.832595794E-3,-1.282817032E-2,2.443460980E-3
1.966817500E-1,0.000000000E0,-8.552113548E-3,2.443460980E-3
1.986657520E-1,-6.108652451E-4,-6.719517522E-3,1.221730490E-3
2.006802930E-1,-1.832595794E-3,-5.497787148E-3,4.886921961E-3
2.026938340E-1,-1.832595794E-3,-6.719517522E-3,3.665191587E-3
2.046781430E-1,0.000000000E0,-6.719517522E-3,4.276056774E-3
2.066925300E-1,-1.221730490E-3,-4.886921961E-3,3.665191587E-3
2.086750700E-1,-3.054326167E-3,-7.941247895E-3,3.665191587E-3
2.106895350E-1,-1.832595794E-3,-7.941247895E-3,4.276056774E-3
2.126725370E-1,-4.276056774E-3,-7.330383174E-3,3.054326167E-3
2.146876160E-1,-3.054326167E-3,-7.941247895E-3,4.886921961E-3
2.166710020E-1,-5.497787148E-3,-1.038470957E-2,3.054326167E-3
2.186851580E-1,-3.054326167E-3,-9.773843922E-3,3.054326167E-3
2.206700830E-1,-3.054326167E-3,-1.099557430E-2,4.886921961E-3
2.226830860E-1,-1.832595794E-3,-8.552113548E-3,4.886921961E-3
2.246660880E-1,-3.054326167E-3,-9.773843922E-3,3.665191587E-3
2.266814750E-1,-2.443460980E-3,-1.099557430E-2,3.054326167E-3
2.286944000E-1,-3.665191587E-3,-1.404990070E-2,3.665191587E-3
2.306778640E-1,-2.443460980E-3,-1.221730467E-2,2.443460980E-3
2.326922510E-1,-1.832595794E-3,-1.527163107E-2,1.832595794E-3
