"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.286879167E-2,7.956099510E-2,-1.095950678E-1,-1.823133416E-2
2.286379167E-2,8.415306360E-2,-3.060197458E-2,-1.455232315E-2
3.285779167E-2,8.358182013E-2,4.210312292E-2,-1.920673065E-2
4.285279167E-2,8.712116629E-2,9.715431929E-2,-2.987052314E-2
5.284779167E-2,8.897525817E-2,1.297476888E-1,-3.371959180E-2
6.284179167E-2,9.249040484E-2,1.475791037E-1,-4.082299024E-2
7.283679167E-2,9.583746642E-2,1.489578187E-1,-5.095844716E-2
8.283179167E-2,1.046876609E-1,1.481815875E-1,-5.942722410E-2
9.282579167E-2,1.135682315E-1,1.479877084E-1,-7.969680429E-2
1.028207917E-1,1.228972822E-1,1.588098258E-1,-1.071063802E-1
1.128147917E-1,1.392360330E-1,1.908226162E-1,-1.248925701E-1
1.228097917E-1,1.577135921E-1,2.279255986E-1,-1.382469088E-1
1.328047917E-1,1.827145517E-1,2.748630047E-1,-1.543028355E-1
1.427987917E-1,2.089605480E-1,3.255321085E-1,-1.760596782E-1
1.527937917E-1,2.458937913E-1,3.818859458E-1,-2.047080994E-1
1.627877917E-1,2.619023025E-1,4.364075363E-1,-2.406665385E-1
1.727827917E-1,2.629166842E-1,5.104594231E-1,-2.899869382E-1
1.827777917E-1,2.610256076E-1,5.979492664E-1,-3.626663089E-1
1.927717917E-1,2.688854039E-1,6.705837846E-1,-4.625697136E-1
2.027667917E-1,2.786666453E-1,7.181292176E-1,-5.792801380E-1
2.127607917E-1,2.946738601E-1,7.730239034E-1,-6.886159182E-1
2.227557917E-1,3.093151152E-1,8.212031722E-1,-8.020918965E-1
2.327507917E-1,3.349059522E-1,8.890178800E-1,-9.218004346E-1
2.427447917E-1,3.603476286E-1,9.665328860E-1,-1.061133742E0
2.527397917E-1,3.778920174E-1,1.056877971E0,-1.214149833E0
2.627337917E-1,3.899867833E-1,1.166280866E0,-1.366640806E0
2.727287917E-1,4.056626856E-1,1.306988120E0,-1.530684590E0
2.827237917E-1,4.045556188E-1,1.491097331E0,-1.695949912E0
2.927177917E-1,4.011779130E-1,1.721290827E0,-1.847132564E0
3.027127917E-1,3.978500366E-1,1.956167579E0,-1.987141848E0
3.127067917E-1,4.026802182E-1,2.188431978E0,-2.125231504E0
3.227017917E-1,4.102473259E-1,2.403718948E0,-2.253054142E0
3.326967917E-1,4.192607999E-1,2.582860947E0,-2.382072449E0
3.426907917E-1,4.191444218E-1,2.744565964E0,-2.499591589E0
3.526857917E-1,4.169451594E-1,2.883415222E0,-2.573967457E0
3.626797917E-1,4.248438179E-1,2.955073118E0,-2.617026329E0
3.726747917E-1,4.393428564E-1,2.977741241E0,-2.663035631E0
3.826697917E-1,4.689676464E-1,2.960309505E0,-2.704298496E0
3.926637917E-1,4.967170060E-1,2.900734901E0,-2.732008696E0
4.026587917E-1,5.247147679E-1,2.810787201E0,-2.737502098E0
4.126537917E-1,5.486970544E-1,2.720227718E0,-2.707498074E0
4.226477917E-1,5.710883737E-1,2.636270046E0,-2.650141954E0
4.326427917E-1,5.693719983E-1,2.551256657E0,-2.585787058E0
4.426367917E-1,5.581678152E-1,2.466446400E0,-2.528298855E0
4.526317917E-1,5.382175446E-1,2.370128632E0,-2.470710993E0
4.626267917E-1,5.143947601E-1,2.246181965E0,-2.420268059E0
4.726207917E-1,4.881975055E-1,2.105180740E0,-2.383210182E0
4.826157917E-1,4.744071364E-1,1.965405464E0,-2.354832411E0
4.926097917E-1,4.644567668E-1,1.842008710E0,-2.318227768E0
5.026047917E-1,4.596361816E-1,1.746618867E0,-2.265692472E0
5.125997917E-1,4.739818275E-1,1.705215812E0,-2.193883657E0
5.225937917E-1,4.796389043E-1,1.715083241E0,-2.124119520E0
5.325887917E-1,4.075764418E-1,1.701292038E0,-2.042840719E0
5.425827917E-1,2.893821597E-1,1.607462645E0,-1.939184070E0
5.525777917E-1,1.929978430E-1,1.448348403E0,-1.828149199E0
5.625727917E-1,1.394853443E-1,1.200809002E0,-1.757451057E0
5.725667917E-1,1.076006517E-1,8.712343574E-1,-1.724366069E0
5.825617917E-1,1.217705086E-1,5.055733919E-1,-1.706037045E0
5.925557917E-1,2.605574429E-1,2.543670237E-1,-1.687052727E0
6.025507917E-1,3.899857402E-1,1.490241289E-1,-1.632139921E0
6.125457917E-1,4.234147966E-1,1.752064675E-1,-1.497917652E0
6.225400833E-1,4.406867027E-1,3.158694506E-1,-1.285791278E0
6.325350833E-1,4.459666610E-1,5.540047884E-1,-1.068914890E0
6.425290833E-1,4.287909269E-1,8.049833775E-1,-8.910270333E-1
6.525240833E-1,3.994676471E-1,1.000899076E0,-7.626392245E-1
6.625190833E-1,3.697555661E-1,1.123942137E0,-6.591576338E-1
6.725130833E-1,3.526988029E-1,1.179194570E0,-5.610145926E-1
6.825080833E-1,3.525837958E-1,1.167189956E0,-4.729747772E-1
6.925020833E-1,3.630462885E-1,1.087560892E0,-3.829367757E-1
7.024970833E-1,3.810598850E-1,9.333673120E-1,-2.878867984E-1
7.124920833E-1,4.073503315E-1,7.364130020E-1,-1.963547617E-1
7.224860833E-1,4.308146238E-1,5.272296071E-1,-1.151147559E-1
7.324810833E-1,4.467778802E-1,3.274912238E-1,-4.131589830E-2
7.424750833E-1,4.638682306E-1,1.668042243E-1,2.863691002E-2
7.524700833E-1,4.865956604E-1,4.727888480E-2,9.425693750E-2
7.624650833E-1,4.996459484E-1,-1.647705957E-2,1.485540718E-1
7.724590833E-1,5.029725432E-1,-3.412582725E-2,2.054855376E-1
7.824540833E-1,4.976123273E-1,-4.886682145E-4,2.756196856E-1
7.924480833E-1,4.986490905E-1,6.266552955E-2,3.502142727E-1
8.024430833E-1,4.972357452E-1,1.629174352E-1,4.317470193E-1
8.124380833E-1,4.907426834E-1,2.633617520E-1,5.191650391E-1
8.224320833E-1,4.858648479E-1,3.500624001E-1,6.017936468E-1
8.324270833E-1,4.587155282E-1,4.011562169E-1,6.652905941E-1
8.424210833E-1,4.160490036E-1,4.080707133E-1,6.967093349E-1
8.524160833E-1,3.525603116E-1,3.765631318E-1,7.000305653E-1
8.624110833E-1,2.858287394E-1,3.283007145E-1,6.871596575E-1
8.724050833E-1,2.183122486E-1,2.709223628E-1,6.625440717E-1
8.824000833E-1,1.621970534E-1,1.999957860E-1,6.256781220E-1
8.923940833E-1,1.061771959E-1,1.162415072E-1,5.746450424E-1
9.023890833E-1,5.815026164E-2,3.760638833E-2,5.169555545E-1
9.123840833E-1,3.031809628E-2,-3.227921948E-2,4.612810612E-1
9.223780833E-1,1.626799116E-3,-1.048586443E-1,3.998653889E-1
9.323730833E-1,-2.934443206E-2,-1.821539700E-1,3.243277669E-1
9.423670833E-1,-6.463769823E-2,-2.590174079E-1,2.335491925E-1
9.523620833E-1,-1.027531251E-1,-3.245356977E-1,1.332473457E-1
9.623570833E-1,-1.395098120E-1,-3.804136515E-1,2.374936268E-2
9.723510833E-1,-1.692658514E-1,-4.300895929E-1,-8.173684776E-2
9.823460833E-1,-2.012853026E-1,-4.725704491E-1,-1.872379929E-1
9.923400833E-1,-2.273789495E-1,-5.056823492E-1,-2.878609896E-1
1.002335083E0,-2.469816655E-1,-5.398330092E-1,-3.870748580E-1
1.012330083E0,-2.750854492E-1,-5.641551018E-1,-4.887476861E-1
1.022324083E0,-2.996728420E-1,-5.800311565E-1,-5.936359763E-1
1.032319083E0,-3.302368820E-1,-5.846520066E-1,-7.024127841E-1
1.042313083E0,-3.621141315E-1,-5.747234225E-1,-7.969804406E-1
1.052308083E0,-3.928973377E-1,-5.711843371E-1,-8.848367929E-1
1.062303083E0,-4.173227549E-1,-5.790959001E-1,-9.671834111E-1
1.072297083E0,-4.250099659E-1,-6.324781775E-1,-1.031993032E0
1.082292083E0,-4.203369617E-1,-7.375932336E-1,-1.068429828E0
1.092286083E0,-3.891444206E-1,-8.522066474E-1,-1.075822234E0
1.102281083E0,-3.403270841E-1,-9.656445384E-1,-1.056921244E0
1.112276083E0,-2.919832468E-1,-1.079727769E0,-1.032038808E0
1.122270083E0,-2.206057012E-1,-1.154674292E0,-9.987088442E-1
1.132265083E0,-1.725814492E-1,-1.186480045E0,-9.530819654E-1
1.142259083E0,-1.433317065E-1,-1.109851480E0,-8.900226355E-1
1.152254083E0,-1.479094177E-1,-9.025955200E-1,-8.225024343E-1
1.162249083E0,-1.762957871E-1,-5.925680995E-1,-7.778225541E-1
1.172243083E0,-1.947075576E-1,-2.851620317E-1,-7.899266481E-1
1.182238083E0,-1.995036602E-1,-5.898765847E-2,-8.555980921E-1
1.192232083E0,-1.755594462E-1,1.255097426E-2,-9.220581055E-1
1.202227083E0,-1.874434948E-1,-1.220875382E-1,-9.386215806E-1
1.212222083E0,-1.788774282E-1,-3.980948925E-1,-8.469771743E-1
1.222216083E0,-1.113655046E-1,-5.517348647E-1,-5.477810502E-1
1.232211083E0,-4.562351108E-2,-4.945895374E-1,-1.792038530E-1
1.242205083E0,-4.129427299E-2,-4.112293720E-1,4.682527483E-2
1.252200083E0,-5.382418260E-2,-3.783880472E-1,1.148354858E-1
1.262195083E0,-5.131737143E-2,-3.132276237E-1,1.301918775E-1
1.272189083E0,-3.360947967E-2,-1.638053954E-1,1.809674352E-1
1.282184083E0,-1.087673567E-2,1.456991024E-2,2.585365474E-1
1.292178083E0,1.822256111E-2,1.656648964E-1,3.084385991E-1
1.302173083E0,5.376831442E-2,2.892913222E-1,3.157847524E-1
1.312168083E0,1.038405374E-1,3.821336329E-1,3.175600171E-1
1.322162083E0,1.525508463E-1,4.542500079E-1,3.364263475E-1
1.332157083E0,1.933603287E-1,5.061534047E-1,3.746685684E-1
1.342151083E0,2.331931889E-1,5.627020597E-1,4.064290524E-1
1.352146083E0,2.627832890E-1,6.190665364E-1,4.166084528E-1
1.362141083E0,2.810765505E-1,6.727139354E-1,4.259482026E-1
1.372135083E0,3.094980717E-1,7.338803411E-1,4.442249238E-1
1.382130083E0,3.282051980E-1,7.632746100E-1,4.538196027E-1
1.392124083E0,3.254365921E-1,7.510485649E-1,4.416604042E-1
1.402119083E0,3.477661312E-1,7.148128748E-1,4.183309376E-1
1.412114083E0,3.808303475E-1,6.774434447E-1,4.206689298E-1
1.422108083E0,4.346168637E-1,6.410788894E-1,4.702672958E-1
1.432103083E0,4.882793128E-1,5.816469789E-1,5.595005155E-1
1.442097083E0,5.347985625E-1,4.868759215E-1,6.495991349E-1
1.452092083E0,5.544987917E-1,3.693908155E-1,6.946172118E-1
1.462087083E0,5.446887612E-1,2.765206099E-1,7.062461376E-1
1.472081083E0,5.123366714E-1,2.472633719E-1,6.979272366E-1
1.482076083E0,4.572739899E-1,2.765965462E-1,6.996381283E-1
1.492070083E0,3.920422494E-1,3.525302112E-1,7.149888277E-1
1.502065083E0,3.118954897E-1,4.386284947E-1,7.497472167E-1
1.512060083E0,2.331452817E-1,5.044775009E-1,7.796187997E-1
1.522054083E0,1.633805931E-1,5.170049667E-1,7.839580774E-1
1.532049083E0,1.038506925E-1,4.854033589E-1,7.630000710E-1
1.542043083E0,5.202317610E-2,4.116098285E-1,7.136352062E-1
1.552038083E0,8.662122302E-3,3.141000569E-1,6.314066052E-1
