"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780657357676290E9,"2026-06-05 1:02:37.676 UTC+02:00"
"PAUSE",3.597042970833718E1,1.780657393646738E9,"2026-06-05 1:03:13.647 UTC+02:00"
