"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.449833000E-3,-1.954768784E-2,2.687807009E-2,1.160643995E-2
9.551677000E-3,-1.954768784E-2,2.687807009E-2,1.160643995E-2
1.153905900E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
1.355282700E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
1.553751700E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
1.755128400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
1.953559100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
2.154889700E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
2.353220200E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
2.554635400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
2.752973700E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
2.954458100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
3.152757900E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
3.354242400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
3.555619100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
3.753965100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
3.955557200E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
4.153841600E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
4.355164500E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
4.553556600E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
4.754941100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
4.953402400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
5.154733000E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
5.353125100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
5.554540300E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
5.752917000E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
5.954386100E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
6.152724400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
6.354085800E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
6.555554800E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
6.753808400E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
6.955285200E-2,-1.954768784E-2,2.687807009E-2,1.160643995E-2
7.153592700E-2,-5.253441259E-2,-1.832595794E-3,-5.619960278E-2
7.355069400E-2,-5.558873713E-2,6.108652451E-4,-5.742133409E-2
7.553369200E-2,-5.681046844E-2,1.832595794E-3,-6.047565863E-2
7.754884500E-2,-5.436700583E-2,4.276056774E-3,-6.108652428E-2
7.953345800E-2,-5.742133409E-2,8.552113548E-3,-6.414084882E-2
8.154545600E-2,-5.619960278E-2,1.404990070E-2,-6.291911751E-2
8.352999300E-2,-5.742133409E-2,2.015855350E-2,-6.352998316E-2
8.554422100E-2,-5.619960278E-2,2.871066704E-2,-6.414084882E-2
8.752752700E-2,-5.742133409E-2,3.298672289E-2,-6.414084882E-2
8.954206300E-2,-5.314527452E-2,4.276056588E-2,-6.536258012E-2
9.155560100E-2,-5.436700583E-2,5.436700583E-2,-6.230825558E-2
9.353983000E-2,-5.314527452E-2,5.925392732E-2,-6.169738993E-2
9.555428900E-2,-5.375614017E-2,6.841690838E-2,-6.169738993E-2
9.753674900E-2,-5.131268129E-2,7.880161703E-2,-5.986479297E-2
9.955159300E-2,-5.253441259E-2,8.124507964E-2,-6.047565863E-2
1.015361290E-1,-5.192354694E-2,9.101892263E-2,-5.619960278E-2
1.035491270E-1,-5.314527452E-2,9.773843735E-2,-5.803219974E-2
1.055328190E-1,-4.948008433E-2,9.957103431E-2,-5.436700583E-2
1.075472010E-1,-4.825835302E-2,1.044579595E-1,-5.558873713E-2
1.095308920E-1,-4.642575979E-2,1.099557430E-1,-5.619960278E-2
1.115450440E-1,-4.825835302E-2,1.148426682E-1,-5.558873713E-2
1.135287340E-1,-4.642575979E-2,1.160643995E-1,-5.497787148E-2
1.155420400E-1,-4.825835302E-2,1.203404516E-1,-5.558873713E-2
1.175564990E-1,-4.520402849E-2,1.233947799E-1,-5.497787148E-2
1.195416520E-1,-4.459316283E-2,1.221730486E-1,-5.497787148E-2
1.215546500E-1,-4.337143153E-2,1.240056455E-1,-5.619960278E-2
1.235379560E-1,-4.459316283E-2,1.252273768E-1,-5.803219974E-2
1.255524920E-1,-4.581489414E-2,1.240056455E-1,-5.619960278E-2
1.275364900E-1,-4.581489414E-2,1.252273768E-1,-5.497787148E-2
1.295500270E-1,-4.214970022E-2,1.209513173E-1,-5.742133409E-2
1.315336400E-1,-4.092797264E-2,1.240056455E-1,-5.742133409E-2
1.335474840E-1,-4.276056588E-2,1.209513173E-1,-5.681046844E-2
1.355321750E-1,-4.459316283E-2,1.209513173E-1,-5.497787148E-2
1.375457120E-1,-4.337143153E-2,1.191187203E-1,-5.497787148E-2
1.395302480E-1,-4.520402849E-2,1.178969890E-1,-5.619960278E-2
1.415435540E-1,-4.459316283E-2,1.172861308E-1,-5.314527452E-2
1.435274750E-1,-4.459316283E-2,1.178969890E-1,-5.314527452E-2
1.455410120E-1,-4.459316283E-2,1.142318025E-1,-5.131268129E-2
1.475555480E-1,-4.398229718E-2,1.130100712E-1,-4.948008433E-2
1.495388550E-1,-4.337143153E-2,1.123992056E-1,-5.009094998E-2
1.515533140E-1,-4.153883830E-2,1.117883399E-1,-4.703662544E-2
1.535370050E-1,-4.337143153E-2,1.117883399E-1,-4.642575979E-2
1.555509260E-1,-4.398229718E-2,1.142318025E-1,-4.398229718E-2
1.575351540E-1,-4.214970022E-2,1.142318025E-1,-4.276056588E-2
1.595508450E-1,-4.337143153E-2,1.154535338E-1,-4.153883830E-2
1.615317660E-1,-4.337143153E-2,1.154535338E-1,-4.092797264E-2
1.635469190E-1,-4.398229718E-2,1.178969890E-1,-4.153883830E-2
1.655305320E-1,-4.337143153E-2,1.215621829E-1,-3.970624134E-2
1.675440690E-1,-4.520402849E-2,1.246165112E-1,-4.092797264E-2
1.695278360E-1,-4.764748737E-2,1.252273768E-1,-4.092797264E-2
1.715426030E-1,-4.825835302E-2,1.295034289E-1,-3.970624134E-2
1.735557550E-1,-4.825835302E-2,1.313360333E-1,-4.214970022E-2
1.755410610E-1,-4.948008433E-2,1.325577646E-1,-4.153883830E-2
1.775549060E-1,-5.009094998E-2,1.343903542E-1,-4.214970022E-2
1.795385960E-1,-5.131268129E-2,1.380555481E-1,-4.153883830E-2
1.815523630E-1,-5.375614017E-2,1.392772794E-1,-4.459316283E-2
1.835358230E-1,-5.497787148E-2,1.417207420E-1,-4.337143153E-2
1.855502050E-1,-5.803219974E-2,1.417207420E-1,-4.581489414E-2
1.875342030E-1,-5.925392732E-2,1.392772794E-1,-4.948008433E-2
1.895481250E-1,-5.986479297E-2,1.386664063E-1,-5.070181563E-2
1.915317390E-1,-6.291911751E-2,1.368338168E-1,-5.497787148E-2
1.935449680E-1,-6.597344577E-2,1.337794960E-1,-5.436700583E-2
1.955292730E-1,-6.475171447E-2,1.307251602E-1,-5.681046844E-2
1.975428100E-1,-6.597344577E-2,1.246165112E-1,-5.864306539E-2
1.995588080E-1,-7.208210230E-2,1.215621829E-1,-6.536258012E-2
2.015407290E-1,-7.086037099E-2,1.178969890E-1,-6.597344577E-2
2.035558040E-1,-7.757988572E-2,1.136209369E-1,-6.719517708E-2
2.055391100E-1,-8.246681094E-2,1.136209369E-1,-7.086037099E-2
2.075532620E-1,-8.491026610E-2,1.111774743E-1,-7.024950534E-2
2.095363370E-1,-8.857546002E-2,1.075122803E-1,-7.452555746E-2
2.115514890E-1,-9.040805697E-2,1.075122803E-1,-7.452555746E-2
2.135344870E-1,-9.590584040E-2,1.001819000E-1,-7.574728876E-2
2.155495620E-1,-1.038470939E-1,9.651670605E-2,-7.635815442E-2
2.175326370E-1,-1.069014147E-1,9.773843735E-2,-7.757988572E-2
2.195471740E-1,-1.123992056E-1,8.918632567E-2,-7.635815442E-2
2.215302490E-1,-1.191187203E-1,8.246681094E-2,-7.574728876E-2
2.235443240E-1,-1.227839142E-1,7.941248268E-2,-7.330382615E-2
2.255277070E-1,-1.276708394E-1,7.330382615E-2,-7.330382615E-2
2.275424740E-1,-1.386664063E-1,6.780604273E-2,-7.208210230E-2
2.295570110E-1,-1.398881376E-1,6.475171447E-2,-7.269296050E-2
2.315393930E-1,-1.453859210E-1,5.925392732E-2,-6.963863969E-2
2.335547760E-1,-1.521054506E-1,5.619960278E-2,-7.024950534E-2
2.355373130E-1,-1.557706445E-1,5.375614017E-2,-7.208210230E-2
2.375532350E-1,-1.624901593E-1,5.131268129E-2,-6.841690838E-2
2.395366170E-1,-1.655444801E-1,5.009094998E-2,-7.147123665E-2
2.415490000E-1,-1.704314053E-1,5.009094998E-2,-7.330382615E-2
2.435333050E-1,-1.753183305E-1,4.825835302E-2,-7.819075137E-2
2.455474570E-1,-1.771509200E-1,4.764748737E-2,-7.757988572E-2
2.475314550E-1,-1.802052408E-1,5.070181563E-2,-8.063421398E-2
2.495458390E-1,-1.857030392E-1,5.192354694E-2,-8.491026610E-2
2.515289910E-1,-1.875356287E-1,5.436700583E-2,-8.491026610E-2
2.535430660E-1,-1.924225539E-1,5.742133409E-2,-9.040805697E-2
2.555267560E-1,-1.954768747E-1,6.230825558E-2,-9.529497474E-2
2.575406770E-1,-1.960877478E-1,6.169738993E-2,-9.407325089E-2
2.595557520E-1,-1.985312104E-1,6.536258012E-2,-9.896016866E-2
2.615390580E-1,-1.997529417E-1,6.963863969E-2,-9.957103431E-2
2.635526710E-1,-2.021963894E-1,7.086037099E-2,-1.050688252E-1
2.655360550E-1,-2.028072625E-1,7.696902007E-2,-1.050688252E-1
2.675504370E-1,-2.058615834E-1,7.819075137E-2,-1.087340117E-1
2.695344350E-1,-2.064724565E-1,7.757988572E-2,-1.117883399E-1
2.715482800E-1,-2.070833147E-1,8.124507964E-2,-1.105666086E-1
2.735319700E-1,-2.070833147E-1,8.246681094E-2,-1.105666086E-1
2.755461220E-1,-2.070833147E-1,8.552113175E-2,-1.154535338E-1
2.775298120E-1,-2.070833147E-1,8.857546002E-2,-1.142318025E-1
2.795451960E-1,-2.070833147E-1,9.040805697E-2,-1.142318025E-1
2.815282710E-1,-2.107485086E-1,9.346238524E-2,-1.191187203E-1
2.835418070E-1,-2.089159191E-1,9.773843735E-2,-1.221730486E-1
2.855557280E-1,-2.070833147E-1,9.957103431E-2,-1.221730486E-1
2.875396490E-1,-2.089159191E-1,1.014036313E-1,-1.240056455E-1
2.895544160E-1,-2.089159191E-1,1.075122803E-1,-1.295034289E-1
2.915375680E-1,-2.083050460E-1,1.105666086E-1,-1.313360333E-1
2.935523370E-1,-2.076941878E-1,1.130100712E-1,-1.356120855E-1
2.955363350E-1,-2.101376504E-1,1.136209369E-1,-1.380555481E-1
2.975494860E-1,-2.119702399E-1,1.166752651E-1,-1.398881376E-1
2.995347150E-1,-2.144137025E-1,1.178969890E-1,-1.466076523E-1
3.015473290E-1,-2.162462920E-1,1.191187203E-1,-1.502728462E-1
3.035307880E-1,-2.168571651E-1,1.197295859E-1,-1.508837193E-1
3.055445550E-1,-2.205223590E-1,1.215621829E-1,-1.557706445E-1
3.075288620E-1,-2.217440903E-1,1.215621829E-1,-1.576032341E-1
3.095430140E-1,-2.247984111E-1,1.215621829E-1,-1.600466967E-1
3.115260890E-1,-2.266310006E-1,1.197295859E-1,-1.655444801E-1
3.135403180E-1,-2.315179259E-1,1.221730486E-1,-1.673770845E-1
3.155553160E-1,-2.345722616E-1,1.172861308E-1,-1.734857261E-1
3.175390830E-1,-2.394591719E-1,1.142318025E-1,-1.747074574E-1
3.195538500E-1,-2.412917763E-1,1.160643995E-1,-1.777617931E-1
3.215353880E-1,-2.406809032E-1,1.111774743E-1,-1.814269722E-1
3.235495390E-1,-2.449569702E-1,1.093448773E-1,-1.850921661E-1
