"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.073300000E-3,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
9.178603000E-3,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
1.116190800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
1.317728900E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
1.515697800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
1.717335900E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
1.915797000E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
2.117242800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
2.315542500E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
2.517019100E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
2.715334100E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
2.916749100E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
3.115141100E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
3.316502300E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
3.517909600E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
3.716255300E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
3.917755000E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
4.116131600E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
4.317477400E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
4.515884700E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
4.717292100E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
4.915576300E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
5.116683700E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
5.315383300E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
5.516921400E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
5.715228800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
5.916620700E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
6.115135800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
6.316458400E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
6.517819700E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
6.716211600E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
6.917572800E-2,-3.622430861E-1,-6.389650702E-1,7.391469181E-2
7.115972400E-2,-6.597344875E-1,4.276056774E-3,3.292563558E-1
7.317387400E-2,-6.670648456E-1,2.932153270E-2,3.365867436E-1
7.515779400E-2,-6.695083380E-1,4.153883830E-2,3.390302062E-1
7.717171300E-2,-6.774495840E-1,6.841690838E-2,3.494149148E-1
7.915501800E-2,-6.835582256E-1,9.285151958E-2,3.579670191E-1
8.117047500E-2,-6.884451509E-1,1.050688252E-1,3.634648323E-1
8.315316500E-2,-6.957755089E-1,1.258382350E-1,3.714060783E-1
8.516708400E-2,-7.012733221E-1,1.472185254E-1,3.775147200E-1
8.715046600E-2,-7.061602473E-1,1.576032341E-1,3.824016452E-1
8.916484600E-2,-7.128797174E-1,1.777617931E-1,3.872885704E-1
9.117907300E-2,-7.202101350E-1,1.973094791E-1,3.958406746E-1
9.316368500E-2,-7.220427394E-1,2.028072625E-1,3.976732790E-1
9.517752700E-2,-7.305948138E-1,2.174680233E-1,4.001167417E-1
9.716052400E-2,-7.360926270E-1,2.266310006E-1,4.043927789E-1
9.917498200E-2,-7.397578359E-1,2.302961946E-1,4.019493461E-1
1.011592870E-1,-7.489207983E-1,2.382374406E-1,4.062253833E-1
1.031725900E-1,-7.574729323E-1,2.425135076E-1,4.062253833E-1
1.051568180E-1,-7.605272532E-1,2.431243658E-1,4.086688459E-1
1.071701220E-1,-7.678576112E-1,2.394591719E-1,4.086688459E-1
1.091540410E-1,-7.690793276E-1,2.351831198E-1,4.074471295E-1
1.111688840E-1,-7.757988572E-1,2.247984111E-1,4.111123085E-1
1.131519570E-1,-7.782423496E-1,2.107485086E-1,4.105014503E-1
1.151651850E-1,-7.812966704E-1,2.009746730E-1,4.117231667E-1
1.171802580E-1,-7.843509912E-1,1.783726513E-1,4.123340547E-1
1.191636390E-1,-7.880161405E-1,1.569923609E-1,4.129449129E-1
1.211783280E-1,-7.880161405E-1,1.459967941E-1,4.153883755E-1
1.231620940E-1,-7.935139537E-1,1.203404516E-1,4.147774875E-1
1.251752440E-1,-7.965682745E-1,9.529497474E-2,4.196644127E-1
1.271592400E-1,-7.990117669E-1,8.307767659E-2,4.202753007E-1
1.291734680E-1,-8.020660877E-1,5.497787148E-2,4.221078753E-1
1.311564640E-1,-8.051204085E-1,3.237585723E-2,4.202753007E-1
1.331703070E-1,-8.063421249E-1,1.954768784E-2,4.208861589E-1
1.351555330E-1,-8.106181622E-1,-6.108652335E-3,4.202753007E-1
1.371687610E-1,-8.118399382E-1,-1.954768784E-2,4.202753007E-1
1.391525260E-1,-8.161159754E-1,-4.764748737E-2,4.178318381E-1
1.411675230E-1,-8.155050874E-1,-7.330382615E-2,4.184426963E-1
1.431497500E-1,-8.148942590E-1,-8.735372871E-2,4.178318381E-1
1.451648230E-1,-8.155050874E-1,-1.136209369E-1,4.184426963E-1
1.471789740E-1,-8.106181622E-1,-1.380555481E-1,4.208861589E-1
1.491623550E-1,-8.100073338E-1,-1.502728462E-1,4.208861589E-1
1.511776590E-1,-8.063421249E-1,-1.728748679E-1,4.227187634E-1
1.531598860E-1,-8.045095205E-1,-1.918116808E-1,4.221078753E-1
1.551748830E-1,-7.990117669E-1,-2.028072625E-1,4.221078753E-1
1.571574180E-1,-7.965682745E-1,-2.223549485E-1,4.196644127E-1
1.591724920E-1,-7.916813493E-1,-2.376265824E-1,4.196644127E-1
1.611570260E-1,-7.886270285E-1,-2.455678284E-1,4.172209501E-1
1.631705600E-1,-7.849618196E-1,-2.590068579E-1,4.135557711E-1
1.651543270E-1,-7.782423496E-1,-2.700024247E-1,4.111123085E-1
1.671680920E-1,-7.770205736E-1,-2.736676335E-1,4.074471295E-1
1.691511660E-1,-7.715228200E-1,-2.761110961E-1,4.056145251E-1
1.711657000E-1,-7.696902156E-1,-2.767219543E-1,4.031710625E-1
1.731801590E-1,-7.641924024E-1,-2.742784917E-1,3.976732790E-1
1.751637700E-1,-7.580837607E-1,-2.706133127E-1,3.982841372E-1
1.771767670E-1,-7.574729323E-1,-2.663372457E-1,3.958406746E-1
1.791616090E-1,-7.525860071E-1,-2.547308207E-1,3.946189582E-1
1.811761440E-1,-7.489207983E-1,-2.370157093E-1,3.970624208E-1
1.831595260E-1,-7.464773059E-1,-2.290744632E-1,3.982841372E-1
1.851729830E-1,-7.440338731E-1,-2.076941878E-1,4.007275999E-1
1.871569800E-1,-7.379252315E-1,-1.857030392E-1,4.025602043E-1
1.891712070E-1,-7.367035151E-1,-1.710422635E-1,4.013384581E-1
1.911552040E-1,-7.305948138E-1,-1.484402567E-1,4.105014503E-1
1.931686610E-1,-7.312057018E-1,-1.209513173E-1,4.141666293E-1
1.951515050E-1,-7.275404930E-1,-1.050688252E-1,4.172209501E-1
1.971665010E-1,-7.244861722E-1,-7.757988572E-2,4.251621962E-1
1.991499590E-1,-7.208209634E-1,-5.131268129E-2,4.306600094E-1
2.011644170E-1,-7.183775306E-1,-3.665191308E-2,4.343251884E-1
2.031778740E-1,-7.171558142E-1,-1.038470957E-2,4.386012554E-1
2.051613330E-1,-7.165449262E-1,6.108652451E-4,4.392121136E-1
2.071757900E-1,-7.128797174E-1,2.382374369E-2,4.440990388E-1
