"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780664355488539E9,"2026-06-05 2:59:15.489 UTC+02:00"
"PAUSE",3.949736962499446E1,1.780664394987092E9,"2026-06-05 2:59:54.987 UTC+02:00"
