"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.322700002E-2,-1.918880761E-2,2.433114141E-2,-8.412506104E-2
2.316700001E-2,-3.183575034E-2,-1.977849931E-2,-6.147937953E-2
3.310600002E-2,-3.167202830E-2,-2.793331861E-2,-5.825054705E-2
4.304600001E-2,-1.540624380E-2,-2.734947413E-2,-5.136135757E-2
5.298500002E-2,-1.155702174E-2,-2.486236095E-2,-5.167242944E-2
6.292500001E-2,-2.542603254E-2,-2.093215495E-2,-6.671614587E-2
7.286400002E-2,-2.713400424E-2,-1.959869742E-2,-5.326111794E-2
8.280400001E-2,-2.065645874E-2,-7.770072520E-3,-3.982538581E-2
9.274300002E-2,-2.281817436E-2,-1.576994061E-2,-4.909906983E-2
1.026830000E-1,-2.582188904E-2,-1.806058735E-2,-4.083929300E-2
1.126230000E-1,-1.896895230E-2,1.139037609E-3,-4.826408744E-2
1.225620000E-1,-2.306434214E-2,7.230959237E-3,-4.587316096E-2
1.325020000E-1,-2.207616270E-2,1.545945346E-2,-2.356427908E-3
1.424410000E-1,-6.710264683E-3,5.839029551E-3,4.201692224E-2
1.523810000E-1,-2.362275124E-4,-8.225862980E-3,6.273419201E-2
1.623200000E-1,-2.408760488E-2,-3.899303466E-2,8.571433425E-2
1.722600000E-1,-3.499266207E-2,-5.401511639E-2,8.139850438E-2
1.821990000E-1,3.222985268E-3,-2.351720899E-2,9.183403015E-2
1.921390000E-1,3.076161683E-2,7.779428065E-3,8.888352513E-2
2.020780000E-1,4.462828875E-2,-7.671546936E-4,7.980396867E-2
2.120180000E-1,2.244979978E-2,-2.864638656E-2,4.817287087E-2
2.219570000E-1,3.068618774E-3,-2.507403016E-2,2.560027957E-2
2.318970000E-1,2.062137544E-2,-1.416166395E-2,1.952853084E-2
2.418370000E-1,2.264509678E-2,-2.540527493E-2,-8.666158319E-3
2.517760000E-1,1.361874998E-2,-1.745890886E-2,-5.390781999E-2
2.617160000E-1,5.233842731E-3,-3.653632700E-3,-1.225880456E-1
2.716550000E-1,-2.005887330E-2,2.173088461E-2,-1.506757307E-1
2.815950000E-1,-3.008918703E-2,2.304826230E-2,-1.468902433E-1
2.915340000E-1,-4.860439539E-2,1.493174225E-2,-1.264986634E-1
3.014740000E-1,-4.006161332E-2,-5.317750275E-3,-8.096756458E-2
3.114130000E-1,-3.673279345E-2,-1.649031758E-2,-4.440960288E-2
3.213530000E-1,-7.591323137E-2,-3.012690157E-2,3.972013593E-3
3.312920000E-1,-1.181090784E-1,-5.381689578E-2,3.289468110E-2
3.412320000E-1,-1.234815001E-1,-4.378161192E-2,5.562865555E-2
3.511710000E-1,-8.676507890E-2,-3.396969169E-2,9.248190165E-2
3.611110000E-1,-6.370132148E-2,-3.132996619E-2,1.132681686E-1
3.710500000E-1,-5.549358487E-2,-2.485856026E-2,1.162426472E-1
3.809900000E-1,-3.102824986E-2,-4.107698232E-2,1.080179536E-1
3.909300000E-1,-2.739245117E-2,-6.074204564E-2,9.332507014E-2
4.008690000E-1,-2.995177746E-2,-6.772976071E-2,8.107164502E-2
4.108090000E-1,-2.936647117E-2,-3.932223290E-2,5.668934047E-2
4.207480000E-1,-4.594157338E-3,-1.507002890E-2,4.885348678E-2
4.306880000E-1,1.636050940E-3,-6.427844167E-3,3.937515020E-2
4.406270000E-1,-1.397075236E-2,-2.348271042E-2,1.445782542E-2
4.505670000E-1,-4.011716187E-2,-3.035260409E-2,-1.448062956E-2
4.605060000E-1,-3.179891288E-2,5.349325240E-3,-1.288609385E-2
4.704460000E-1,-5.833767056E-3,2.593766391E-2,-2.789531171E-2
