"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.922745340E-1,6.062364578E-2,-1.646585464E-1,-2.353620529E-2
6.002712190E-1,-2.068686485E-2,-1.027851105E-1,1.317691803E-2
6.082653660E-1,-1.548111439E-1,-4.548740387E-2,-6.379389763E-2
6.162610510E-1,-2.875697613E-1,1.906204224E-2,9.381294250E-3
6.242569670E-1,-3.711977005E-1,8.130836487E-2,1.539218426E-1
6.322517290E-1,-4.729430676E-1,1.075344086E-1,1.346397400E-1
6.402490300E-1,-3.956766129E-1,3.996849060E-2,2.484850883E-1
6.482736390E-1,-2.741138935E-1,-2.820014954E-2,3.814482689E-2
6.562698620E-1,-7.333993912E-2,-8.288574219E-2,6.376361847E-2
6.642649320E-1,1.613914967E-1,-5.443954468E-2,-3.793215752E-2
6.722606190E-1,3.349790573E-1,2.637481689E-2,-1.728477478E-1
6.802578420E-1,4.793980122E-1,7.341289520E-2,-3.226370811E-1
6.882526820E-1,5.027027130E-1,6.012248993E-2,-4.272553921E-1
6.962473670E-1,4.161434174E-1,2.274608612E-2,-5.179113150E-1
7.042745140E-1,2.633416653E-1,6.694793701E-2,-4.884005785E-1
7.122686610E-1,4.597711563E-2,1.097812653E-1,-3.279070854E-1
7.202658080E-1,-1.831314564E-1,1.179857254E-1,-7.664370537E-2
7.282608770E-1,-2.403755188E-1,3.358268738E-2,1.873731613E-1
7.362560240E-1,-8.133053780E-2,-9.643459320E-2,-2.404344082E-2
7.442517100E-1,1.860826015E-1,-1.888866425E-1,-8.568537235E-2
7.522476260E-1,3.995523453E-1,-2.490568161E-1,2.777576447E-5
7.602756190E-1,6.339917183E-1,-2.440166473E-1,3.369176388E-2
7.682695350E-1,7.728455067E-1,-1.285247803E-1,-1.059938669E-1
7.762642970E-1,7.545404434E-1,-7.700920105E-2,-2.290169001E-1
7.842612130E-1,7.033517361E-1,-5.491542816E-2,-2.500455379E-1
7.922552830E-1,5.186359882E-1,-3.045940399E-2,-2.885832787E-1
8.002525840E-1,2.810029984E-1,3.041744232E-2,-2.962472439E-1
8.082479620E-1,5.876278877E-2,9.700202942E-2,-2.440580130E-1
8.162728780E-1,-1.065993309E-1,1.483449936E-1,-1.668606997E-1
8.242691780E-1,-1.851868629E-1,1.962070465E-1,-1.646174192E-1
8.322644790E-1,-2.330181599E-1,2.069015503E-1,-1.147413254E-1
8.402610870E-1,-2.046668530E-1,2.302465439E-1,-1.047815084E-1
8.482558500E-1,-1.568319798E-1,2.204446793E-1,-8.374869823E-2
8.562515350E-1,-1.668269634E-1,2.156324387E-1,-2.521181107E-2
8.642460660E-1,-1.434993744E-1,1.150789261E-1,2.038251162E-1
8.722722130E-1,-2.305650711E-2,-2.088546753E-4,1.404290199E-1
8.802702830E-1,1.248474121E-1,-5.135440826E-2,-2.187764645E-2
8.882638920E-1,2.544095516E-1,-9.833049774E-2,-1.036956310E-1
8.962598080E-1,3.297665119E-1,-7.883071899E-2,-1.839015484E-1
9.042546470E-1,3.533830643E-1,-4.062938690E-2,-2.285017967E-1
9.122508710E-1,3.139283657E-1,6.860733032E-3,-2.925910950E-1
9.202477870E-1,2.317299843E-1,5.678844452E-2,-3.018518686E-1
9.282733180E-1,1.179118156E-1,1.093788147E-1,-2.332055569E-1
9.362681580E-1,3.352212906E-2,1.217994690E-1,-1.994304657E-1
9.442638430E-1,-1.116468906E-1,1.302080154E-1,-1.523361206E-1
9.522594510E-1,-2.218837738E-1,7.466506958E-2,-5.868268013E-2
9.602561370E-1,-3.009247780E-1,1.698875427E-2,8.833456039E-2
9.682508990E-1,-3.631267548E-1,-9.741783142E-3,1.187205315E-2
9.762465070E-1,-3.838567734E-1,-1.772975922E-2,2.897346020E-2
9.842729620E-1,-3.999273777E-1,-1.188373566E-2,-2.031040192E-2
9.922680320E-1,-3.941466808E-1,-2.311229706E-2,-1.067689657E-1
1.000263794E0,-3.822679520E-1,3.941535950E-3,-1.679700613E-1
1.008260018E0,-3.682365417E-1,3.354644775E-2,-2.519198656E-1
1.016254549E0,-3.539013863E-1,7.057666779E-2,-2.822449207E-1
1.024250158E0,-3.458743095E-1,7.451343536E-2,-3.185436726E-1
1.032245612E0,-3.393989801E-1,8.356475830E-2,-3.038067818E-1
1.040272374E0,-3.750659227E-1,4.749584198E-2,-3.145202398E-1
1.048267675E0,-4.099842310E-1,4.528045654E-3,-2.766488791E-1
1.056262514E0,-4.133000374E-1,-7.102012634E-3,-2.763869762E-1
1.064259123E0,-4.519753456E-1,-2.574729919E-2,-2.326104641E-1
1.072254731E0,-4.425439835E-1,-7.065105438E-2,-2.220346928E-1
1.080251109E0,-4.447734356E-1,-6.750869751E-2,-2.753938437E-1
1.088245179E0,-4.208569527E-1,-4.758930206E-2,-2.707434893E-1
1.096271326E0,-3.737816811E-1,-8.716583252E-3,-2.660032511E-1
1.104267396E0,-3.733639717E-1,4.182529449E-2,-2.924004793E-1
1.112262158E0,-3.598415852E-1,7.057094574E-2,-3.256353140E-1
1.120259689E0,-3.665313721E-1,5.366706848E-2,-3.415249586E-1
1.128254375E0,-4.360357523E-1,2.957248688E-2,-3.518559933E-1
1.136250137E0,-5.245783329E-1,3.910923004E-2,-3.495271206E-1
1.144244899E0,-5.838594437E-1,2.250862122E-2,-3.178184032E-1
1.152271661E0,-6.064978838E-1,1.325798035E-2,-2.666808367E-1
1.160268193E0,-6.097937822E-1,-2.234935760E-2,-2.443976402E-1
1.168262955E0,-5.395883322E-1,-6.043338776E-2,-3.053039312E-1
1.176258333E0,-5.135041475E-1,-5.320453644E-2,-2.987202406E-1
1.184253787E0,-5.072530508E-1,-2.925777435E-2,-3.607618809E-1
1.192248549E0,-4.734599590E-1,5.677318573E-2,-3.694530725E-1
1.200277696E0,-3.814865351E-1,1.066083908E-1,-4.086805582E-1
1.208271920E0,-3.373399973E-1,1.224918365E-1,-4.306582212E-1
1.216266375E0,-3.001053333E-1,1.427679062E-1,-4.210654497E-1
1.224262291E0,-3.100247383E-1,1.483716965E-1,-4.206558466E-1
1.232258592E0,-3.186774254E-1,1.321964264E-1,-4.152618647E-1
1.240254354E0,-2.854056358E-1,1.492862701E-1,-4.097549915E-1
1.248248808E0,-2.537244558E-1,1.349115372E-1,-3.538777828E-1
1.256275263E0,-2.449120283E-1,1.057806015E-1,-2.770003080E-1
1.264271179E0,-2.094914913E-1,1.143665314E-1,-2.392590046E-1
1.272266249E0,-1.737167835E-1,8.649730682E-2,-2.643826008E-1
1.280262627E0,-1.355313063E-1,7.967376709E-2,-3.037170172E-1
1.288257927E0,-7.794415951E-2,5.569076538E-2,-3.233543634E-1
1.296253305E0,-7.256937027E-2,5.045700073E-2,-3.427166939E-1
1.304248375E0,1.697301865E-2,2.807331085E-2,-3.878093958E-1
1.312275137E0,3.834414482E-2,1.984500885E-2,-3.915804625E-1
1.320271745E0,7.358741760E-2,-2.447032928E-2,-3.594617844E-1
1.328266200E0,6.412601471E-2,-9.256553650E-2,-3.580658436E-1
1.336262193E0,7.308125496E-2,-1.963005066E-1,-2.993896008E-1
1.344256955E0,9.586286545E-2,-2.949991226E-1,-2.342694998E-1
1.352252333E0,1.552267075E-1,-3.412942886E-1,-1.359994411E-1
1.360249864E0,2.314455509E-1,-3.785591125E-1,1.091706753E-2
1.368275473E0,3.197948933E-1,-3.779430389E-1,3.959965706E-2
1.376270235E0,4.254100323E-1,-3.728246689E-1,1.898889542E-1
1.384265843E0,4.647574425E-1,-2.983751297E-1,2.184967995E-1
1.392261529E0,4.829263687E-1,-2.144565582E-1,2.577059269E-1
1.400258214E0,4.598948956E-1,-9.494018555E-2,2.164577246E-1
1.408252592E0,3.832614422E-1,4.814243317E-2,1.501333714E-1
1.416248046E0,3.530890942E-1,1.739835739E-1,1.067039967E-1
1.424274193E0,2.736167908E-1,2.587242126E-1,6.291711330E-2
1.432269263E0,1.765944958E-1,3.337192535E-1,1.464366913E-2
1.440266795E0,4.636168480E-2,3.801469803E-1,7.983446121E-4
1.448261249E0,-1.278710365E-2,3.887577057E-1,-1.442432404E-4
1.456256935E0,-2.492856979E-2,3.690547943E-1,3.061032295E-2
1.464252312E0,7.629251480E-2,3.687086105E-1,4.031300545E-3
1.472248305E0,2.415616512E-1,3.514194489E-1,2.515077591E-2
1.480275990E0,3.550062180E-1,3.144664764E-1,8.131098747E-2
1.488270060E0,4.800882339E-1,2.622966766E-1,9.072852135E-2
1.496265516E0,5.415556431E-1,2.520265579E-1,1.151403189E-1
1.504260894E0,5.306754112E-1,2.287778854E-1,5.164098740E-2
1.512255579E0,5.131425858E-1,2.024965286E-1,-1.025712490E-2
1.520252803E0,4.217505455E-1,1.235628128E-1,-4.338073730E-2
1.528248257E0,4.102966785E-1,4.007816315E-2,-8.079123497E-2
1.536273481E0,3.360321522E-1,-1.653194427E-2,-8.613383770E-2
1.544269166E0,2.785134315E-1,-1.250419617E-1,-1.091682911E-1
1.552265698E0,2.476565838E-1,-2.518329620E-1,-9.724354744E-2
1.560262306E0,2.366261482E-1,-3.345756531E-1,-6.976461411E-2
1.568256838E0,2.541015148E-1,-3.734598160E-1,-9.107935429E-2
1.576252138E0,2.446770668E-1,-3.782091141E-1,-5.393314362E-2
1.584247208E0,2.485573292E-1,-3.753385544E-1,6.098747253E-4
1.592273125E0,3.032903671E-1,-3.602657318E-1,1.265418530E-2
1.600269733E0,3.174357414E-1,-3.091974258E-1,2.273643017E-2
1.608265034E0,2.860052586E-1,-2.413578033E-1,4.030036926E-2
1.616260181E0,2.449367046E-1,-1.352558136E-1,6.971287727E-2
1.624255789E0,1.895425320E-1,-2.863883972E-3,1.250660419E-1
1.632251859E0,1.101737022E-1,1.246318817E-1,1.773691177E-1
1.640248698E0,4.272150993E-2,2.544584274E-1,1.479569674E-1
1.648272999E0,-6.195306778E-3,3.601579666E-1,1.615993977E-1
1.656269299E0,-6.781983376E-2,4.609031677E-1,1.372557878E-1
1.664264369E0,-9.421157837E-2,5.351886749E-1,1.565822363E-1
1.672259747E0,-1.235144138E-1,5.638456345E-1,1.975634098E-1
1.680256663E0,-1.218082905E-1,5.829010010E-1,1.453187466E-1
1.688251195E0,-1.053824425E-1,6.115951538E-1,1.575508118E-1
1.696246572E0,-4.995512962E-2,6.165037155E-1,1.264672279E-1
1.704272719E0,-2.922129631E-2,6.504583359E-1,1.072026491E-1
1.712268635E0,-4.049205780E-2,6.440591812E-1,1.304758787E-1
1.720265551E0,-9.253954887E-2,5.854892731E-1,1.908897161E-1
1.728260006E0,-1.226556301E-1,4.963531494E-1,2.519903183E-1
1.736255383E0,-1.595177650E-1,3.837728500E-1,3.490995169E-1
1.744251069E0,-1.699888706E-1,3.098392487E-1,3.956785202E-1
1.752245908E0,-1.853494644E-1,2.218561172E-1,4.350538254E-1
1.760273286E0,-1.416585445E-1,1.003894806E-1,4.906717539E-1
1.768268586E0,-1.373801231E-1,5.224227905E-3,5.076377392E-1
1.776264041E0,-1.199340820E-1,-1.068286896E-1,5.837861300E-1
1.784259419E0,-8.502840996E-2,-1.425333023E-1,6.162828207E-1
1.792255027E0,-2.852034569E-2,-1.643724442E-1,6.480371952E-1
1.800251943E0,-5.811858177E-2,-1.963968277E-1,7.071307898E-1
1.808246782E0,-7.997488976E-2,-2.050724030E-1,7.834509611E-1
1.816271929E0,-1.486091614E-1,-2.450647354E-1,9.124183655E-1
1.824268537E0,-2.534511089E-1,-2.637290955E-1,1.180943966E0
1.832262992E0,-4.026706219E-1,-2.422103882E-1,1.681005120E0
1.840260216E0,-5.219407082E-1,-2.671842575E-1,2.190151691E0
1.848254747E0,-6.452518702E-1,-2.744903564E-1,2.815263748E0
1.856250125E0,-8.193415403E-1,-3.695602417E-1,3.288528442E0
1.864246349E0,-9.029549360E-1,-5.518522263E-1,3.688855648E0
1.872272265E0,-1.011883378E0,-8.679075241E-1,4.096627712E0
1.880268489E0,-1.095227361E0,-1.151214600E0,4.335473537E0
1.888263559E0,-1.185362816E0,-1.386334419E0,4.711569309E0
1.896258321E0,-1.227104545E0,-1.476871490E0,5.069090843E0
1.904254622E0,-1.214997888E0,-1.518586159E0,5.379050255E0
1.912249999E0,-1.306388736E0,-1.688689232E0,5.751164436E0
1.920246377E0,-1.342416048E0,-1.941859245E0,5.973785400E0
1.928272754E0,-1.366158962E0,-2.199330330E0,6.199953079E0
1.936267517E0,-1.387957335E0,-2.317928314E0,6.345637321E0
1.944262894E0,-1.449983120E0,-2.360213280E0,6.376116276E0
1.952258964E0,-1.505799532E0,-2.355481148E0,6.315446854E0
1.960255265E0,-1.539497375E0,-2.363655090E0,6.253588676E0
1.968249643E0,-1.508130312E0,-2.435252190E0,6.147491455E0
1.976244713E0,-1.404569864E0,-2.551335335E0,5.896730423E0
1.984271244E0,-1.233680010E0,-2.652383804E0,5.604055405E0
1.992266929E0,-1.047747254E0,-2.674033165E0,5.221331596E0
2.000263768E0,-9.057703018E-1,-2.654592514E0,4.856611252E0
2.008258223E0,-6.749660969E-1,-2.598776817E0,4.428869247E0
2.016253678E0,-4.834568501E-1,-2.563780785E0,4.061011314E0
2.024249901E0,-2.676404715E-1,-2.554444313E0,3.673878908E0
2.032245356E0,-2.351045609E-2,-2.563557625E0,3.411091089E0
2.040271734E0,2.616250515E-1,-2.564729691E0,3.220539570E0
2.048266573E0,4.616527557E-1,-2.680456161E0,3.130549908E0
2.056262258E0,5.687587261E-1,-2.868161201E0,3.038316250E0
2.064258174E0,6.218762398E-1,-3.140471458E0,2.896390438E0
2.072252936E0,5.519990921E-1,-3.281412125E0,2.731256962E0
2.080250237E0,5.277889967E-1,-3.394357681E0,2.543200970E0
2.088244076E0,5.315636396E-1,-3.378570557E0,2.232749939E0
2.096270762E0,5.823093653E-1,-3.365267754E0,1.956616402E0
2.104265832E0,6.255675554E-1,-3.346693516E0,1.658166409E0
2.112262209E0,7.725898027E-1,-3.360640049E0,1.448000431E0
2.120258741E0,1.009557366E0,-3.409946918E0,1.258360386E0
2.128253811E0,1.196506858E0,-3.489412785E0,1.037572861E0
2.136249188E0,1.287296414E0,-3.580245495E0,8.907399178E-1
2.144275027E0,1.289293766E0,-3.627433300E0,7.196578979E-1
2.152269867E0,1.234052658E0,-3.719902992E0,6.077127457E-1
2.160267706E0,1.217225909E0,-3.819850445E0,5.569314957E-1
2.168261776E0,1.310780883E0,-3.862956047E0,3.756308556E-1
2.176257230E0,1.558229208E0,-3.940522671E0,2.240667343E-1
2.184252916E0,1.763249993E0,-4.118939877E0,1.271028519E-1
2.192247986E0,1.927263737E0,-4.192708492E0,-6.173038483E-2
2.200245209E0,2.107922077E0,-4.182606220E0,-1.092615128E-1
2.208270433E0,2.181104183E0,-4.102356434E0,-2.275080681E-1
2.216266426E0,1.994554043E0,-4.006607533E0,-3.105087280E-1
2.224261804E0,1.702104092E0,-3.965288162E0,-2.581791878E-1
2.232256258E0,1.445548296E0,-4.032303333E0,-2.581634521E-1
2.240253482E0,1.281019568E0,-4.052412987E0,-2.560181618E-1
2.248248475E0,1.157088399E0,-4.004492283E0,-2.399234772E-1
2.256244237E0,1.144487739E0,-3.919438839E0,-2.886047363E-1
2.264270307E0,1.232768536E0,-3.983973980E0,-3.684425354E-1
2.272265147E0,1.428965092E0,-3.984999657E0,-4.147844315E-1
2.280261986E0,1.603446126E0,-4.023303986E0,-3.582773209E-1
2.288257363E0,1.745317698E0,-4.090228081E0,-2.976064682E-1
2.296251895E0,1.795563698E0,-4.048156738E0,-3.470926285E-1
2.304248119E0,1.752925277E0,-3.979244709E0,-6.076593399E-1
2.312273727E0,1.654065728E0,-3.853604794E0,-1.035657883E0
2.320270874E0,1.499889612E0,-3.780003786E0,-1.484533787E0
2.328265637E0,1.434383988E0,-3.773982048E0,-1.822239399E0
2.336260476E0,1.381029487E0,-3.645249605E0,-1.859377384E0
2.344256700E0,1.347486854E0,-3.458581448E0,-1.830850601E0
2.352252155E0,1.302369118E0,-3.265387774E0,-1.566455841E0
2.360249071E0,1.256562233E0,-3.258874178E0,-1.296612740E0
2.368273295E0,1.344386101E0,-3.279428244E0,-1.186828613E0
2.376269595E0,1.497451186E0,-3.358417273E0,-1.354582787E0
2.384264973E0,1.553280592E0,-3.455259800E0,-1.667730331E0
2.392260043E0,1.518466473E0,-3.411454439E0,-1.952223301E0
2.400256959E0,1.397340536E0,-3.282009363E0,-2.223280430E0
2.408251798E0,1.240835190E0,-3.039382935E0,-2.411909580E0
2.416247176E0,1.009938002E0,-2.709821701E0,-2.616434097E0
2.424272938E0,8.447869420E-1,-2.480329514E0,-2.775073528E0
2.432269316E0,7.079757452E-1,-2.239066601E0,-2.805284500E0
2.440265539E0,6.389284730E-1,-2.146980762E0,-2.791333675E0
2.448260071E0,6.514476538E-1,-2.127413750E0,-2.565469742E0
2.456256064E0,7.137496471E-1,-2.141293049E0,-2.563435555E0
2.464252595E0,8.260096908E-1,-2.271021128E0,-2.435179234E0
2.472247050E0,9.724994898E-1,-2.365300655E0,-2.247968197E0
2.480274812E0,9.744771719E-1,-2.398747921E0,-2.384913445E0
2.488268344E0,8.480729461E-1,-2.252897501E0,-2.575353146E0
2.496264567E0,6.653810740E-1,-2.077166557E0,-2.795385838E0
2.504260253E0,4.721943140E-1,-1.812466621E0,-3.121783257E0
2.512255092E0,3.461386561E-1,-1.589926004E0,-3.549866676E0
2.520252547E0,2.806150019E-1,-1.493023515E0,-3.917167664E0
2.528247693E0,2.157329321E-1,-1.402343273E0,-4.226391315E0
2.536272609E0,1.811542511E-1,-1.379724264E0,-4.518646717E0
2.544268910E0,2.368564308E-1,-1.291213393E0,-4.866165161E0
2.552263903E0,2.599066198E-1,-1.200879335E0,-5.044324398E0
2.560260819E0,2.773724794E-1,-1.089756727E0,-5.307181835E0
2.568255582E0,3.602546751E-1,-8.935847282E-1,-5.717208862E0
2.576251267E0,4.909887910E-1,-7.249475718E-1,-6.112318516E0
2.584246645E0,5.064173937E-1,-5.281182528E-1,-6.634154797E0
2.592272253E0,3.910394013E-1,-4.065860510E-1,-7.185222149E0
2.600269092E0,2.221779078E-1,-2.250523567E-1,-7.687101364E0
2.608264162E0,7.798625529E-2,-7.766366005E-2,-8.035198212E0
2.616259617E0,7.655344158E-2,9.029507637E-2,-8.339908600E0
2.624255917E0,1.608545929E-1,2.964513302E-1,-8.711297989E0
2.632250372E0,2.128331214E-1,4.811320305E-1,-8.970197678E0
2.640247288E0,2.107274234E-1,6.795988083E-1,-9.291573524E0
2.648272204E0,8.713236451E-2,8.341937065E-1,-9.548862457E0
2.656267582E0,-1.089534760E-1,9.057774544E-1,-9.761296272E0
