"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780537877882847E9,"2026-06-04 3:51:17.883 UTC+02:00"
"PAUSE",4.153947424999933E1,1.780537919422041E9,"2026-06-04 3:51:59.422 UTC+02:00"
