"event","experiment time","system time","system time text"
"START",0.000000000E0,1781032615.457,"2026-06-09 21:16:55.457 UTC+02:00"
"PAUSE",3.808597385E1,1781032653.543,"2026-06-09 21:17:33.543 UTC+02:00"
