"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.669323290E-1,-2.706133127E-1,-2.113593817E-1,-3.573561609E-1
1.689160190E-1,-2.718350291E-1,-2.021963894E-1,-3.597996235E-1
1.709299410E-1,-2.718350291E-1,-1.930334121E-1,-3.640756905E-1
1.729434780E-1,-2.742784917E-1,-1.881465018E-1,-3.646865487E-1
1.749283230E-1,-2.742784917E-1,-1.820378453E-1,-3.677408695E-1
1.769418590E-1,-2.767219543E-1,-1.789835095E-1,-3.683517575E-1
1.789268570E-1,-2.755002379E-1,-1.734857261E-1,-3.726277947E-1
1.809403950E-1,-2.767219543E-1,-1.704314053E-1,-3.762930036E-1
1.829234700E-1,-2.803871334E-1,-1.673770845E-1,-3.787364662E-1
1.849379300E-1,-2.816088796E-1,-1.649336219E-1,-3.836233616E-1
1.869212360E-1,-2.816088796E-1,-1.594358236E-1,-3.903428912E-1
1.889356960E-1,-2.840523422E-1,-1.594358236E-1,-3.952298164E-1
1.909193870E-1,-2.852740586E-1,-1.588249654E-1,-4.001167417E-1
1.929326930E-1,-2.895501256E-1,-1.563815027E-1,-4.092797041E-1
1.949169210E-1,-2.901609838E-1,-1.545489132E-1,-4.135557711E-1
1.969304590E-1,-2.938261926E-1,-1.539380401E-1,-4.227187634E-1
1.989462260E-1,-2.968805134E-1,-1.533271819E-1,-4.282165468E-1
2.009298400E-1,-2.968805134E-1,-1.539380401E-1,-4.318817258E-1
2.029428380E-1,-3.017674387E-1,-1.521054506E-1,-4.404338300E-1
2.049267590E-1,-2.999348342E-1,-1.533271819E-1,-4.434881806E-1
2.069415280E-1,-3.060434759E-1,-1.539380401E-1,-4.495968223E-1
2.089239870E-1,-3.072652221E-1,-1.551597714E-1,-4.575380683E-1
2.109381400E-1,-3.084869385E-1,-1.551597714E-1,-4.593706727E-1
2.129222150E-1,-3.078760803E-1,-1.557706445E-1,-4.642575979E-1
2.149360590E-1,-3.078760803E-1,-1.551597714E-1,-4.697553813E-1
2.169200580E-1,-3.072652221E-1,-1.545489132E-1,-4.697553813E-1
2.189353640E-1,-3.072652221E-1,-1.508837193E-1,-4.734205604E-1
2.209182090E-1,-3.054326177E-1,-1.490511149E-1,-4.728097022E-1
2.229314380E-1,-3.066543639E-1,-1.429424733E-1,-4.746423066E-1
2.249154360E-1,-3.048217595E-1,-1.362229437E-1,-4.764748812E-1
2.269288960E-1,-3.042109013E-1,-1.301143020E-1,-4.758640230E-1
2.289433560E-1,-3.023782969E-1,-1.270599663E-1,-4.728097022E-1
2.309276620E-1,-3.029891551E-1,-1.185078546E-1,-4.715879560E-1
2.329418140E-1,-3.017674387E-1,-1.142318025E-1,-4.679227769E-1
2.349251970E-1,-2.999348342E-1,-1.117883399E-1,-4.691445231E-1
2.369397350E-1,-2.999348342E-1,-1.038470939E-1,-4.667010605E-1
2.389248860E-1,-2.987131178E-1,-1.050688252E-1,-4.654793143E-1
2.409375000E-1,-2.968805134E-1,-9.651670605E-2,-4.618141353E-1
2.429205760E-1,-2.944370508E-1,-8.857546002E-2,-4.599815309E-1
2.449350350E-1,-2.950479090E-1,-8.735372871E-2,-4.612032473E-1
2.469181880E-1,-2.944370508E-1,-7.880161703E-2,-4.636467099E-1
2.489328780E-1,-2.913827300E-1,-7.086037099E-2,-4.612032473E-1
2.509163380E-1,-2.907718420E-1,-7.024950534E-2,-4.624249935E-1
2.529313370E-1,-2.901609838E-1,-6.108652428E-2,-4.648684561E-1
2.549141810E-1,-2.895501256E-1,-5.314527452E-2,-4.673119187E-1
2.569291790E-1,-2.889392674E-1,-5.070181563E-2,-4.697553813E-1
