"event","experiment time","system time","system time text"
"START",0.000000000E0,1781032830.787,"2026-06-09 21:20:30.787 UTC+02:00"
"PAUSE",3.638603323E1,1781032867.174,"2026-06-09 21:21:07.174 UTC+02:00"
