"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.232866667E-2,4.857747629E-2,1.509193704E-2,-1.935971156E-2
2.232366667E-2,5.301350355E-2,2.396692149E-2,-2.223832346E-2
3.231866667E-2,5.972013995E-2,3.838763759E-2,-3.204113990E-2
4.231366667E-2,6.117609143E-2,5.767717957E-2,-4.409860447E-2
5.230766667E-2,6.596689671E-2,8.419056982E-2,-5.308739841E-2
6.230266667E-2,6.636983156E-2,1.096647680E-1,-5.976900458E-2
7.229766667E-2,7.195162028E-2,1.258745492E-1,-6.543874741E-2
8.229266667E-2,7.568696886E-2,1.378688961E-1,-7.294806093E-2
9.228766667E-2,8.263295889E-2,1.513752043E-1,-8.661206812E-2
1.022826667E-1,9.271942079E-2,1.665578783E-1,-9.863597155E-2
1.122776667E-1,1.039908081E-1,1.888118535E-1,-1.122624949E-1
1.222726667E-1,1.187167615E-1,2.230635732E-1,-1.283831447E-1
1.322666667E-1,1.391819417E-1,2.574760616E-1,-1.498080045E-1
1.422616667E-1,1.562562734E-1,2.955709994E-1,-1.758491844E-1
1.522566667E-1,1.703774631E-1,3.367477655E-1,-2.009932399E-1
1.622516667E-1,1.852115393E-1,3.757851720E-1,-2.220234275E-1
1.722466667E-1,1.963613629E-1,4.214962125E-1,-2.434399575E-1
1.822416667E-1,1.970646977E-1,4.506138861E-1,-2.700968683E-1
1.922366667E-1,2.042624801E-1,4.788416922E-1,-2.864213884E-1
2.022316667E-1,2.199650109E-1,5.039332509E-1,-3.055463731E-1
2.122266667E-1,2.340600044E-1,5.226913095E-1,-3.394554555E-1
2.222206667E-1,2.584430873E-1,5.410455465E-1,-3.847984374E-1
2.322156667E-1,2.891096771E-1,5.779890418E-1,-4.343535304E-1
2.422106667E-1,3.299239576E-1,6.337164640E-1,-4.859461486E-1
2.522056667E-1,3.777877092E-1,6.953241825E-1,-5.512752533E-1
2.622006667E-1,4.290474355E-1,7.672492266E-1,-6.231832504E-1
2.721956667E-1,4.685226381E-1,8.340643048E-1,-7.162697315E-1
2.821906667E-1,4.982280731E-1,8.989557028E-1,-8.184562922E-1
2.921856667E-1,5.263103247E-1,9.562353492E-1,-9.320170283E-1
3.021796667E-1,5.553912520E-1,9.695884585E-1,-1.055230260E0
3.121746667E-1,5.746080279E-1,9.366235733E-1,-1.184621215E0
3.221696667E-1,5.890380740E-1,8.796350956E-1,-1.308552146E0
3.321646667E-1,5.996388197E-1,8.225748539E-1,-1.425744772E0
3.421596667E-1,6.126563549E-1,7.991427183E-1,-1.547917724E0
3.521546667E-1,6.309856176E-1,8.018328547E-1,-1.706999660E0
3.621496667E-1,6.499100327E-1,9.586408138E-1,-1.906449914E0
3.721446667E-1,6.383013129E-1,1.254873157E0,-2.077539921E0
3.821386667E-1,6.197568774E-1,1.473337889E0,-2.179200411E0
3.921336667E-1,6.076474786E-1,1.515552878E0,-2.255429745E0
4.021286667E-1,6.182404160E-1,1.453212857E0,-2.360064030E0
4.121236667E-1,6.339769363E-1,1.376429796E0,-2.494517088E0
4.221186667E-1,6.401211023E-1,1.296618342E0,-2.645208120E0
4.321136667E-1,6.210104227E-1,1.229114652E0,-2.790199280E0
4.421086667E-1,5.715658665E-1,1.134219289E0,-2.913592577E0
4.521036667E-1,5.133369565E-1,1.118205428E0,-2.994948149E0
4.620976667E-1,4.497531652E-1,1.158522725E0,-3.021247625E0
4.720926667E-1,4.088367224E-1,1.290210724E0,-3.003735065E0
4.820876667E-1,3.882811069E-1,1.488022804E0,-2.952496052E0
4.920826667E-1,3.778648674E-1,1.715583563E0,-2.862116098E0
5.020776667E-1,3.897199333E-1,1.936383367E0,-2.741811991E0
5.120726667E-1,4.396998584E-1,2.140724421E0,-2.607430458E0
5.220676667E-1,4.852268398E-1,2.282142878E0,-2.477775335E0
5.320626667E-1,5.339333415E-1,2.313317776E0,-2.376374722E0
5.420576667E-1,5.893561244E-1,2.233295441E0,-2.317510128E0
5.520516667E-1,6.407662630E-1,2.071591854E0,-2.300677061E0
