"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780659491191738E9,"2026-06-05 1:38:11.192 UTC+02:00"
"PAUSE",4.633603841665899E1,1.780659537509079E9,"2026-06-05 1:38:57.509 UTC+02:00"
