"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.721910416E-1,1.166220456E-1,2.357657999E-2,9.168501198E-2
8.821850417E-1,1.179003641E-1,2.055278607E-2,9.761401266E-2
8.921790417E-1,1.154143065E-1,3.212395310E-2,1.057957783E-1
9.021720416E-1,1.125777662E-1,4.254945740E-2,1.182166860E-1
9.121660417E-1,1.109881252E-1,5.676966906E-2,1.313782781E-1
9.221600417E-1,1.132052019E-1,6.617365777E-2,1.434682757E-1
9.321540417E-1,1.088048592E-1,5.980125070E-2,1.563430727E-1
9.421480416E-1,1.038258076E-1,3.718033805E-2,1.693072766E-1
9.521410417E-1,9.959244728E-2,1.589502394E-2,1.795849502E-1
9.621350417E-1,9.219019115E-2,5.120364949E-5,1.899019927E-1
9.721290416E-1,8.818213642E-2,-9.587042034E-3,1.983705759E-1
9.821230417E-1,8.055216819E-2,-4.261048511E-3,2.053354979E-1
9.921160417E-1,7.611773908E-2,1.068141498E-2,2.133744955E-1
1.002110042E0,7.488790900E-2,3.144349903E-2,2.192146778E-1
1.012104042E0,7.614731789E-2,5.610756949E-2,2.297285795E-1
1.022098042E0,7.354142517E-2,6.639023125E-2,2.360965461E-1
1.032092042E0,7.308628410E-2,7.504577190E-2,2.418668121E-1
1.042085042E0,7.150623202E-2,7.306620479E-2,2.402449697E-1
1.052079042E0,7.170144469E-2,5.193056166E-2,2.355924249E-1
1.062073042E0,7.740618289E-2,1.578485221E-2,2.365334183E-1
1.072067042E0,8.101024479E-2,-8.835539222E-3,2.326627821E-1
1.082061042E0,8.366887271E-2,-1.689385623E-2,2.269303799E-1
1.092054042E0,8.259269595E-2,-9.470027871E-3,2.133373320E-1
1.102048042E0,7.756463438E-2,2.493176423E-2,2.015828192E-1
1.112042042E0,6.698416173E-2,7.777047902E-2,1.979092509E-1
1.122036042E0,6.212176383E-2,1.413118690E-1,1.907192469E-1
1.132029042E0,6.730640680E-2,2.166074216E-1,1.814892888E-1
1.142023042E0,8.310747147E-2,2.809269428E-1,1.631686091E-1
1.152017042E0,1.053712368E-1,3.260100186E-1,1.404486597E-1
1.162011042E0,1.284784377E-1,3.498895764E-1,1.170838699E-1
1.172005042E0,1.551300287E-1,3.683508933E-1,9.332527965E-2
1.181998042E0,1.675073206E-1,3.864684701E-1,7.752910256E-2
1.191992042E0,1.694948375E-1,4.147253931E-1,5.512073636E-2
1.201986042E0,1.705374569E-1,4.630697370E-1,3.799695522E-2
1.211980042E0,1.617769897E-1,5.476035476E-1,1.441972516E-2
1.221973042E0,1.623021662E-1,6.556409001E-1,-1.343012042E-2
1.231967042E0,1.592895985E-1,7.721872330E-1,-3.540066630E-2
1.241961042E0,1.593359411E-1,8.727064729E-1,-5.896606296E-2
1.251955042E0,1.664844006E-1,9.494491816E-1,-7.841379941E-2
1.261949042E0,1.722203195E-1,1.003190756E0,-1.042531878E-1
1.271942042E0,1.758222431E-1,1.039342046E0,-1.294584125E-1
1.281936042E0,1.799253523E-1,1.059646726E0,-1.542141736E-1
1.291930042E0,1.783871204E-1,1.098304629E0,-1.803048849E-1
1.301924042E0,1.710224152E-1,1.163774252E0,-2.034386992E-1
1.311917042E0,1.657077968E-1,1.269619107E0,-2.205897272E-1
1.321911042E0,1.711822301E-1,1.402613282E0,-2.310664356E-1
