"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780664107899439E9,"2026-06-05 2:55:07.899 UTC+02:00"
"PAUSE",3.711820174998138E1,1.780664145018754E9,"2026-06-05 2:55:45.019 UTC+02:00"
