"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780664774031092E9,"2026-06-05 3:06:14.031 UTC+02:00"
"PAUSE",3.917019008335774E1,1.780664813202456E9,"2026-06-05 3:06:53.202 UTC+02:00"
