"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780537191606466E9,"2026-06-04 3:39:51.606 UTC+02:00"
"PAUSE",3.385860141666672E1,1.780537225464839E9,"2026-06-04 3:40:25.465 UTC+02:00"
