"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780536477026988E9,"2026-06-04 3:27:57.027 UTC+02:00"
"PAUSE",3.265962920833408E1,1.780536509686394E9,"2026-06-04 3:28:29.686 UTC+02:00"
