"event","experiment time","system time","system time text"
"START",0.000000000E0,1780771103.173,"2026-06-06 20:38:23.173 UTC+02:00"
"PAUSE",3.351109393E1,1780771136.684,"2026-06-06 20:38:56.684 UTC+02:00"
