"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780535910220941E9,"2026-06-04 3:18:30.221 UTC+02:00"
"PAUSE",5.668833774999985E1,1.780535966908892E9,"2026-06-04 3:19:26.909 UTC+02:00"
