"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.548333236E-4,-1.344953156E0,-9.582922211E0,-1.649569702E-1
1.039383333E-2,-1.320703583E0,-9.592053223E0,-3.502716064E-1
2.033383332E-2,-1.390159149E0,-9.713001709E0,-3.920347595E-1
3.027283333E-2,-1.513652344E0,-9.731862488E0,-4.227209473E-1
4.021183334E-2,-1.507664795E0,-9.722132721E0,-4.043092346E-1
5.015183333E-2,-1.450483704E0,-9.710606689E0,-3.365002441E-1
6.009083334E-2,-1.305734711E0,-9.673932953E0,-2.854563904E-1
7.003083333E-2,-1.237776031E0,-9.680968323E0,-2.165995789E-1
7.996983334E-2,-1.288370819E0,-9.712103577E0,-1.880090332E-1
8.990883332E-2,-1.319955139E0,-9.687704315E0,-1.374142456E-1
9.984883334E-2,-1.351090393E0,-9.676327972E0,-1.028361511E-1
1.097878333E-1,-1.391656036E0,-9.701924744E0,-9.415420532E-2
1.197278333E-1,-1.392554169E0,-9.743987274E0,-1.299298096E-1
1.296668333E-1,-1.385518799E0,-9.729766846E0,-1.583706665E-1
1.396058333E-1,-1.396296387E0,-9.697434082E0,-2.351609802E-1
1.495458333E-1,-1.370998993E0,-9.696685638E0,-2.817141724E-1
1.594848333E-1,-1.336869965E0,-9.730664978E0,-2.802172852E-1
1.694248333E-1,-1.358425140E0,-9.751771088E0,-2.534230042E-1
1.793638333E-1,-1.366358643E0,-9.727072449E0,-2.260299683E-1
1.893028333E-1,-1.356928253E0,-9.721983032E0,-2.134561157E-1
1.992428333E-1,-1.340462494E0,-9.747579803E0,-1.859133911E-1
2.091818333E-1,-1.338217163E0,-9.730066223E0,-1.692979431E-1
2.191218333E-1,-1.373843079E0,-9.709259491E0,-1.821711731E-1
2.290608333E-1,-1.422641602E0,-9.716444550E0,-1.869612122E-1
2.389998333E-1,-1.417402496E0,-9.723030853E0,-1.845661926E-1
2.489398333E-1,-1.379381561E0,-9.705517273E0,-1.911524963E-1
2.588788333E-1,-1.360670471E0,-9.674232330E0,-1.838177490E-1
2.688188333E-1,-1.365161133E0,-9.660460968E0,-1.631607056E-1
2.787578333E-1,-1.348545685E0,-9.687404938E0,-1.522334290E-1
2.886968333E-1,-1.363215179E0,-9.677525482E0,-1.519340515E-1
2.986368333E-1,-1.395098877E0,-9.620194702E0,-1.737886047E-1
3.085758333E-1,-1.403930511E0,-9.625134430E0,-2.080673218E-1
3.185158333E-1,-1.370699615E0,-9.623936920E0,-2.034269714E-1
3.284548333E-1,-1.388961639E0,-9.607620850E0,-2.070195007E-1
3.383938333E-1,-1.376687164E0,-9.625134430E0,-2.046244812E-1
3.483338333E-1,-1.362915802E0,-9.643396454E0,-1.862127686E-1
3.582728333E-1,-1.372795258E0,-9.606573029E0,-1.751358032E-1
3.682128333E-1,-1.366208954E0,-9.583071899E0,-1.755848694E-1
3.781518333E-1,-1.364412689E0,-9.617649994E0,-1.730401611E-1
3.880908333E-1,-1.335073700E0,-9.648186493E0,-1.803749084E-1
3.980308333E-1,-1.318308563E0,-9.648186493E0,-1.951940918E-1
4.079698333E-1,-1.341360626E0,-9.667346649E0,-2.131567383E-1
4.179098333E-1,-1.369502106E0,-9.666598206E0,-2.065704346E-1
4.278488333E-1,-1.414109344E0,-9.688003693E0,-2.019300842E-1
4.377878333E-1,-1.458716583E0,-9.715097351E0,-1.871109009E-1
4.477278333E-1,-1.502425690E0,-9.726473694E0,-1.775308228E-1
4.576669167E-1,-1.479822693E0,-9.721533966E0,-1.499880981E-1
4.676069167E-1,-1.422342224E0,-9.733958130E0,-1.297801208E-1
