"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.548333236E-4,-2.921283558E-2,1.410740179E-1,3.612409830E-2
1.039383333E-2,2.307545185E-2,1.097288489E-1,-1.276774621E-1
2.033383332E-2,-7.375049248E-2,-5.944279432E-3,-1.675788617E-1
3.027283333E-2,-1.832732271E-1,-1.479462504E-2,-1.937650323E-1
4.021183334E-2,-1.663072385E-1,-7.749899626E-3,-1.692628598E-1
5.015183333E-2,-1.038890885E-1,9.723919630E-3,-9.768007636E-2
6.009083334E-2,4.386405766E-2,4.744547725E-2,-5.201215267E-2
7.003083333E-2,9.048200771E-2,3.102532625E-2,1.463322362E-2
7.996983334E-2,3.788761854E-2,5.339092612E-3,4.276653528E-2
8.990883332E-2,6.560283601E-3,3.171529770E-2,9.123761415E-2
9.984883334E-2,-2.822655648E-2,4.083929300E-2,1.253327469E-1
1.097878333E-1,-6.714036137E-2,8.764976263E-3,1.271032838E-1
1.197278333E-1,-6.404601485E-2,-2.943663776E-2,9.015355865E-2
1.296668333E-1,-6.148391113E-2,-6.278740168E-3,5.861250797E-2
1.396058333E-1,-6.711901903E-2,2.091256678E-2,-2.189312657E-2
1.495458333E-1,-3.913716853E-2,1.723466814E-2,-6.133844336E-2
1.594848333E-1,-9.902259707E-3,-1.715865433E-2,-5.552981934E-2
1.694248333E-1,-3.605378553E-2,-3.300694764E-2,-2.382036885E-2
1.793638333E-1,-4.076664135E-2,-6.777507663E-3,-9.215211868E-4
1.893028333E-1,-2.899093375E-2,-9.127503633E-3,1.267091632E-2
1.992428333E-1,-1.577447221E-2,-2.956995428E-2,3.841271678E-2
2.091818333E-1,-1.465838492E-2,-7.184473872E-3,5.371489841E-2
2.191218333E-1,-5.999915689E-2,8.185517192E-3,3.982891241E-2
2.290608333E-1,-1.042492770E-1,1.976358891E-4,3.855304996E-2
2.389998333E-1,-9.277426243E-2,-3.307769895E-3,4.263670882E-2
2.489398333E-1,-5.295808598E-2,1.591436684E-2,3.522126993E-2
2.588788333E-1,-4.198096186E-2,4.844885945E-2,4.487038175E-2
2.688188333E-1,-4.240006104E-2,5.448494017E-2,6.736460209E-2
2.787578333E-1,-3.013157934E-2,2.641830504E-2,7.961451888E-2
2.886968333E-1,-4.917873815E-2,4.946510553E-2,7.758202672E-2
2.986368333E-1,-8.276353687E-2,1.007808548E-1,5.206591051E-2
3.085758333E-1,-8.750402078E-2,9.310638428E-2,2.557685416E-2
3.185158333E-1,-5.755078152E-2,9.593643665E-2,3.274791598E-2
3.284548333E-1,-8.004575104E-2,1.124010265E-1,2.933076661E-2
3.383938333E-1,-6.230792999E-2,8.817250371E-2,3.363548677E-2
3.483338333E-1,-5.562631667E-2,7.972152293E-2,5.432881951E-2
3.582728333E-1,-6.526691347E-2,1.176553345E-1,6.192903042E-2
3.682128333E-1,-5.980824530E-2,1.341409743E-1,6.582557838E-2
3.781518333E-1,-5.958312750E-2,9.704331458E-2,6.377209106E-2
3.880908333E-1,-2.787660062E-2,7.256920874E-2,6.020176291E-2
3.980308333E-1,-1.852003232E-2,7.023733914E-2,3.839862864E-2
4.079698333E-1,-4.516944855E-2,5.276235044E-2,2.309418121E-2
4.179098333E-1,-7.510456145E-2,5.268926024E-2,3.406472722E-2
4.278488333E-1,-1.224404034E-1,2.869462609E-2,3.573701262E-2
4.377878333E-1,-1.705714667E-1,3.973767757E-3,5.384467006E-2
4.477278333E-1,-2.124322683E-1,-2.630077600E-3,6.139221948E-2
4.576669167E-1,-1.828715234E-1,9.273684025E-4,8.964830440E-2
4.676069167E-1,-1.243104891E-1,-1.257911503E-2,1.081886558E-1
4.775459167E-1,-7.370166823E-2,-1.010691226E-2,1.162917821E-1
4.874859167E-1,-5.237804219E-2,1.239843607E-2,8.942384440E-2
4.974249167E-1,3.144340217E-4,4.141115069E-2,5.150580207E-2
5.073639167E-1,3.858402193E-2,2.920625746E-2,4.373251358E-2
5.173039167E-1,4.769383773E-2,-3.683745861E-4,3.033067703E-2
5.272429167E-1,3.173430115E-2,4.364361763E-3,1.189910213E-2
5.371829167E-1,-2.720504791E-2,2.522313416E-2,3.921378532E-2
5.471219167E-1,-6.180009931E-2,5.293308914E-2,4.283438126E-2
5.570609167E-1,-9.221804604E-2,7.887426138E-2,4.263791481E-2
5.670009167E-1,-1.159913631E-1,7.694701910E-2,5.436510880E-2
5.769399167E-1,-1.005202152E-1,5.782486975E-2,6.864397287E-2
5.868799167E-1,-7.244100854E-2,4.624796748E-2,9.049384832E-2
5.968189167E-1,-1.124511664E-1,3.951723754E-2,6.859136621E-2
6.067579167E-1,-2.199343921E-1,1.980276525E-2,8.529103238E-2
6.166979167E-1,-2.280865802E-1,2.871509135E-2,5.193149764E-2
6.266369167E-1,-1.826328108E-1,3.963827491E-2,3.420971990E-2
6.365769167E-1,-1.236750430E-1,5.338975668E-2,2.587860703E-2
6.465159167E-1,-5.629377633E-2,8.144060433E-2,4.202980438E-2
6.564549167E-1,1.050686181E-2,8.295094013E-2,7.544311523E-2
6.663949167E-1,2.756699055E-2,7.250079632E-2,8.695162335E-2
6.763339167E-1,-7.590738416E-2,2.310819626E-2,9.478455344E-2
6.862739167E-1,-2.502361254E-1,-1.378364146E-2,1.188844557E-1
6.962129167E-1,-2.894757664E-1,-1.298666596E-3,8.213119704E-2
7.061519167E-1,-2.314889288E-1,6.007429361E-3,-8.608289156E-3
7.160919167E-1,-1.810968934E-1,-1.122489989E-2,-7.667689601E-2
7.260309167E-1,-1.023813839E-1,-1.094072521E-2,-5.780672511E-2
7.359709167E-1,-2.746495664E-2,1.783283830E-2,-7.392868638E-2
7.459099167E-1,-5.637826860E-2,-6.671673059E-3,-3.948392669E-2
7.558489167E-1,-1.198135418E-1,-3.630945504E-2,-8.562680874E-3
7.657889167E-1,-9.815340847E-2,-4.335944295E-2,-8.729892969E-3
7.757279167E-1,-1.084157105E-1,-4.260164380E-2,4.916338921E-3
7.856679167E-1,-1.334588966E-1,-4.655143797E-2,-3.031214867E-3
7.956069167E-1,-9.974165842E-2,-3.979731917E-2,1.540622553E-2
8.055459167E-1,-6.607616812E-2,-2.787718534E-2,7.303289294E-2
8.154859167E-1,-2.599730551E-2,-1.990450680E-2,8.380346417E-2
8.254249167E-1,2.763628006E-2,-2.534241736E-2,7.983907023E-2
8.353649167E-1,-1.699127778E-2,-1.623888731E-2,8.799357891E-2
8.453039167E-1,-8.437576041E-2,1.076530874E-2,6.225062728E-2
8.552429167E-1,-8.674885288E-2,2.060383379E-2,5.174667081E-2
8.651829167E-1,-3.933202699E-2,5.737463415E-2,4.376054367E-2
8.751219167E-1,-5.873864338E-2,6.543502092E-2,3.942075849E-2
8.850619167E-1,-1.259045863E-1,1.991503179E-2,5.453931928E-2
8.950009167E-1,-1.733355917E-1,1.123133183E-2,3.875887195E-2
9.049399167E-1,-2.103853042E-1,2.604934573E-3,4.370673101E-2
9.148799167E-1,-1.778398481E-1,2.323215723E-2,2.268368840E-2
9.248189167E-1,-1.187312222E-1,3.582705975E-2,-7.742864694E-3
9.347589167E-1,-5.640034184E-2,3.555574894E-2,-3.107676348E-2
9.446979167E-1,6.576655805E-4,5.245829523E-2,-1.135527452E-2
9.546369167E-1,2.295339122E-2,6.914566398E-2,-3.577308264E-3
9.645769167E-1,1.155175924E-2,6.109287858E-2,5.363417029E-2
9.745159167E-1,3.588874787E-3,5.929076672E-2,1.122174056E-1
9.844559167E-1,1.150761276E-2,8.804094136E-2,1.112561599E-1
9.943949167E-1,2.264041901E-3,8.497700036E-2,1.005241621E-1
1.004333917E0,-6.909391612E-2,9.994002521E-2,8.326902866E-2
1.014273917E0,-5.865283549E-2,1.448934191E-1,4.656373540E-2
1.024212917E0,5.975854397E-4,1.326844329E-1,3.574519873E-2
1.034152917E0,1.170144796E-2,8.879289329E-2,4.095273812E-2
1.044091917E0,-4.451149061E-2,1.116999453E-1,4.618364811E-2
1.054030917E0,-8.619775280E-2,1.316301799E-1,3.586214304E-2
1.063970917E0,-1.621352501E-1,1.099598140E-1,4.382137299E-2
1.073909917E0,-2.243313521E-1,5.686300278E-2,6.167524299E-2
1.083849917E0,-1.517573194E-1,4.524517000E-2,7.243178090E-2
1.093788917E0,-5.611602098E-2,3.379573703E-2,7.331823707E-2
1.103727917E0,3.902592525E-2,2.838004589E-2,8.569794377E-2
1.113667917E0,1.112365535E-1,3.463949025E-2,8.398120126E-2
1.123606917E0,8.087897927E-2,2.349060416E-2,7.057353577E-2
1.133546917E0,2.674443349E-2,3.757420778E-2,6.916318735E-2
1.143485917E0,-6.791467890E-2,2.457292378E-2,5.033751011E-2
1.153424917E0,-2.422510216E-1,-8.384030163E-2,5.943811655E-2
1.163364917E0,-2.969878305E-1,-1.359904486E-1,7.439061642E-2
1.173303917E0,-2.676302764E-1,-9.060611486E-2,4.814359825E-2
1.183243917E0,-2.138411549E-1,-6.096657872E-2,3.924536029E-2
1.193182917E0,-7.410454139E-2,-4.719872475E-2,7.257565895E-2
1.203121917E0,6.266636431E-2,-2.434546709E-2,1.063620496E-1
1.213061917E0,1.447696044E-1,7.341997862E-2,1.205824506E-1
1.223000917E0,2.202007328E-1,1.598786634E-1,1.490595603E-1
1.232940917E0,1.357242541E-1,1.497998178E-1,1.588852215E-1
1.242879917E0,-8.069362253E-2,6.707867324E-2,2.331237920E-1
1.252818917E0,-2.586511458E-1,8.935422599E-2,2.397054362E-1
1.262758917E0,-3.681253485E-1,2.159487838E-1,1.542472100E-1
1.272697917E0,-3.732114029E-1,1.994321537E-1,9.996049047E-2
1.282637917E0,-1.999877854E-1,1.606370473E-1,6.719152451E-2
1.292576917E0,-7.643187940E-3,1.771817440E-1,1.048511108E-1
1.302515917E0,1.565545213E-1,2.352656454E-1,9.459393421E-2
1.312455917E0,2.250505596E-1,2.111909044E-1,8.743693312E-2
1.322394917E0,8.345467776E-2,1.030408037E-1,1.107170375E-1
1.332334917E0,-1.744975796E-1,5.698053181E-2,8.115351518E-2
1.342273917E0,-3.481873664E-1,6.075257063E-2,4.874589801E-2
1.352212917E0,-3.790571567E-1,4.628948271E-2,4.140180429E-2
1.362152917E0,-2.862095118E-1,5.835988998E-2,5.233258923E-2
1.372091917E0,-1.130969913E-1,6.816742480E-2,4.166026035E-2
