"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780665247372813E9,"2026-06-05 3:14:07.373 UTC+02:00"
"PAUSE",4.379935679165646E1,1.780665291173483E9,"2026-06-05 3:14:51.173 UTC+02:00"
