"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780661304473108E9,"2026-06-05 2:08:24.473 UTC+02:00"
"PAUSE",4.367077150000841E1,1.780661348143491E9,"2026-06-05 2:09:08.143 UTC+02:00"
