"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.790643610E-1,-2.753331959E-1,-5.444414616E0,7.493851185E0
1.811470470E-1,-2.705447972E-1,-5.444414616E0,7.489062786E0
1.830729640E-1,-2.729389966E-1,-5.437232018E0,7.489062786E0
1.850876500E-1,-2.681505978E-1,-5.458779812E0,7.479485989E0
1.870711050E-1,-2.681505978E-1,-5.458779812E0,7.474697590E0
1.890845600E-1,-2.633621991E-1,-5.442020416E0,7.462726593E0
1.910686310E-1,-2.537853718E-1,-5.439626217E0,7.445967197E0
1.930833160E-1,-2.489969730E-1,-5.446808815E0,7.426813602E0
1.950673100E-1,-2.466027737E-1,-5.444414616E0,7.433996201E0
1.970806120E-1,-2.418143749E-1,-5.453991413E0,7.443572998E0
1.990952970E-1,-2.466027737E-1,-5.446808815E0,7.450755596E0
2.010787530E-1,-2.370259613E-1,-5.439626217E0,7.457938194E0
2.030922840E-1,-2.370259613E-1,-5.444414616E0,7.460332394E0
2.050765860E-1,-2.202665508E-1,-5.470750809E0,7.469909191E0
2.070903490E-1,-2.154781520E-1,-5.497087002E0,7.472303391E0
2.090741120E-1,-2.130839527E-1,-5.499481201E0,7.477091789E0
2.110897980E-1,-2.298433632E-1,-5.523423195E0,7.465120792E0
2.130716380E-1,-2.418143749E-1,-5.552153587E0,7.474697590E0
2.150869390E-1,-2.394201756E-1,-5.564124584E0,7.479485989E0
2.170700100E-1,-2.370259613E-1,-5.580883980E0,7.489062786E0
2.190835420E-1,-2.657563984E-1,-5.588066578E0,7.517793179E0
2.210669970E-1,-2.705447972E-1,-5.612008572E0,7.522581577E0
2.230810680E-1,-2.657563984E-1,-5.671864033E0,7.541735172E0
2.250654450E-1,-2.753331959E-1,-5.688623428E0,7.572859764E0
2.270795930E-1,-2.729389966E-1,-5.700594425E0,7.594407558E0
2.290934330E-1,-2.777273953E-1,-5.707777023E0,7.601590633E0
2.310792720E-1,-2.873041928E-1,-5.710171223E0,7.592013359E0
2.330915740E-1,-2.873041928E-1,-5.731719017E0,7.582436562E0
2.350749530E-1,-2.992752194E-1,-5.741295815E0,7.606379032E0
2.370900230E-1,-3.040636182E-1,-5.748478413E0,7.620744228E0
2.390727090E-1,-2.944868207E-1,-5.803544998E0,7.663839817E0
2.410872400E-1,-2.777273953E-1,-5.820304394E0,7.730877399E0
2.430705420E-1,-2.753331959E-1,-5.827486992E0,7.762001991E0
2.450850750E-1,-2.753331959E-1,-5.868188381E0,7.826645374E0
2.470690680E-1,-2.944868207E-1,-5.899312973E0,7.862558365E0
2.490832160E-1,-2.920926213E-1,-5.911283970E0,7.881711960E0
2.510669020E-1,-3.088520169E-1,-5.944802761E0,7.903259754E0
2.530809720E-1,-3.136404157E-1,-5.959167957E0,7.910442352E0
2.550640430E-1,-3.232172430E-1,-5.954379559E0,7.917624950E0
2.570781910E-1,-3.567360640E-1,-5.954379559E0,7.922413349E0
2.590927220E-1,-3.639186621E-1,-5.951985359E0,7.927201748E0
2.610760240E-1,-3.974374831E-1,-5.951985359E0,7.929595947E0
2.630908630E-1,-4.261679053E-1,-5.937620163E0,7.948749542E0
