"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.868458316E-3,-3.292978182E-2,1.689958386E-2,-5.082365125E-2
1.480745833E-2,-1.705015078E-2,3.531587869E-2,-4.444271326E-2
2.474645834E-2,6.980049424E-3,4.939623177E-2,-4.275669158E-2
3.468545832E-2,2.163382620E-2,4.475274310E-2,-5.211851001E-2
4.462545834E-2,1.979172602E-2,2.017243765E-2,-5.640716851E-2
5.456445832E-2,9.462123737E-3,-4.079106264E-3,-5.748708546E-2
6.450345833E-2,5.550270900E-3,-6.693300791E-3,-4.732854664E-2
7.444245834E-2,6.504481193E-3,4.764618352E-4,-3.788524121E-2
8.438245833E-2,7.968246005E-3,1.399427094E-2,-3.244455531E-2
9.432145834E-2,6.862235256E-3,1.603318751E-2,-3.462594748E-2
1.042604583E-1,-4.412885755E-5,6.766879000E-3,-3.074355796E-2
1.141994583E-1,-3.908108920E-3,-1.016869489E-2,-2.754616737E-2
1.241394583E-1,-8.320564404E-3,-2.588660270E-2,-2.244497277E-2
1.340784583E-1,-8.010039106E-3,-3.355011716E-2,-1.309541240E-2
1.440174583E-1,-1.216213964E-2,-2.946797945E-2,-6.374634802E-3
1.539564583E-1,-1.158742979E-2,-1.363442279E-2,4.776781425E-4
1.638964583E-1,-6.236997433E-3,5.343352444E-3,5.173488520E-3
1.738354583E-1,-9.067405947E-3,1.294028666E-2,1.243113540E-2
1.837744583E-1,-1.188944653E-2,2.024443820E-2,1.043320168E-2
1.937134583E-1,-1.306549832E-2,2.079091594E-2,8.603343740E-3
2.036534583E-1,-1.350849215E-2,2.408827841E-2,8.800446987E-3
2.135924583E-1,-1.958236471E-2,2.876105905E-2,7.332779467E-3
2.235314583E-1,-2.411239222E-2,3.321933001E-2,1.141176280E-2
2.334714583E-1,-2.908637747E-2,3.244754300E-2,1.323549543E-2
2.434104583E-1,-3.057921864E-2,3.819617257E-2,1.149867289E-2
2.533494583E-1,-3.155153990E-2,4.476938769E-2,1.534401067E-2
2.632884583E-1,-3.096259758E-2,4.757826775E-2,1.194933616E-2
2.732284583E-1,-3.222999349E-2,5.158498883E-2,1.415656321E-2
2.831674583E-1,-2.987642214E-2,5.127932876E-2,1.915043220E-2
2.931064583E-1,-2.715307474E-2,4.708378762E-2,2.379951254E-2
3.030454583E-1,-2.502461895E-2,4.329686612E-2,2.986149304E-2
