"event","experiment time","system time","system time text"
"START",0.000000000E0,1780771527.583,"2026-06-06 20:45:27.583 UTC+02:00"
"PAUSE",3.279721877E1,1780771560.380,"2026-06-06 20:46:00.380 UTC+02:00"
