"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.376500001E-3,2.488811794E-1,-5.899840593E-3,-8.424609840E-2
1.431649999E-2,4.977413088E-1,-3.120892882E-2,-6.399309754E-2
2.425649998E-2,4.909807581E-1,-2.431096852E-2,-1.429702699E-2
3.419650000E-2,3.635097027E-1,-7.642310858E-3,-1.799714506E-2
4.413549998E-2,2.085248664E-1,4.689466953E-3,-2.187209487E-2
5.407550000E-2,1.012296286E-1,4.356175661E-3,-2.396364391E-2
6.401549999E-2,2.567687809E-2,-1.459991276E-2,-1.786792159E-2
7.395550000E-2,-4.590736717E-2,-5.012817979E-3,-1.905256748E-2
8.389549999E-2,-1.127553678E-1,1.546354651E-2,8.625812531E-3
9.383450000E-2,-1.456509259E-1,4.389797151E-2,1.239785135E-2
1.037745000E-1,-1.376493037E-1,5.229749680E-2,1.614942491E-2
1.137145000E-1,-1.088988367E-1,5.044568360E-2,1.894497871E-2
1.236545000E-1,-6.505436718E-2,2.819936693E-2,2.612068176E-2
1.335945000E-1,-2.851599365E-2,8.209490776E-4,-9.543240666E-3
1.435342500E-1,1.224582374E-2,8.424083591E-3,-3.741165519E-2
1.534742500E-1,3.688072801E-2,3.477456093E-2,-2.466589451E-2
1.634142500E-1,6.654833078E-2,3.999027729E-2,8.111842275E-3
1.733542500E-1,9.951347083E-2,2.356895685E-2,1.288375497E-2
1.832942500E-1,1.102062741E-1,-5.841368437E-3,2.322397113E-2
1.932332500E-1,8.439607948E-2,-2.260533571E-2,2.958691120E-2
2.031732500E-1,4.693267643E-2,-1.846199870E-2,8.822278976E-3
2.131132500E-1,1.843714803E-2,-1.174003959E-2,-2.466355562E-3
2.230532500E-1,1.871401370E-2,-6.740670204E-3,-1.028115928E-2
2.329932500E-1,1.623187065E-3,3.420621157E-4,1.543664932E-3
2.429322500E-1,-9.920970798E-3,6.050114036E-3,9.580662847E-3
2.528722500E-1,-1.901602238E-2,2.304738522E-2,1.329773784E-2
2.628122500E-1,-3.014941335E-2,4.137606740E-2,9.370163083E-3
2.727522500E-1,-4.437101126E-2,4.352082610E-2,6.603260636E-3
2.826922500E-1,-3.813495576E-2,2.671358943E-2,2.858703732E-3
2.926312500E-1,-2.139642388E-2,1.807198942E-2,6.999117136E-4
3.025712500E-1,1.333135933E-2,1.876956224E-2,-7.471572161E-3
3.125112500E-1,2.807979137E-2,1.518288016E-2,-1.788663268E-2
3.224512500E-1,1.722385079E-2,1.839124739E-2,-3.521544099E-2
3.323912500E-1,1.104480565E-2,-3.025349379E-3,-8.623473644E-3
3.423302500E-1,2.715739310E-2,-2.580727100E-2,-5.263078809E-3
3.522702500E-1,2.119966507E-2,-2.766843975E-2,-5.103449821E-3
3.622102500E-1,9.074586332E-3,-2.756435931E-2,-3.202520013E-3
3.721502500E-1,5.560117364E-3,-1.012094557E-2,-1.220313907E-2
3.820902500E-1,1.243556589E-2,-5.604556203E-3,-7.766271830E-3
3.920292500E-1,1.315915883E-3,-1.034138560E-2,-8.830465078E-3
4.019692500E-1,-3.638897717E-2,-3.863196909E-2,-1.326090038E-2
4.119092500E-1,-4.271215618E-2,-4.278992414E-2,-5.137948394E-3
4.218492500E-1,-2.939249128E-2,-2.065061152E-2,1.359243751E-2
4.317892500E-1,-3.157847285E-2,-1.808076024E-2,-1.068987966E-2
4.417282500E-1,-3.434245169E-2,-2.624873579E-2,-1.899877310E-2
4.516682500E-1,-3.587734580E-2,-1.928470194E-2,-3.099725962E-2
4.616082500E-1,-2.715330005E-2,-1.371347487E-2,-5.003696322E-2
4.715482500E-1,-2.894897997E-2,2.101898611E-2,-6.563499570E-2
4.814882500E-1,-7.028060853E-3,5.457732618E-2,-7.029171824E-2
4.914272500E-1,4.509343475E-2,8.016006410E-2,-5.389320195E-2
5.013672500E-1,4.926454604E-2,9.474594355E-2,-2.506525934E-2
5.113072500E-1,5.014396727E-2,8.745095730E-2,1.165350080E-2
5.212472500E-1,3.564521134E-2,7.008940458E-2,5.344647467E-2
5.311862500E-1,2.505707324E-2,4.409209907E-2,8.171717763E-2
5.411262500E-1,2.295996934E-2,1.598979592E-2,9.447229385E-2
5.510662500E-1,5.586137474E-3,-3.821155429E-3,9.792916775E-2
5.610062500E-1,6.905854046E-3,-3.893076181E-3,8.216975212E-2
5.709462500E-1,2.907527983E-2,-6.733653545E-3,6.399602115E-2
5.808852500E-1,4.622984111E-2,-1.005370259E-2,4.423243225E-2
5.908252500E-1,4.641373605E-2,-2.178614080E-2,2.788361728E-2
6.007652500E-1,6.087477744E-2,-3.433718920E-2,3.052246571E-3
6.107052500E-1,3.935059190E-2,-3.946812093E-2,2.064067125E-3
6.206452500E-1,1.226161122E-3,-4.243616760E-2,-6.948831081E-3
6.305842500E-1,-4.027532905E-2,-3.814548075E-2,1.888299823E-2
6.405242500E-1,-9.543036014E-2,-4.649238110E-2,2.898581743E-2
6.504642500E-1,-1.052963671E-1,-3.566918492E-2,2.637269676E-2
6.604042500E-1,-1.205663708E-1,-1.356963336E-2,4.949668050E-3
