"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.338000000E-3,-1.246883655E-1,-3.998384535E-2,2.286612153E-2
1.133300000E-2,-5.332602203E-2,-3.737372138E-2,1.576994061E-2
2.132800000E-2,-3.064701140E-2,-1.029877402E-2,2.111955822E-2
3.132300000E-2,-9.968917966E-3,-1.039539926E-2,9.019388616E-2
4.131700000E-2,-4.472476780E-2,-5.023452602E-2,1.162999499E-1
5.131200000E-2,-2.369876504E-2,-4.950800948E-2,1.197854751E-1
6.130700000E-2,-1.726273477E-2,-4.117696971E-2,9.786367893E-2
7.130200000E-2,-3.481607616E-2,-2.766193472E-2,5.346635520E-2
8.129700000E-2,-5.008900344E-2,-2.851628602E-2,5.308920979E-2
9.129200000E-2,-4.903884351E-2,-2.293694593E-2,4.705137491E-2
1.012870000E-1,-2.726205826E-2,-2.997304671E-2,7.504784346E-2
1.112820000E-1,-2.694513917E-2,-2.341787942E-2,1.020350826E-1
1.212760000E-1,-1.231365144E-2,-2.057744823E-2,6.529936552E-2
1.312710000E-1,-4.058961689E-2,-2.581955016E-2,2.804733932E-2
1.412660000E-1,-6.747745335E-2,-2.834342770E-2,8.277318478E-3
1.512610000E-1,-7.723879516E-2,-3.354269877E-2,6.431937218E-4
1.612560000E-1,-7.667044580E-2,-4.634152293E-2,3.154748261E-2
1.712510000E-1,-5.470011771E-2,-4.819158196E-2,7.113781035E-2
1.812450000E-1,-3.749234676E-2,-4.656627528E-2,8.571725786E-2
1.912400000E-1,1.664760768E-2,-4.255866677E-2,1.147165239E-1
2.012350000E-1,1.654937446E-2,-2.325525373E-2,1.196176600E-1
2.112300000E-1,-8.881335855E-3,-2.461451210E-2,1.070198339E-1
2.212250000E-1,-2.512139261E-2,-2.716828354E-2,7.691719830E-2
2.312200000E-1,-2.985471368E-2,-3.063758276E-2,2.934015870E-2
2.412150000E-1,-4.650992274E-2,-3.190167770E-2,-1.951215863E-3
2.512090000E-1,-6.505670607E-2,-3.261160277E-2,-1.230605006E-2
2.612040000E-1,-7.089339674E-2,-2.270641945E-2,1.421458125E-2
2.711990000E-1,-5.340262055E-2,-4.025281727E-2,4.658476710E-2
2.811940000E-1,-4.057207525E-2,-5.602063827E-2,6.471055090E-2
2.911890000E-1,-2.040268958E-2,-3.948003463E-2,9.714447141E-2
3.011840000E-1,-2.086929739E-2,-4.763251506E-2,7.179796100E-2
3.111790000E-1,-6.020000875E-2,-3.175630130E-2,5.102163434E-2
3.211730000E-1,-6.754294217E-2,-9.852485284E-3,8.229956031E-3
3.311680000E-1,-4.675492108E-2,1.979180172E-2,-1.106293201E-2
3.411630000E-1,-6.703774273E-2,-2.040363975E-2,3.088967085E-2
3.511580000E-1,-1.156228423E-1,-7.112947807E-2,1.019608229E-1
3.611530000E-1,-5.395108938E-2,-4.799438462E-2,1.051645124E-1
3.711480000E-1,2.462905705E-2,-1.126509950E-2,6.627175748E-2
3.811430000E-1,2.679603517E-2,-3.985316008E-3,3.257542312E-2
3.911370000E-1,-5.142450750E-2,-4.595019802E-2,2.930098236E-2
4.011320000E-1,-7.917188466E-2,-4.966785774E-2,2.313041568E-2
4.111270000E-1,-8.293047488E-2,-5.464288808E-2,4.189997792E-2
4.211220000E-1,-8.713637710E-2,-6.457511477E-2,9.341570199E-2
4.311170000E-1,-1.913208961E-2,-8.081202865E-2,1.647096330E-1
4.411120000E-1,4.659119904E-2,-2.254481703E-2,1.668994153E-1
4.511070000E-1,4.032122970E-2,-1.114186943E-3,8.384790301E-2
4.611010000E-1,-1.048230350E-2,4.560682029E-3,1.170846462E-2
4.710960000E-1,-9.044063866E-2,-1.043779157E-2,-2.719715416E-2
4.810910000E-1,-1.304747701E-1,-2.033676222E-2,-2.380050659E-2
4.910860000E-1,-8.467119098E-2,-3.076775640E-2,2.089327097E-2
5.010810000E-1,-2.940272391E-2,-4.862339884E-2,5.426976264E-2
5.110760000E-1,-1.541910768E-3,-4.893637106E-2,7.919293463E-2
5.210710000E-1,-1.171782017E-3,-4.239691816E-2,1.138441193E-1
5.310650000E-1,-2.163937569E-2,-4.711876407E-2,1.344000059E-1
5.410600000E-1,-5.420368910E-2,-2.914983183E-2,1.106187952E-1
5.510550000E-1,-2.503426909E-2,-1.628076799E-2,5.021588802E-2
5.610500000E-1,-4.121760786E-2,-1.856293626E-2,3.103643596E-2
5.710450000E-1,-6.939709425E-2,-8.245670423E-3,1.100796819E-2
5.810400000E-1,-6.132910609E-2,-2.138918795E-2,2.145518839E-2
5.910350000E-1,-5.609000087E-2,-4.890852369E-2,4.932126403E-2
6.010290000E-1,-4.315303624E-2,-4.074953824E-2,5.479542732E-2
6.110240000E-1,-3.819869041E-2,-3.705490194E-2,5.781785309E-2
6.210190000E-1,-5.688814580E-2,-6.014168277E-2,5.218639970E-2
6.310140000E-1,-5.953225672E-2,-4.917230621E-2,7.052151382E-2
6.410090000E-1,-6.032455444E-2,-3.415095538E-2,7.896606266E-2
6.510040000E-1,-3.628021896E-2,-3.165382884E-2,8.526760697E-2
6.609990000E-1,-1.723115981E-2,-1.236262187E-2,6.081747472E-2
6.709930000E-1,-4.838746369E-2,-1.024286002E-2,4.575095415E-2
6.809880000E-1,-4.508144796E-2,-2.060463779E-2,4.348866642E-2
6.909830000E-1,-5.086902201E-2,-2.765659913E-2,5.926094592E-2
