feature_a,feature_b,abs_corr
lin_z_sma,lin_z_fft_mag_1,0.9671424212327514
acc_mag_std,acc_mag_p2p,0.9670665283824286
acc_mag_std,acc_mag_range,0.9670665283824286
lin_x_iqr,lin_x_mad,0.967047664710981
acc_mag_mad,acc_mag_fft_mag_1,0.9669598285056135
lin_y_std,lin_y_p2p,0.966867891702423
lin_y_std,lin_y_range,0.966867891702423
gyr_y_iqr,gyr_y_fft_mag_1,0.9668519312331342
acc_z_std,acc_z_p2p,0.965549657721807
acc_z_std,acc_z_range,0.965549657721807
acc_y_std,acc_y_p2p,0.9654120766719927
acc_y_std,acc_y_range,0.9654120766719927
gyr_x_iqr,gyr_x_sma,0.9648390691199883
lin_x_std,lin_x_fft_mag_1,0.9644697012994079
gyr_z_iqr,gyr_z_sma,0.9643285631191058
lin_y_std,lin_y_sma,0.9641387789117012
lin_y_std,lin_y_fft_mag_1,0.9640466261026209
acc_y_iqr,acc_y_fft_mag_1,0.9638648739689427
gyr_x_range,gyr_x_rms,0.962828701112291
gyr_x_rms,gyr_x_p2p,0.962828701112291
lin_mag_std,lin_mag_fft_mag_1,0.9625808866401204
lin_x_rms,lin_x_fft_mag_1,0.9619232233566617
gyr_mag_std,gyr_mag_fft_mag_1,0.9609190263017819
gyr_y_rms,gyr_y_p2p,0.9608273098494473
gyr_y_range,gyr_y_rms,0.9608273098494473
acc_x_std,acc_x_range,0.9605430986275921
acc_x_std,acc_x_p2p,0.9605430986275921
acc_z_std,acc_z_iqr,0.9601374853542286
lin_z_std,lin_z_min,0.9592026490171931
acc_y_iqr,acc_y_mad,0.9590004020581218
acc_y_mad,acc_y_spec_energy,0.9583227770199162
gyr_y_std,gyr_y_fft_mag_1,0.9579488330242905
gyr_y_rms,gyr_y_fft_mag_1,0.9577115394403799
lin_z_std,lin_z_fft_mag_2,0.9575169235577622
lin_x_max,lin_x_p2p,0.9571792014256819
lin_x_max,lin_x_range,0.9571792014256819
lin_mag_iqr,lin_mag_fft_mag_1,0.9566335956402462
gyr_y_max,gyr_y_range,0.9558776426193283
gyr_y_max,gyr_y_p2p,0.9558776426193283
lin_z_range,lin_z_mad,0.9557464561179813
lin_z_mad,lin_z_p2p,0.9557464561179813
lin_z_range,lin_z_fft_mag_3,0.9552635476334119
lin_z_p2p,lin_z_fft_mag_3,0.9552635476334119
