"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.591500000E-3,-4.129514194E-1,-4.256334454E-3,-4.982172722E-1
1.858650000E-2,-2.720197812E-1,-1.059091553E-2,-2.269666922E-1
2.858050000E-2,1.720835567E-2,-2.462847233E-2,1.088049889E-2
3.857550000E-2,2.878335759E-1,-1.251011789E-3,1.805421388E-1
4.857050000E-2,5.075207770E-1,9.848611504E-3,2.309246725E-1
5.856550000E-2,6.083954796E-1,-1.366538152E-2,2.083807325E-1
6.855950000E-2,6.298860437E-1,2.035854310E-3,1.194732338E-1
7.855450000E-2,6.173306099E-1,3.720612556E-2,-2.640719533E-2
8.854950000E-2,5.955909544E-1,8.273941711E-2,-1.492256212E-1
9.854450000E-2,5.796260092E-1,1.027678849E-1,-2.346604586E-1
1.085385000E-1,5.913321349E-1,1.112277827E-1,-3.410318363E-1
1.185335000E-1,6.700964686E-1,1.091355027E-1,-4.048886937E-1
1.285285000E-1,7.783889490E-1,1.147369891E-1,-4.832086390E-1
1.385235000E-1,9.830762878E-1,1.460828890E-1,-5.212418532E-1
1.485175000E-1,1.206390517E0,2.004511772E-1,-5.889415008E-1
1.585123750E-1,1.369057717E0,2.283250004E-1,-6.893954962E-1
1.685073750E-1,1.439619869E0,2.148497996E-1,-8.160134429E-1
1.785023750E-1,1.536400352E0,2.013658279E-1,-8.895234686E-1
1.884973750E-1,1.673272560E0,2.213437173E-1,-9.188332218E-1
1.984913750E-1,1.740954666E0,2.340617037E-1,-9.167849422E-1
2.084863750E-1,1.806177141E0,1.643751723E-1,-9.382214195E-1
2.184813750E-1,1.842927476E0,3.992069542E-2,-9.739935154E-1
2.284763750E-1,1.724135443E0,-4.123471096E-2,-1.045291539E0
2.384703750E-1,1.389705698E0,-6.955555379E-2,-1.230548873E0
2.484653750E-1,1.021897414E0,-7.791765690E-2,-1.405627373E0
2.584603750E-1,8.197106373E-1,-1.100247180E-1,-1.481238889E0
2.684553750E-1,8.050791496E-1,-9.524266452E-2,-1.586037950E0
2.784493750E-1,8.409494787E-1,-1.070528707E-1,-1.628053118E0
2.884443750E-1,9.940781164E-1,-1.458128938E-1,-1.596674620E0
2.984393750E-1,1.229889307E0,-9.360675976E-2,-1.431772614E0
3.084343750E-1,1.466485194E0,-2.687716529E-2,-1.315939856E0
3.184283750E-1,1.727741128E0,-4.826613396E-2,-1.298612802E0
3.284233750E-1,1.930171734E0,-1.671927993E-1,-1.336891015E0
3.384183750E-1,2.118967803E0,-3.134360482E-1,-1.411893250E0
3.484133750E-1,2.304273083E0,-4.278087558E-1,-1.589671994E0
3.584083750E-1,2.410376658E0,-5.538375954E-1,-1.817906948E0
3.684023750E-1,2.534204898E0,-6.163915470E-1,-1.989715101E0
3.783973750E-1,2.580023680E0,-4.609382026E-1,-1.940321331E0
3.883923750E-1,2.405877226E0,-2.399634446E-1,-1.896911602E0
3.983873750E-1,2.360290579E0,-8.541934222E-2,-1.954966267E0
4.083813750E-1,2.348977386E0,-1.209404464E-1,-1.952725614E0
4.183763750E-1,2.176140123E0,-3.450998904E-1,-1.959797237E0
4.283713750E-1,2.142442034E0,-6.257995708E-1,-1.897112162E0
4.383663750E-1,2.304047965E0,-8.460809952E-1,-1.815938775E0
4.483603750E-1,2.587428010E0,-1.015300878E0,-1.696777198E0
4.583553750E-1,2.912212188E0,-1.132204553E0,-1.617879547E0
4.683503750E-1,3.177655898E0,-1.190417385E0,-1.425191572E0
4.783453750E-1,3.093996275E0,-1.224713936E0,-1.252681754E0
4.883393750E-1,2.544553885E0,-1.338975547E0,-1.171810083E0
4.983343750E-1,1.982646986E0,-1.575512085E0,-1.089600863E0
5.083293750E-1,1.538167965E0,-1.907563767E0,-1.098526345E0
5.183243750E-1,1.101214895E0,-2.365309536E0,-1.160388132E0
5.283193750E-1,7.097093081E-1,-2.800889680E0,-1.180566581E0
5.383133750E-1,4.218087816E-1,-3.131853780E0,-1.202751210E0
5.483083750E-1,1.503085256E-1,-3.403532377E0,-1.370785277E0
5.583033750E-1,-2.548000234E-1,-3.636032581E0,-1.697045877E0
5.682983750E-1,-9.638333935E-1,-4.013774407E0,-2.150343377E0
5.782923750E-1,-1.807217653E0,-4.444168655E0,-2.410336897E0
5.882873750E-1,-2.403926010E0,-4.726969825E0,-2.480735035E0
5.982823750E-1,-2.535651500E0,-4.663963737E0,-2.414477603E0
6.082773750E-1,-2.242153434E0,-4.282008408E0,-2.276420602E0
6.182713750E-1,-1.793074408E0,-3.768642170E0,-2.151834709E0
6.282663750E-1,-1.365385081E0,-3.280423052E0,-2.021478492E0
6.382613750E-1,-1.000442226E0,-2.889325601E0,-1.875562979E0
6.482563750E-1,-6.947129542E-1,-2.651301824E0,-1.712637039E0
6.582503750E-1,-5.997746372E-1,-2.606253705E0,-1.705798867E0
