"event","experiment time","system time","system time text"
"START",0.000000000E0,1781007042.329,"2026-06-09 14:10:42.329 UTC+02:00"
"PAUSE",4.151761946E1,1781007083.847,"2026-06-09 14:11:23.847 UTC+02:00"
