"event","experiment time","system time","system time text"
"START",0.000000000E0,1781006871.326,"2026-06-09 14:07:51.326 UTC+02:00"
"PAUSE",4.015978031E1,1781006911.486,"2026-06-09 14:08:31.486 UTC+02:00"
