"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780659055429342E9,"2026-06-05 1:30:55.429 UTC+02:00"
"PAUSE",4.745445083334926E1,1.780659102883807E9,"2026-06-05 1:31:42.884 UTC+02:00"
