"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780538360086902E9,"2026-06-04 3:59:20.087 UTC+02:00"
"PAUSE",3.355956095833244E1,1.780538393646560E9,"2026-06-04 3:59:53.647 UTC+02:00"
