"event","experiment time","system time","system time text"
"START",0.000000000E0,1780939618.376,"2026-06-08 19:26:58.376 UTC+02:00"
"PAUSE",3.516985854E1,1780939653.546,"2026-06-08 19:27:33.546 UTC+02:00"
