"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780536580806299E9,"2026-06-04 3:29:40.806 UTC+02:00"
"PAUSE",3.652179945833268E1,1.780536619367978E9,"2026-06-04 3:30:19.368 UTC+02:00"
