"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.693666651E-3,-1.718725891E0,-9.380842438E0,4.531077576E-1
1.163166665E-2,-1.596579895E0,-9.461225281E0,4.430786133E-1
2.157066666E-2,-1.613644409E0,-9.611063690E0,4.921765137E-1
3.150966667E-2,-1.706002350E0,-9.673334198E0,5.177732849E-1
4.144766665E-2,-1.875000916E0,-9.659263458E0,5.261558533E-1
5.138666666E-2,-2.044149170E0,-9.655371552E0,4.963677979E-1
6.132566667E-2,-2.145189056E0,-9.643246765E0,5.063969421E-1
7.126466665E-2,-2.142943726E0,-9.612261200E0,5.297483826E-1
8.120266665E-2,-2.073338470E0,-9.583970032E0,5.430706787E-1
9.114166666E-2,-1.992656250E0,-9.571994934E0,5.418731689E-1
1.010806667E-1,-1.877545624E0,-9.577832794E0,5.177732849E-1
1.110186666E-1,-1.795665894E0,-9.579928436E0,5.011578369E-1
1.209576667E-1,-1.762285309E0,-9.573342133E0,4.882846069E-1
1.308966667E-1,-1.763482819E0,-9.588460693E0,4.960684204E-1
1.408346667E-1,-1.794618073E0,-9.598340149E0,5.147795105E-1
1.507736667E-1,-1.858385468E0,-9.600585480E0,5.135820007E-1
1.607126667E-1,-1.924098816E0,-9.605824585E0,5.053491211E-1
1.706506667E-1,-1.973496094E0,-9.628577271E0,4.977149963E-1
1.805896666E-1,-1.988764343E0,-9.637259216E0,4.836442566E-1
1.905286667E-1,-1.961820374E0,-9.605375519E0,4.740641785E-1
2.004676667E-1,-1.908082123E0,-9.571396179E0,4.680766296E-1
2.104056667E-1,-1.838626556E0,-9.545200653E0,4.599934387E-1
2.203446667E-1,-1.788630524E0,-9.552685089E0,4.686753845E-1
2.302836667E-1,-1.773961029E0,-9.570797424E0,4.567002869E-1
2.402216667E-1,-1.779349823E0,-9.573940887E0,4.309538269E-1
2.501606666E-1,-1.824555817E0,-9.579479370E0,4.520599365E-1
2.600996667E-1,-1.857786713E0,-9.613009644E0,4.349954224E-1
2.700376667E-1,-1.859133911E0,-9.633067932E0,4.116439819E-1
2.799766667E-1,-1.871408386E0,-9.618548126E0,4.095483398E-1
2.899156667E-1,-1.862576752E0,-9.625882874E0,4.104464722E-1
2.998536667E-1,-1.846560059E0,-9.626032562E0,4.134402466E-1
3.097926667E-1,-1.827250214E0,-9.631870422E0,4.137396240E-1
3.197316666E-1,-1.816622314E0,-9.624835052E0,4.087998962E-1
3.296706667E-1,-1.826352081E0,-9.625882874E0,4.031117249E-1
3.396086667E-1,-1.869462433E0,-9.633516998E0,3.966751099E-1
3.495476667E-1,-1.887425079E0,-9.627080383E0,3.978726196E-1
3.594866667E-1,-1.888023834E0,-9.584419098E0,4.114942932E-1
3.694246667E-1,-1.862726440E0,-9.548044739E0,3.911366272E-1
3.793636667E-1,-1.858984222E0,-9.545649719E0,4.129911804E-1
3.893026666E-1,-1.868564301E0,-9.569749603E0,4.418811035E-1
3.992406667E-1,-1.883682861E0,-9.578132172E0,4.417314148E-1
4.091796667E-1,-1.931433563E0,-9.598489838E0,4.402345276E-1
4.191186667E-1,-1.969155121E0,-9.613458710E0,4.314028931E-1
4.290566667E-1,-1.990710297E0,-9.614805908E0,4.412823486E-1
4.389956667E-1,-1.993554382E0,-9.601333923E0,4.490661621E-1
4.489346667E-1,-1.968107300E0,-9.567653961E0,4.339476013E-1
4.588736666E-1,-1.935475159E0,-9.537267151E0,4.355941772E-1
4.688116667E-1,-1.896556091E0,-9.533075867E0,4.408332825E-1
4.787506667E-1,-1.880539398E0,-9.558073883E0,4.525090027E-1
4.886896667E-1,-1.887125702E0,-9.608369293E0,4.460723877E-1
