"event","experiment time","system time","system time text"
"START",0.000000000E0,1781033078.921,"2026-06-09 21:24:38.921 UTC+02:00"
"PAUSE",3.704540492E1,1781033115.966,"2026-06-09 21:25:15.966 UTC+02:00"
