"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.941807000E-3,-7.254431248E-1,-3.782838583E-1,9.543288231E0
5.986424000E-3,-7.254431248E-1,-3.854664862E-1,9.543288231E0
8.091655000E-3,-7.422025204E-1,-4.213795066E-1,9.536105156E0
1.007534700E-2,-7.445967197E-1,-4.357447028E-1,9.533711433E0
1.208980800E-2,-7.541735172E-1,-4.453215301E-1,9.531316757E0
1.407311700E-2,-7.996633649E-1,-4.477157295E-1,9.526528358E0
1.608788600E-2,-8.116343617E-1,-4.501099288E-1,9.519346237E0
1.807157900E-2,-8.475474119E-1,-4.668693244E-1,9.528923035E0
2.008519400E-2,-8.762778044E-1,-4.668693244E-1,9.531316757E0
2.206942600E-2,-8.906430602E-1,-4.453215301E-1,9.538499832E0
2.408419500E-2,-9.241618514E-1,-4.525041282E-1,9.538499832E0
2.606758000E-2,-9.433154464E-1,-4.477157295E-1,9.569623947E0
2.808211800E-2,-9.576807022E-1,-4.405331016E-1,9.572018623E0
3.006511800E-2,-9.792284966E-1,-4.070142806E-1,9.603142738E0
3.207904200E-2,-9.983820915E-1,-4.022258818E-1,9.631873131E0
3.409311900E-2,-1.000776291E0,-4.046200812E-1,9.643844604E0
3.607688800E-2,-9.888052940E-1,-4.070142806E-1,9.670180321E0
3.809104200E-2,-9.959878922E-1,-3.806780577E-1,9.708487511E0
4.007381200E-2,-1.000776291E0,-3.854664862E-1,9.722852707E0
4.208888900E-2,-1.005564690E0,-3.830722570E-1,9.742006302E0
4.407258200E-2,-1.003170490E0,-3.854664862E-1,9.739612579E0
4.608604300E-2,-1.007958889E0,-3.830722570E-1,9.758766174E0
4.807096600E-2,-1.010353088E0,-3.950432837E-1,9.780313492E0
5.008450600E-2,-1.010353088E0,-3.902548850E-1,9.797073364E0
5.206789000E-2,-1.007958889E0,-3.926490843E-1,9.844957352E0
5.408212100E-2,-1.015141487E0,-4.022258818E-1,9.868899345E0
5.606581400E-2,-1.015141487E0,-3.974374831E-1,9.878476143E0
5.807989100E-2,-1.015141487E0,-3.974374831E-1,9.909601212E0
6.009504500E-2,-1.019929886E0,-3.926490843E-1,9.938331604E0
6.207750700E-2,-1.022324085E0,-4.022258818E-1,9.950302124E0
6.409258400E-2,-1.031900883E0,-3.950432837E-1,9.976638794E0
6.607566100E-2,-1.063025594E0,-3.782838583E-1,1.000058079E1
6.809004600E-2,-1.058237195E0,-4.022258818E-1,1.000776291E1
7.007350800E-2,-1.051054597E0,-3.830722570E-1,1.002212811E1
7.208796900E-2,-1.036689281E0,-3.926490843E-1,1.003649330E1
7.407135400E-2,-1.031900883E0,-4.022258818E-1,1.003888798E1
7.608574000E-2,-1.043871999E0,-4.022258818E-1,1.004607010E1
7.806912400E-2,-1.029506683E0,-4.094084799E-1,1.005085850E1
8.008274000E-2,-9.959878922E-1,-4.070142806E-1,1.005085850E1
8.206704700E-2,-9.624691010E-1,-4.237737060E-1,1.004607010E1
8.408020100E-2,-9.409212470E-1,-4.141969085E-1,1.003170490E1
8.606489500E-2,-9.074024558E-1,-4.070142806E-1,1.002691650E1
8.808027900E-2,-8.762778044E-1,-4.309563041E-1,1.001015759E1
9.006212500E-2,-8.547300100E-1,-4.381389022E-1,9.998186111E0
9.207712500E-2,-8.355764151E-1,-4.357447028E-1,9.974244118E0
9.409158800E-2,-8.140285611E-1,-4.453215301E-1,9.962273598E0
9.607374200E-2,-8.044517636E-1,-4.501099288E-1,9.943120003E0
9.808851100E-2,-7.852981687E-1,-4.596867263E-1,9.916783333E0
1.000715880E-1,-7.661445141E-1,-4.429273009E-1,9.900024414E0
1.020867420E-1,-7.685387731E-1,-4.309563041E-1,9.890447617E0
1.040710500E-1,-7.709329724E-1,-4.477157295E-1,9.878476143E0
1.060838970E-1,-7.637503147E-1,-4.501099288E-1,9.864110947E0
1.080682810E-1,-7.709329724E-1,-4.596867263E-1,9.847352028E0
1.100823580E-1,-7.637503147E-1,-4.812345505E-1,9.835380554E0
1.120657440E-1,-7.637503147E-1,-4.788403511E-1,9.828198433E0
1.140798980E-1,-7.541735172E-1,-4.860229492E-1,9.806650162E0
1.160633590E-1,-7.733271718E-1,-4.908113480E-1,9.780313492E0
1.180774360E-1,-7.900865674E-1,-4.860229492E-1,9.775525093E0
1.200928210E-1,-7.757213712E-1,-4.764461517E-1,9.761159897E0
1.220756680E-1,-7.589619160E-1,-4.908113480E-1,9.734824181E0
1.240888990E-1,-7.685387731E-1,-4.860229492E-1,9.734824181E0
1.260735140E-1,-7.996633649E-1,-4.596867263E-1,9.715670586E0
1.280882060E-1,-8.188169599E-1,-4.453215301E-1,9.706093788E0
1.300710530E-1,-8.236053586E-1,-4.429273009E-1,9.715670586E0
1.320845920E-1,-8.188169599E-1,-4.309563041E-1,9.696516991E0
1.340685150E-1,-8.259995580E-1,-4.333505034E-1,9.684545517E0
1.360827460E-1,-8.475474119E-1,-4.309563041E-1,9.686940193E0
1.380669770E-1,-8.427590132E-1,-4.118026793E-1,9.679757118E0
1.400808240E-1,-8.499416113E-1,-4.022258818E-1,9.677363396E0
1.420648240E-1,-8.643068075E-1,-3.950432837E-1,9.677363396E0
1.440790540E-1,-8.643068075E-1,-3.902548850E-1,9.696516991E0
1.460931310E-1,-8.667010069E-1,-3.950432837E-1,9.701305389E0
1.480778250E-1,-8.595184088E-1,-3.974374831E-1,9.703699112E0
1.500907480E-1,-8.475474119E-1,-4.070142806E-1,9.710882187E0
1.520744400E-1,-8.451532125E-1,-4.094084799E-1,9.715670586E0
1.540888250E-1,-8.667010069E-1,-3.926490843E-1,9.742006302E0
1.560722090E-1,-8.882488012E-1,-4.141969085E-1,9.742006302E0
1.580855180E-1,-8.882488012E-1,-4.189853072E-1,9.746794701E0
1.600700570E-1,-8.738836050E-1,-4.357447028E-1,9.773131371E0
1.620839800E-1,-8.882488012E-1,-4.213795066E-1,9.780313492E0
1.640672870E-1,-8.882488012E-1,-4.213795066E-1,9.785101891E0
1.660818270E-1,-8.978256583E-1,-4.309563041E-1,9.806650162E0
1.680675960E-1,-9.050082564E-1,-4.237737060E-1,9.804255486E0
1.700786730E-1,-9.050082564E-1,-4.213795066E-1,9.830592155E0
1.720935190E-1,-9.097966552E-1,-4.189853072E-1,9.837775230E0
1.740778270E-1,-9.169792533E-1,-4.118026793E-1,9.844957352E0
1.760909820E-1,-9.169792533E-1,-4.165911078E-1,9.852140427E0
1.780752890E-1,-9.313444495E-1,-4.189853072E-1,9.864110947E0
1.800892120E-1,-9.265560508E-1,-4.118026793E-1,9.866505623E0
1.820729050E-1,-9.145850539E-1,-4.237737060E-1,9.871294022E0
1.840876750E-1,-8.954314590E-1,-4.261679053E-1,9.880870819E0
1.860707520E-1,-8.978256583E-1,-4.333505034E-1,9.888052940E0
1.880861370E-1,-9.026140571E-1,-4.429273009E-1,9.900024414E0
1.900691370E-1,-9.097966552E-1,-4.333505034E-1,9.900024414E0
1.920823670E-1,-9.074024558E-1,-4.381389022E-1,9.904812813E0
1.940657530E-1,-8.978256583E-1,-4.309563041E-1,9.904812813E0
1.960808300E-1,-8.762778044E-1,-4.237737060E-1,9.900024414E0
1.980642140E-1,-8.690952063E-1,-4.285621047E-1,9.897629738E0
2.000780610E-1,-8.619126081E-1,-4.261679053E-1,9.885659218E0
2.020934460E-1,-8.619126081E-1,-4.309563041E-1,9.880870819E0
2.040756770E-1,-8.403648138E-1,-4.453215301E-1,9.885659218E0
2.060897540E-1,-8.236053586E-1,-4.477157295E-1,9.883264542E0
2.080747540E-1,-8.140285611E-1,-4.453215301E-1,9.878476143E0
2.100886000E-1,-8.140285611E-1,-4.237737060E-1,9.864110947E0
2.120716010E-1,-7.948749661E-1,-4.237737060E-1,9.864110947E0
2.140860630E-1,-7.876923680E-1,-4.261679053E-1,9.864110947E0
2.160695240E-1,-7.637503147E-1,-4.333505034E-1,9.856928825E0
2.180836780E-1,-7.709329724E-1,-4.357447028E-1,9.854534149E0
2.200676020E-1,-7.733271718E-1,-4.285621047E-1,9.847352028E0
2.220815250E-1,-7.445967197E-1,-4.333505034E-1,9.835380554E0
2.240661410E-1,-7.445967197E-1,-4.189853072E-1,9.828198433E0
2.260790640E-1,-7.326257229E-1,-4.189853072E-1,9.816226959E0
2.280950640E-1,-7.206547260E-1,-4.357447028E-1,9.811438560E0
2.300762950E-1,-7.110779285E-1,-4.333505034E-1,9.797073364E0
2.320909880E-1,-6.991068721E-1,-4.333505034E-1,9.799467087E0
2.340750650E-1,-7.062895298E-1,-4.453215301E-1,9.785101891E0
2.360895260E-1,-7.015010715E-1,-4.333505034E-1,9.785101891E0
2.380729120E-1,-6.871358752E-1,-4.309563041E-1,9.785101891E0
2.400870660E-1,-6.847416759E-1,-4.213795066E-1,9.770736694E0
2.420716810E-1,-6.871358752E-1,-4.237737060E-1,9.763554573E0
2.440842200E-1,-6.847416759E-1,-4.261679053E-1,9.756371498E0
2.460685270E-1,-6.727706790E-1,-4.333505034E-1,9.744400978E0
2.480806050E-1,-6.727706790E-1,-4.333505034E-1,9.744400978E0
2.500654510E-1,-6.703764796E-1,-4.381389022E-1,9.753977776E0
2.520806050E-1,-6.751648784E-1,-4.237737060E-1,9.753977776E0
2.540636820E-1,-6.799532771E-1,-4.261679053E-1,9.753977776E0
2.560781450E-1,-6.991068721E-1,-4.477157295E-1,9.763554573E0
2.580922220E-1,-7.086837292E-1,-4.453215301E-1,9.775525093E0
2.600753750E-1,-7.110779285E-1,-4.477157295E-1,9.785101891E0
